 HNL 20120102  6.28  6.23100.00 45.30 99.10 257.5
 HNL 20120103  6.21  6.15100.00 45.20 99.10 260.7
 HNL 20120104  6.28  6.23100.00 45.10 99.10 259.2
 HNL 20120105  6.11  6.06100.00 45.00 99.10 266.5
 HNL 20120106  6.40  6.34100.00 44.80 99.10 257.4
 HNL 20120107  6.47  6.41100.00 44.70 99.10 256.2
 HNL 20120108  6.55  6.49100.00 44.60 99.10 254.8
 HNL 20120109  6.60  6.55100.00 44.50 99.10 254.4
 HNL 20120110  6.69  6.61 99.70 44.30 99.20 253.0
 HNL 20120111  6.67  6.60 99.80 44.20 99.20 254.8
 HNL 20120112  6.59  6.53100.00 44.00 99.20 258.7
 HNL 20120113  6.31  5.94 94.80 43.90 99.20 269.8
 HNL 20120114  6.47  6.12 95.40 43.70 99.20 265.9
 HNL 20120115  6.60  5.82 88.90 43.50 99.20 263.0
 HNL 20120116  6.73  6.58 98.60 43.30 99.20 260.0
 HNL 20120117  7.18  6.02 84.60 43.20 99.20 248.2
 HNL 20120118  7.31  7.25100.00 43.00 99.20 246.2
 HNL 20120119  7.40  7.33100.00 42.80 99.20 245.4
 HNL 20120120  7.69  7.61 99.90 42.60 99.20 238.9
 HNL 20120121  7.56  7.50100.00 42.40 99.20 244.1
 HNL 20120122  7.17  7.09 99.60 42.20 99.20 256.7
 HNL 20120123  7.36  7.25 99.50 41.90 99.20 253.3
 HNL 20120124  7.21  7.15100.00 41.70 99.20 259.1
 HNL 20120125  7.20  7.10 99.50 41.50 99.20 261.4
 HNL 20120126  7.28  7.22100.00 41.30 99.20 260.7
 HNL 20120127  7.24  7.14 99.50 41.00 99.20 264.3
 HNL 20120128  7.76  7.68 99.90 40.80 99.20 251.6
 HNL 20120129  7.76  7.24 94.00 40.50 99.20 253.3
 HNL 20120130  7.94  7.87100.00 40.30 99.20 250.5
 HNL 20120131  7.93  7.78 98.90 40.00 99.20 252.7
 HNL 20120201  7.87  7.80 99.90 39.70 99.20 256.1
 HNL 20120202  7.81  7.47 96.40 39.50 99.20 259.6
 HNL 20120203  7.99  7.93100.00 39.20 99.20 257.0
 HNL 20120204  8.11  8.04100.00 38.90 99.20 256.0
 HNL 20120205  8.31  8.20 99.50 38.60 99.20 253.1
 HNL 20120206  8.44  8.37100.00 38.30 99.20 251.9
 HNL 20120207  8.59  8.43 98.90 38.00 99.20 250.3
 HNL 20120209  7.32  7.25100.00 37.40 99.20 290.4
 HNL 20120210  7.60  7.54100.00 37.10 99.20 283.6
 HNL 20120211  7.91  7.75 98.80 36.80 99.20 276.7
 HNL 20120212  8.32  5.91 71.50 36.50 99.20 267.6
 HNL 20120213  8.62  8.50 99.50 36.20 99.20 262.0
 HNL 20120214  8.84  8.72 99.50 35.90 99.20 258.7
 HNL 20120215  8.66  8.58100.00 35.50 99.20 265.6
 HNL 20120216  8.25  8.14 99.50 35.20 99.20 278.5
 HNL 20120217  7.58  7.37 98.00 34.90 99.20 300.9
 HNL 20120218  7.41  7.34 99.80 34.50 99.20 309.3
 HNL 20120219  7.52  7.42 99.40 34.20 99.20 308.0
 HNL 20120220  7.38  7.32100.00 33.80 99.20 315.5
 HNL 20120221  7.78  7.59 98.40 33.50 99.20 304.3
 HNL 20120222  8.22  8.15100.00 33.10 99.20 293.3
 HNL 20120223  8.34  8.27100.00 32.80 99.20 292.2
 HNL 20120224  8.57  7.51 88.30 32.40 99.20 287.7
 HNL 20120225  8.70  8.31 96.50 32.10 99.20 286.7
