 HOU 20120102  3.71  3.50100.00 53.20 94.30 287.4
 HOU 20120103  3.39  3.20100.00 53.10 94.30 312.4
 HOU 20120104  3.74  2.17 61.70 53.00 94.30 288.7
 HOU 20120105  3.47  2.84 86.70 52.90 94.30 309.3
 HOU 20120106  3.55  2.81 84.00 52.80 94.30 304.4
 HOU 20120107  3.84  2.97 81.70 52.60 94.30 286.3
 HOU 20120108  4.12  3.77 96.80 52.50 94.30 271.5
 HOU 20120109  4.14  2.35 60.10 52.40 94.30 272.3
 HOU 20120110  4.09  2.79 72.10 52.20 94.30 277.1
 HOU 20120111  3.91  3.69100.00 52.10 94.30 289.9
 HOU 20120112  3.93  3.71100.00 51.90 94.30 290.3
 HOU 20120113  4.20  3.93 99.10 51.80 94.30 276.3
 HOU 20120114  4.37  4.12100.00 51.60 94.30 269.6
 HOU 20120115  4.73  4.47100.00 51.40 94.30 253.8
 HOU 20120116  5.00  2.31 48.90 51.20 94.30 244.2
 HOU 20120117  5.23  1.28 26.30 51.10 94.30 237.2
 HOU 20120118  5.11  4.82100.00 50.90 94.40 243.6
 HOU 20120119  4.93  3.25 70.10 50.70 94.40 253.4
 HOU 20120120  5.31  1.69 33.80 50.50 94.40 240.0
 HOU 20120121  5.08  4.26 88.70 50.30 94.40 251.5
 HOU 20120122  5.10  1.76 36.50 50.00 94.40 252.7
 HOU 20120123  4.88  4.45 96.70 49.80 94.40 265.0
 HOU 20120124  4.92  2.00 43.00 49.60 94.40 265.7
 HOU 20120125  5.28  2.44 49.00 49.40 94.40 252.9
 HOU 20120126  4.46  2.99 70.80 49.10 94.40 294.6
 HOU 20120127  5.14  4.86100.00 48.90 94.40 263.6
 HOU 20120128  5.50  5.19100.00 48.60 94.40 252.0
 HOU 20120129  4.46  4.21100.00 48.40 94.40 304.0
 HOU 20120130  4.67  4.41100.00 48.10 94.40 295.2
 HOU 20120131  4.75  4.20 93.70 47.90 94.40 294.2
 HOU 20120201  5.25  3.51 70.60 47.60 94.40 273.4
 HOU 20120202  5.52  5.21100.00 47.30 94.40 264.8
 HOU 20120203  5.70  5.21 96.90 47.00 94.40 260.4
 HOU 20120204  5.93  3.41 60.60 46.70 94.40 255.0
 HOU 20120205  6.20  1.28 22.00 46.50 94.40 248.3
 HOU 20120206  5.92  5.52 98.80 46.20 94.40 260.6
 HOU 20120207  5.61  5.03 95.00 45.90 94.40 275.6
 HOU 20120209  5.26  4.96 99.80 45.30 94.40 297.1
 HOU 20120210  4.64  2.08 47.70 44.90 94.40 334.2
 HOU 20120211  5.32  5.02100.00 44.60 94.50 301.0
 HOU 20120212  6.02  4.50 79.20 44.30 94.50 274.7
 HOU 20120213  5.97  1.04 18.50 44.00 94.50 279.4
 HOU 20120214  6.15  5.81100.00 43.60 94.50 276.0
 HOU 20120215  6.51  2.54 41.30 43.30 94.50 266.4
 HOU 20120216  6.75  6.00 94.00 43.00 94.50 260.9
 HOU 20120217  6.78  1.60 25.00 42.60 94.50 263.2
 HOU 20120218  6.59  2.17 34.60 42.30 94.50 272.6
 HOU 20120219  6.54  6.18100.00 42.00 94.50 277.4
 HOU 20120220  7.00  4.60 69.70 41.60 94.50 265.0
 HOU 20120221  6.47  5.91 96.50 41.30 94.50 285.9
 HOU 20120222  6.32  2.57 43.00 40.90 94.50 295.0
 HOU 20120223  6.27  5.83 98.40 40.50 94.50 299.9
 HOU 20120224  6.57  4.32 69.60 40.20 94.50 291.8
 HOU 20120225  5.81  3.61 65.70 39.80 94.50 326.6
 HOU 20120226  6.85  6.08 93.90 39.40 94.50 287.9
 HOU 20120227  7.30  1.17 17.00 39.10 94.50 276.1
 HOU 20120228  7.89  4.52 60.50 38.70 94.50 261.4
 HOU 20120229  7.79  3.28 44.60 38.30 94.50 267.3
 HOU 20120302  7.71  4.63 63.50 37.60 94.40 275.1
 HOU 20120303  7.46  7.05100.00 37.20 94.40 285.5
 HOU 20120304  6.47  6.11100.00 36.80 94.40 324.7
 HOU 20120305  7.07  6.67100.00 36.40 94.40 304.6
 HOU 20120306  7.38  6.84 98.20 36.00 94.40 296.7
 HOU 20120307  7.91  4.31 57.60 35.60 94.40 283.1
 HOU 20120308  8.44  4.32 54.20 35.20 94.40 271.2
 HOU 20120309  8.72  5.27 64.00 34.90 94.40 266.6
 HOU 20120310  8.59  4.55 56.00 34.50 94.40 272.4
 HOU 20120313  9.03  4.19 49.10 33.30 94.40 268.6
 HOU 20120314  8.62  7.05 86.60 32.90 94.40 281.4
 HOU 20120315  8.27  7.58 97.00 32.50 94.40 293.9
 HOU 20120316  8.79  8.16 98.40 32.10 94.40 281.8
 HOU 20120317  9.50  8.26 92.00 31.70 94.40 266.9
 HOU 20120318  9.43  6.97 78.30 31.30 94.50 270.8
 HOU 20120319  8.80  5.12 61.60 30.90 94.50 289.1
 HOU 20120320  8.61  2.05 25.20 30.50 94.50 296.7
 HOU 20120321  7.78  2.35 32.10 30.10 94.50 325.2
 HOU 20120322  7.85  7.42100.00 29.70 94.50 325.3
 HOU 20120323  9.15  8.64100.00 29.30 94.50 289.0
 HOU 20120324  9.43  8.91100.00 28.90 94.50 283.7
 HOU 20120325  9.63  9.10100.00 28.50 94.50 280.8
 HOU 20120326  9.65  9.11100.00 28.10 94.50 282.5
 HOU 20120327 10.04  9.33 98.40 27.70 94.50 275.5
 HOU 20120328 10.41  9.62 97.80 27.30 94.50 269.5
 HOU 20120329 10.24  9.22 95.30 26.90 94.50 274.9
 HOU 20120330  9.74  9.15 99.40 26.50 94.50 288.5
 HOU 20120331  8.92  8.12 96.30 26.10 94.50 312.2
 HOU 20120401  8.81  8.31 99.80 25.80 94.50 317.3
 HOU 20120402  9.58  9.02 99.60 25.40 94.50 298.0
 HOU 20120403  9.67  9.06 99.20 25.00 94.50 297.7
 HOU 20120404  9.38  8.56 96.60 24.60 94.50 307.1
 HOU 20120405 10.10  9.55100.00 24.20 94.50 290.5
 HOU 20120406 10.31  9.63 98.80 23.80 94.50 287.3
 HOU 20120407 10.41  9.84100.00 23.50 94.50 286.7
 HOU 20120408 10.94 10.27 99.30 23.10 94.50 276.4
 HOU 20120409 10.66 10.05 99.80 22.70 94.50 284.0
 HOU 20120410 10.43  9.58 97.10 22.30 94.50 290.6
 HOU 20120411 10.24  9.68100.00 22.00 94.50 296.5
 HOU 20120412  9.89  6.66 71.20 21.60 94.50 306.7
 HOU 20120413  9.63  6.92 76.00 21.20 94.50 314.9
 HOU 20120414 10.03  7.29 76.80 20.90 94.50 305.9
 HOU 20120415 10.19  9.63100.00 20.50 94.60 303.4
 HOU 20120416 10.44  5.47 55.40 20.20 94.60 298.8
 HOU 20120417  9.40  8.82 99.20 19.80 94.60 327.0
 HOU 20120418 10.33  9.77100.00 19.50 94.60 303.8
 HOU 20120419 10.35  9.79100.00 19.10 94.60 304.4
 HOU 20120420  9.57  8.06 89.00 18.80 94.60 325.7
 HOU 20120421  9.16  8.66100.00 18.40 94.60 338.9
 HOU 20120422  9.37  8.86100.00 18.10 94.60 334.0
 HOU 20120423  9.31  8.81100.00 17.80 94.60 336.6
 HOU 20120424  9.61  9.09100.00 17.50 94.60 329.2
 HOU 20120425 10.05  9.48 99.80 17.10 94.60 318.2
 HOU 20120426 10.80 10.20 99.80 16.80 94.60 300.7
 HOU 20120427 10.26  7.74 79.70 16.50 94.60 314.9
 HOU 20120428 10.51  4.16 41.80 16.20 94.60 309.8
 HOU 20120429 11.08 10.17 97.00 15.90 94.60 297.4
 HOU 20120430 11.31  9.97 93.20 15.60 94.60 293.4
 HOU 20120501 11.10  8.61 82.00 15.30 94.60 298.5
 HOU 20120502 11.24 10.52 99.10 15.00 94.40 296.4
 HOU 20120503 11.49 10.85100.00 14.70 94.40 291.8
 HOU 20120504 11.61 10.13 92.40 14.50 94.40 290.0
 HOU 20120505 11.21 10.50 99.10 14.20 94.50 298.7
 HOU 20120506 10.97 10.34 99.80 13.90 94.50 304.8
 HOU 20120507 11.14 10.42 99.00 13.70 94.50 301.2
 HOU 20120508 11.26  8.33 78.30 13.40 94.50 299.2
 HOU 20120509 10.35  9.76 99.80 13.10 94.50 321.1
 HOU 20120510 11.10  9.37 89.40 12.90 94.50 303.8
 HOU 20120511 11.00  8.69 83.70 12.70 94.50 306.7
 HOU 20120512 10.45  9.86 99.80 12.40 94.50 320.1
 HOU 20120513 10.82 10.23100.00 12.20 94.50 311.7
 HOU 20120514 10.32  9.75100.00 12.00 94.50 324.4
 HOU 20120515 10.27  7.94 81.80 11.80 94.50 326.2
 HOU 20120516  9.79  9.25100.00 11.50 94.50 339.7
 HOU 20120517 10.56  9.97100.00 11.30 94.50 319.6
 HOU 20120518 11.06 10.44100.00 11.10 94.50 308.4
 HOU 20120519 11.75 11.10100.00 10.90 94.50 293.7
 HOU 20120520 11.18 10.56100.00 10.70 94.50 306.2
 HOU 20120521 10.88 10.28100.00 10.60 94.50 313.6
 HOU 20120522 10.38  9.81100.00 10.40 94.50 326.0
 HOU 20120523 10.75 10.16100.00 10.20 94.50 317.2
 HOU 20120524 10.88 10.26 99.80 10.10 94.50 314.5
 HOU 20120525 11.61  5.17 47.10  9.90 94.50 298.1
 HOU 20120526 12.35 11.63 99.70  9.70 94.50 283.7
 HOU 20120527 12.23 11.52 99.70  9.60 94.50 286.2
 HOU 20120528 11.53 10.80 99.10  9.50 94.50 300.1
 HOU 20120529 11.47 10.52 97.10  9.30 94.50 301.7
 HOU 20120530 11.31 10.51 98.30  9.20 94.50 305.4
 HOU 20120531 10.83  9.52 93.00  9.10 94.50 316.5
 HOU 20120601 10.15  9.59100.00  9.00 94.50 333.9
 HOU 20120602 10.39  9.73 99.10  8.90 94.50 327.7
 HOU 20120603 11.12 10.42 99.20  8.80 94.50 310.2
 HOU 20120604 11.22  8.85 83.50  8.70 94.50 307.9
 HOU 20120605 10.88 10.27 99.90  8.60 94.50 315.8
 HOU 20120606 11.14 10.49 99.70  8.50 94.50 310.0
 HOU 20120607 11.48 10.84100.00  8.40 94.50 302.2
 HOU 20120608 11.80 11.11 99.60  8.30 94.50 295.5
 HOU 20120609 11.75 11.10100.00  8.30 94.50 296.6
 HOU 20120610 11.58 10.94100.00  8.20 94.50 300.0
 HOU 20120611 11.63 10.96 99.70  8.20 94.50 299.0
 HOU 20120612 12.18 11.11 96.50  8.10 94.50 288.2
 HOU 20120613 11.96 10.56 93.50  8.10 94.50 292.6
 HOU 20120614 11.54  8.53 78.30  8.00 94.50 301.0
 HOU 20120615 11.29 10.56 98.90  8.00 94.50 306.6
 HOU 20120616 11.66 10.98 99.60  8.00 94.50 298.4
 HOU 20120617 11.54 10.91100.00  8.00 94.50 300.9
 HOU 20120618 11.15 10.51 99.80  8.00 94.50 309.8
 HOU 20120619 11.25 10.03 94.40  7.90 94.50 307.6
 HOU 20120620 10.92 10.27 99.60  7.90 94.50 315.1
 HOU 20120621 11.34 10.59 98.80  8.00 94.50 305.4
 HOU 20120622 11.18 10.48 99.30  8.00 94.50 309.1
 HOU 20120623 10.86 10.26100.00  8.00 94.50 316.2
 HOU 20120624 11.01 10.41100.00  8.00 94.50 312.7
 HOU 20120625 11.23 10.61100.00  8.00 94.50 307.6
 HOU 20120626 11.41 10.78100.00  8.10 94.50 303.5
