 MIA 20120102  5.30  5.21100.00 49.40 98.30 252.2
 MIA 20120103  4.80  4.72100.00 49.30 98.30 275.1
 MIA 20120104  4.67  3.60 78.60 49.20 98.30 282.8
 MIA 20120105  5.05  4.96100.00 49.10 98.30 266.2
 MIA 20120106  5.25  5.16100.00 48.90 98.30 258.6
 MIA 20120107  5.36  4.81 91.30 48.80 98.30 255.9
 MIA 20120108  5.58  5.49100.00 48.70 98.30 248.7
 MIA 20120109  5.72  5.52 98.20 48.60 98.30 245.0
 MIA 20120110  5.66  5.16 92.70 48.40 98.30 248.7
 MIA 20120111  5.72  5.36 95.30 48.30 98.30 248.0
 MIA 20120112  5.71  5.62100.00 48.10 98.30 249.9
 MIA 20120113  6.09  5.71 95.40 47.90 98.30 238.2
 MIA 20120114  6.37  6.25 99.70 47.80 98.30 231.2
 MIA 20120115  6.64  6.53100.00 47.60 98.30 224.8
 MIA 20120116  6.56  5.70 88.40 47.40 98.30 229.0
 MIA 20120117  6.53  6.40 99.70 47.20 98.30 231.5
 MIA 20120118  6.47  6.36100.00 47.10 98.30 234.7
 MIA 20120119  5.85  5.75100.00 46.90 98.30 257.0
 MIA 20120120  6.02  5.80 98.00 46.70 98.30 253.2
 MIA 20120121  6.44  6.30 99.40 46.40 98.30 240.7
 MIA 20120122  6.09  5.86 97.90 46.20 98.30 254.6
 MIA 20120123  6.40  6.25 99.30 46.00 98.30 246.2
 MIA 20120124  6.19  6.08100.00 45.80 98.30 255.3
 MIA 20120125  6.13  6.03100.00 45.60 98.30 259.1
 MIA 20120126  6.42  6.31100.00 45.30 98.30 251.9
 MIA 20120127  6.56  5.46 84.90 45.10 98.30 249.7
 MIA 20120128  6.69  6.53 99.40 44.80 98.30 247.8
 MIA 20120129  6.69  5.99 91.10 44.60 98.30 250.0
 MIA 20120130  7.02  6.42 93.00 44.30 98.30 242.1
 MIA 20120131  7.02  5.95 86.20 44.00 98.30 244.6
 MIA 20120201  6.89  6.70 98.90 43.80 98.30 250.8
 MIA 20120202  6.88  4.89 72.30 43.50 98.30 253.4
 MIA 20120203  6.71  5.67 86.00 43.20 98.30 261.1
 MIA 20120204  6.74  4.38 66.20 42.90 98.30 262.6
 MIA 20120205  6.89  6.29 92.80 42.70 98.30 260.1
 MIA 20120206  7.30  2.22 31.00 42.40 98.30 250.7
 MIA 20120207  7.14  6.89 98.20 42.10 98.30 257.5
 MIA 20120209  6.90  5.88 86.70 41.50 98.30 270.2
 MIA 20120210  7.00  6.88100.00 41.10 98.30 269.7
