 MOB 20120102  3.49  3.38100.00 54.10 97.00 290.6
 MOB 20120103  3.18  3.08100.00 53.90 97.00 316.2
 MOB 20120104  3.43  3.32100.00 53.80 97.00 297.7
 MOB 20120105  3.18  2.40 77.60 53.70 97.00 319.5
 MOB 20120106  3.48  3.27 96.90 53.60 97.00 297.3
 MOB 20120107  3.58  3.47100.00 53.50 97.00 292.1
 MOB 20120108  3.82  3.46 93.30 53.40 97.00 277.9
 MOB 20120109  4.06  3.16 80.40 53.20 97.00 265.9
 MOB 20120110  4.29  1.11 26.90 53.10 97.00 255.6
 MOB 20120111  3.67  2.96 82.90 52.90 97.00 294.0
 MOB 20120112  3.87  3.17 84.10 52.80 97.00 282.8
 MOB 20120113  3.94  3.83100.00 52.60 97.00 280.4
 MOB 20120114  4.10  3.98100.00 52.50 97.00 273.5
 MOB 20120115  4.28  4.16100.00 52.30 97.00 265.7
 MOB 20120116  4.58  1.90 42.50 52.10 97.00 253.3
 MOB 20120117  4.82  2.61 55.70 51.90 97.00 244.3
 MOB 20120118  4.74  4.60100.00 51.70 97.10 250.3
 MOB 20120119  4.30  4.17100.00 51.50 97.10 274.1
 MOB 20120120  4.72  3.43 74.70 51.30 97.10 255.6
 MOB 20120121  4.42  3.56 82.90 51.10 97.10 272.9
 MOB 20120122  4.70  2.33 51.20 50.90 97.10 261.0
 MOB 20120123  4.73  2.38 51.90 50.70 97.10 261.9
 MOB 20120124  4.67  1.62 36.20 50.50 97.10 267.6
 MOB 20120125  4.91  4.32 90.50 50.20 97.10 258.8
 MOB 20120126  5.07  2.84 57.80 50.00 97.10 254.9
 MOB 20120127  4.82  4.68100.00 49.70 97.10 268.8
 MOB 20120128  5.39  5.23100.00 49.50 97.10 247.2
 MOB 20120129  4.77  4.63100.00 49.20 97.10 277.1
 MOB 20120130  4.38  4.15 97.60 49.00 97.10 300.8
 MOB 20120131  4.65  3.80 84.10 48.70 97.10 289.3
 MOB 20120201  5.11  2.97 59.50 48.40 97.10 270.4
 MOB 20120202  5.26  2.28 44.60 48.20 97.10 266.7
 MOB 20120203  5.74  2.41 43.20 47.90 97.10 250.7
 MOB 20120204  5.68  2.84 51.60 47.60 97.10 255.9
 MOB 20120205  5.68  3.61 65.90 47.30 97.10 258.7
 MOB 20120206  5.71  5.51 99.20 47.00 97.10 260.1
 MOB 20120207  5.38  5.22100.00 46.70 97.10 277.1
 MOB 20120209  5.15  3.28 65.60 46.10 97.10 293.8
 MOB 20120210  4.61  3.81 85.00 45.80 97.10 326.4
 MOB 20120211  5.09  4.55 92.00 45.50 97.10 303.2
 MOB 20120212  5.80  5.64100.00 45.10 97.10 274.9
 MOB 20120213  6.14  4.01 67.20 44.80 97.10 265.5
 MOB 20120214  5.96  4.16 71.70 44.50 97.10 275.4
 MOB 20120215  6.41  6.11 98.00 44.20 97.10 261.8
 MOB 20120216  6.91  5.96 88.80 43.80 97.10 249.4
 MOB 20120217  6.84  4.54 68.30 43.50 97.10 254.3
 MOB 20120218  7.35  1.16 16.20 43.10 97.10 242.1
 MOB 20120219  6.46  2.74 43.80 42.80 97.10 273.0
 MOB 20120220  6.91  6.64 99.00 42.40 97.10 260.9
 MOB 20120221  6.60  4.52 70.90 42.10 97.10 274.2
 MOB 20120222  6.28  2.03 33.40 41.70 97.10 289.2
 MOB 20120223  5.80  2.31 41.00 41.40 97.10 312.6
 MOB 20120224  6.66  2.88 44.60 41.00 97.10 281.4
 MOB 20120225  6.08  4.50 76.30 40.60 97.10 307.1
 MOB 20120226  6.57  6.38100.00 40.30 97.10 291.1
 MOB 20120227  7.26  1.81 25.90 39.90 97.20 271.1
 MOB 20120228  7.87  4.41 57.80 39.50 97.20 256.1
 MOB 20120229  8.01  4.58 58.80 39.10 97.20 255.4
 MOB 20120302  7.86  6.04 79.30 38.40 97.10 264.9
 MOB 20120303  7.70  2.36 31.60 38.00 97.10 272.5
 MOB 20120304  6.32  6.14100.00 37.60 97.10 324.2
 MOB 20120305  6.96  6.76100.00 37.20 97.10 302.0
 MOB 20120306  7.16  6.96100.00 36.80 97.10 298.0
 MOB 20120307  7.53  3.20 43.80 36.40 97.10 289.1
 MOB 20120308  8.06  5.92 75.70 36.00 97.10 276.0
 MOB 20120309  8.29  6.01 74.70 35.60 97.10 272.5
