 ORD 20120102  1.06  0.81 83.10 65.30 92.20 427.9
 ORD 20120103  1.31  1.21100.00 65.30 92.20 346.7
 ORD 20120104  1.32  1.21 99.00 65.20 92.20 345.6
 ORD 20120105  1.52  1.40 99.80 65.00 92.20 305.1
 ORD 20120106  1.49  1.37100.00 64.90 92.20 314.4
 ORD 20120107  1.31  1.19 99.00 64.80 92.20 359.3
 ORD 20120108  1.21  1.05 94.30 64.70 92.20 393.7
 ORD 20120109  1.51  1.12 80.40 64.50 92.20 320.3
 ORD 20120110  1.64  1.51100.00 64.40 92.20 299.4
 ORD 20120111  1.53  1.27 89.80 64.20 92.30 324.2
 ORD 20120112  1.41  0.59 45.50 64.10 92.30 355.2
 ORD 20120113  1.34  0.92 74.50 63.90 92.30 378.9
 ORD 20120114  1.33  1.14 92.90 63.80 92.30 386.9
 ORD 20120115  1.47  1.35100.00 63.60 92.30 355.8
 ORD 20120116  1.63  1.19 78.80 63.40 92.30 325.5
 ORD 20120117  1.56  0.78 53.90 63.20 92.30 344.5
 ORD 20120118  1.43  1.27 96.30 63.00 92.30 380.0
 ORD 20120119  1.41  1.29 99.50 62.80 92.30 391.7
 ORD 20120120  1.68  0.55 35.20 62.60 92.30 336.1
 ORD 20120121  1.61  1.28 86.20 62.40 92.30 354.4
 ORD 20120122  1.76  1.37 84.10 62.20 92.30 330.5
 ORD 20120123  1.72  1.06 66.90 62.00 92.30 343.7
 ORD 20120124  1.82  1.68100.00 61.80 92.30 330.9
 ORD 20120125  1.96  1.25 69.00 61.50 92.30 314.3
 ORD 20120126  1.95  1.21 66.90 61.30 92.30 319.8
 ORD 20120127  1.94  1.79100.00 61.00 92.30 326.2
 ORD 20120128  1.71  1.58100.00 60.80 92.30 373.4
 ORD 20120129  1.42  1.28 97.30 60.50 92.40 456.1
 ORD 20120130  1.77  1.39 84.90 60.30 92.40 372.8
 ORD 20120131  1.93  0.98 54.90 60.00 92.40 348.6
 ORD 20120201  1.92  1.77100.00 59.70 92.40 358.0
 ORD 20120202  1.94  1.79100.00 59.50 92.40 360.1
 ORD 20120203  2.01  1.44 77.80 59.20 92.40 356.0
 ORD 20120204  2.15  1.90 95.50 58.90 92.40 340.0
 ORD 20120205  1.99  1.66 90.50 58.60 92.40 373.5
 ORD 20120206  1.97  1.82100.00 58.30 92.40 382.4
 ORD 20120207  2.21  1.44 70.60 58.00 92.40 350.7
 ORD 20120209  2.02  1.87100.00 57.40 92.40 395.5
 ORD 20120210  2.09  1.25 65.10 57.10 92.40 390.5
 ORD 20120211  1.87  1.63 94.40 56.80 92.40 440.8
 ORD 20120212  2.16  2.00100.00 56.40 92.50 391.3
 ORD 20120213  2.53  2.21 94.50 56.10 92.50 344.8
 ORD 20120214  2.67  2.18 88.30 55.80 92.50 334.6
 ORD 20120215  2.90  2.13 79.50 55.50 92.50 315.9
 ORD 20120216  2.96  2.68 98.10 55.10 92.50 315.6
 ORD 20120217  2.80  2.59100.00 54.80 92.50 336.7
 ORD 20120218  2.75  2.54100.00 54.40 92.50 349.1
 ORD 20120219  2.84  2.62 99.90 54.10 92.50 346.0
 ORD 20120220  2.79  2.57 99.40 53.70 92.50 357.3
 ORD 20120221  2.51  1.60 68.80 53.40 92.50 401.0
 ORD 20120222  2.54  2.13 90.80 53.00 92.50 404.1
 ORD 20120223  2.76  1.39 54.50 52.70 92.50 381.0
 ORD 20120224  2.62  1.63 67.10 52.30 92.50 406.2
 ORD 20120225  2.71  2.36 94.10 51.90 92.60 400.9
 ORD 20120226  3.73  3.45100.00 51.60 92.60 307.6
 ORD 20120227  3.37  3.10 99.50 51.20 92.60 341.5
 ORD 20120228  3.68  2.92 85.90 50.80 92.60 321.1
 ORD 20120229  3.52  3.21 98.50 50.40 92.60 338.7
 ORD 20120302  3.32  2.38 77.70 49.70 92.20 369.4
 ORD 20120303  2.73  2.37 94.00 49.30 92.20 447.5
 ORD 20120304  3.48  3.08 96.00 48.90 92.20 366.2
 ORD 20120305  3.80  3.43 97.90 48.50 92.20 344.3
 ORD 20120306  4.85  4.47100.00 48.10 92.20 284.4
 ORD 20120307  5.32  3.13 63.80 47.70 92.30 267.1
 ORD 20120308  3.83  3.54100.00 47.30 92.30 358.4
 ORD 20120309  4.11  3.79100.00 46.90 92.30 342.9
 ORD 20120310  4.43  4.08100.00 46.50 92.30 326.5
 ORD 20120313  4.46  4.12100.00 45.40 92.30 338.3
 ORD 20120314  4.51  4.16100.00 45.00 92.30 340.1
 ORD 20120315  4.59  3.16 74.50 44.60 92.30 339.4
 ORD 20120316  4.85  2.45 54.80 44.20 92.30 329.0
 ORD 20120317  4.87  4.50100.00 43.80 92.30 332.5
 ORD 20120318  5.37  3.97 80.10 43.30 92.30 310.4
 ORD 20120319  5.95  4.65 84.60 42.90 92.40 288.8
 ORD 20120320  5.98  5.51 99.80 42.50 92.40 291.2
 ORD 20120321  6.13  5.40 95.30 42.10 92.40 288.9
 ORD 20120322  6.69  5.47 88.50 41.70 92.40 272.2
 ORD 20120323  6.25  4.84 83.90 41.30 92.40 291.8
 ORD 20120324  6.59  2.62 43.10 40.90 92.40 282.3
 ORD 20120325  6.54  6.05100.00 40.50 92.40 287.6
 ORD 20120326  6.89  5.72 89.80 40.10 92.40 278.6
 ORD 20120327  6.56  5.61 92.50 39.70 92.40 293.9
 ORD 20120328  6.11  5.65100.00 39.30 92.40 315.1
 ORD 20120329  6.11  5.65100.00 38.90 92.40 318.6
 ORD 20120330  5.86  2.36 43.60 38.50 92.40 334.0
 ORD 20120331  5.85  5.33 98.60 38.10 92.40 338.0
 ORD 20120401  6.74  5.93 95.20 37.80 92.50 303.7
 ORD 20120402  7.17  6.63100.00 37.40 92.50 291.5
 ORD 20120403  7.06  4.60 70.50 37.00 92.50 298.1
 ORD 20120404  7.35  6.80100.00 36.60 92.50 291.6
 ORD 20120405  6.97  6.44100.00 36.20 92.50 307.8
 ORD 20120406  6.63  6.13100.00 35.80 92.50 324.0
 ORD 20120407  6.91  6.29 98.40 35.40 92.50 315.9
 ORD 20120408  6.44  5.95100.00 35.00 92.50 338.3
 ORD 20120409  5.50  5.04 99.00 34.70 92.50 389.9
 ORD 20120410  5.60  5.18100.00 34.30 92.50 387.7
 ORD 20120411  6.16  5.69100.00 33.90 92.50 360.7
 ORD 20120412  6.59  6.10100.00 33.50 92.50 343.6
 ORD 20120413  7.20  6.37 95.70 33.20 92.50 322.0
 ORD 20120414  7.32  5.45 80.40 32.80 92.50 319.9
 ORD 20120415  7.86  4.94 67.90 32.40 92.50 304.2
 ORD 20120416  7.48  4.77 68.90 32.10 92.50 319.3
 ORD 20120417  6.79  6.29100.00 31.70 92.50 349.0
