 SDF 20120102  1.50  1.17 84.30 61.70 92.50 401.9
 SDF 20120103  1.72  1.59100.00 61.60 92.50 354.6
 SDF 20120104  1.73  1.53 96.10 61.50 92.50 355.6
 SDF 20120105  2.09  1.93100.00 61.40 92.50 300.0
 SDF 20120106  2.22  2.05100.00 61.20 92.50 287.2
 SDF 20120107  2.03  1.76 93.80 61.10 92.50 313.1
 SDF 20120108  1.93  1.79100.00 61.00 92.50 330.4
 SDF 20120109  1.84  1.71100.00 60.90 92.50 347.8
 SDF 20120110  2.26  2.09100.00 60.70 92.50 291.5
 SDF 20120111  2.09  0.39 20.20 60.60 92.50 315.0
 SDF 20120112  1.89  0.74 42.70 60.40 92.50 350.2
 SDF 20120113  1.81  1.72 88.90 60.30 92.50 367.4
 SDF 20120114  1.85  1.64 95.80 60.10 92.50 364.1
 SDF 20120115  2.07  2.25100.00 59.90 92.50 332.1
 SDF 20120116  2.28  0.55 26.20 59.70 92.50 307.3
 SDF 20120117  2.46  1.23 53.50 59.50 92.50 290.9
 SDF 20120118  2.07  1.91100.00 59.40 92.50 344.6
 SDF 20120119  2.07  1.31 68.60 59.20 92.50 349.4
 SDF 20120120  2.38  1.72 77.70 59.00 92.50 311.0
 SDF 20120121  2.34  2.10 97.10 58.70 92.50 320.2
 SDF 20120122  2.53  2.07 88.10 58.50 92.50 302.4
 SDF 20120123  2.43  1.78 79.30 58.30 92.60 317.9
 SDF 20120124  2.51  2.33100.00 58.10 92.60 312.7
 SDF 20120125  2.75  1.29 50.60 57.80 92.60 292.7
 SDF 20120126  2.89  0.32 11.90 57.60 92.60 284.4
 SDF 20120127  2.72  1.27 50.50 57.40 92.60 303.7
 SDF 20120128  2.77  2.32 90.50 57.10 92.60 302.9
 SDF 20120129  2.07  1.80 93.90 56.90 92.60 401.3
 SDF 20120130  2.54  2.32 98.80 56.60 92.60 337.0
 SDF 20120131  2.57  1.16 48.90 56.30 92.60 337.7
 SDF 20120201  2.80  1.33 51.40 56.10 92.60 317.1
 SDF 20120202  2.81  2.60100.00 55.80 92.60 320.8
 SDF 20120203  2.91  2.70100.00 55.50 92.60 315.6
 SDF 20120204  3.08  0.53 18.50 55.20 92.60 304.4
 SDF 20120205  2.70  2.46 98.50 54.90 92.60 347.5
 SDF 20120206  2.88  2.66100.00 54.60 92.60 333.7
 SDF 20120207  3.08  2.85100.00 54.30 92.60 319.1
 SDF 20120209  2.79  2.59100.00 53.70 92.70 359.6
 SDF 20120210  2.99  1.50 54.40 53.40 92.70 343.9
 SDF 20120211  2.51  2.53 93.00 53.10 92.70 408.4
 SDF 20120212  3.16  3.12100.00 52.80 92.70 338.0
 SDF 20120213  3.44  2.97 93.00 52.50 92.70 317.8
 SDF 20120214  3.28  1.82 60.00 52.10 92.70 337.1
 SDF 20120215  3.77  2.09 59.90 51.80 92.70 303.3
 SDF 20120216  4.04  2.22 59.00 51.50 92.70 289.9
 SDF 20120217  4.20  3.90100.00 51.10 92.70 284.5
 SDF 20120218  4.26  3.17 80.60 50.80 92.70 285.8
 SDF 20120219  4.05  2.68 71.60 50.40 92.70 302.6
 SDF 20120220  3.71  3.44100.00 50.10 92.70 330.9
 SDF 20120221  3.30  0.86 28.00 49.70 92.70 372.4
 SDF 20120222  3.31  2.64 85.90 49.40 92.80 376.9
 SDF 20120223  3.81  3.08 87.10 49.00 92.80 339.0
 SDF 20120224  3.66  1.10 32.50 48.60 92.80 356.1
 SDF 20120225  3.50  2.84 87.80 48.30 92.80 376.6
 SDF 20120226  4.44  4.12100.00 47.90 92.80 310.8
 SDF 20120227  4.68  4.34100.00 47.50 92.80 301.3
 SDF 20120228  5.12  4.74 99.80 47.20 92.80 283.5
 SDF 20120229  5.29  1.54 31.70 46.80 92.80 279.9
 SDF 20120302  4.57  1.43 33.80 46.00 92.50 325.5
 SDF 20120303  3.90  3.56 98.80 45.60 92.50 379.3
 SDF 20120304  3.80  3.17 90.00 45.30 92.50 392.6
 SDF 20120305  4.16  3.85100.00 44.90 92.60 367.8
 SDF 20120306  5.50  5.09100.00 44.50 92.60 294.4
 SDF 20120307  6.23  4.47 77.40 44.10 92.60 268.8
 SDF 20120308  5.98  0.49  8.90 43.70 92.60 281.7
 SDF 20120309  5.04  4.66100.00 43.30 92.60 330.0
 SDF 20120310  5.68  5.25100.00 42.90 92.60 302.3
 SDF 20120313  5.39  2.48 49.70 41.70 92.60 328.2
 SDF 20120314  5.32  4.92100.00 41.30 92.60 336.0
 SDF 20120315  5.81  4.94 91.70 40.90 92.60 315.7
 SDF 20120316  5.89  4.64 85.10 40.50 92.60 316.1
 SDF 20120317  6.48  5.96 99.40 40.10 92.60 295.3
 SDF 20120318  6.30  5.72 98.00 39.70 92.70 305.7
 SDF 20120319  6.86  5.40 85.00 39.30 92.70 288.4
 SDF 20120320  6.99  5.88 90.70 38.90 92.70 286.8
 SDF 20120321  7.16  6.45 97.30 38.50 92.70 284.5
 SDF 20120322  7.38  5.96 87.20 38.10 92.70 280.4
 SDF 20120323  7.44  3.78 54.70 37.70 92.70 281.6
 SDF 20120324  5.89  5.04 92.40 37.30 92.70 346.2
 SDF 20120325  7.51  4.28 61.60 36.90 92.70 285.6
 SDF 20120326  8.03  7.40 99.40 36.50 92.70 273.1
 SDF 20120327  8.42  7.81100.00 36.10 92.70 265.2
 SDF 20120328  7.86  6.52 89.20 35.70 92.70 283.6
 SDF 20120329  7.38  6.79 99.20 35.30 92.70 301.5
 SDF 20120330  7.45  6.91100.00 34.90 92.70 302.1
 SDF 20120331  6.82  5.35 84.60 34.60 92.70 328.6
 SDF 20120401  7.55  6.72 95.90 34.20 92.70 304.3
 SDF 20120402  8.07  5.00 67.00 33.80 92.70 290.9
 SDF 20120403  7.86  6.98 95.70 33.40 92.80 299.5
 SDF 20120404  8.58  3.46 43.30 33.00 92.80 281.2
 SDF 20120405  7.87  1.75 24.00 32.60 92.80 304.6
 SDF 20120406  7.49  6.95100.00 32.20 92.80 319.8
 SDF 20120407  7.92  7.35100.00 31.80 92.80 308.4
 SDF 20120408  7.70  6.85 95.80 31.50 92.80 318.0
 SDF 20120409  7.19  6.35 95.20 31.10 92.80 339.6
 SDF 20120410  6.09  5.66100.00 30.70 92.80 393.2
 SDF 20120411  6.67  6.15 99.40 30.30 92.80 367.2
 SDF 20120412  7.21  6.69100.00 30.00 92.80 346.7
 SDF 20120413  7.68  7.13100.00 29.60 92.80 331.3
 SDF 20120414  8.49  3.94 50.00 29.20 92.80 306.8
 SDF 20120415  8.88  8.14 98.80 28.90 92.80 297.8
 SDF 20120416  9.22  5.69 66.50 28.50 92.80 290.6
 SDF 20120417  8.54  6.73 84.80 28.20 92.80 311.5
 SDF 20120418  8.43  7.53 96.30 27.80 92.80 316.8
 SDF 20120419  8.61  7.99100.00 27.50 92.80 313.4
 SDF 20120420  8.71  8.05 99.50 27.10 92.80 312.2
 SDF 20120421  7.58  2.78 39.70 26.80 92.80 352.5
 SDF 20120422  7.18  6.04 90.50 26.40 92.80 371.0
 SDF 20120423  6.93  6.43100.00 26.10 92.90 384.3
 SDF 20120424  6.86  6.37100.00 25.80 92.90 389.7
 SDF 20120425  8.00  7.38 99.30 25.40 92.90 344.5
 SDF 20120426  7.58  2.78 39.50 25.10 92.90 362.0
 SDF 20120427  8.53  7.86 99.20 24.80 92.90 330.4
 SDF 20120428  8.55  6.27 78.90 24.50 92.90 331.2
 SDF 20120429  9.15  6.43 75.80 24.20 92.90 314.3
 SDF 20120430  9.18  7.66 89.70 23.90 92.90 314.9
 SDF 20120501  9.25  4.15 48.30 23.60 92.90 314.4
 SDF 20120502  9.15  8.32 98.20 23.30 92.60 318.4
 SDF 20120503  9.78  8.30 91.60 23.00 92.60 302.6
 SDF 20120504  9.97  7.24 78.40 22.70 92.60 299.0
 SDF 20120505  9.21  8.03 94.10 22.40 92.60 320.2
 SDF 20120506  9.60  8.86 99.60 22.10 92.60 311.1
 SDF 20120507 10.17  9.01 95.60 21.90 92.70 297.4
 SDF 20120508 10.08  8.94 95.80 21.60 92.70 300.8
 SDF 20120509  8.81  8.05 98.60 21.30 92.70 337.2
 SDF 20120510  8.63  7.99100.00 21.10 92.70 344.4
 SDF 20120511  9.21  8.54100.00 20.80 92.70 327.3
 SDF 20120512  8.77  6.41 78.90 20.60 92.70 341.8
 SDF 20120513  9.03  3.70 44.50 20.40 92.70 334.9
 SDF 20120514  8.20  4.10 54.00 20.10 92.70 363.5
 SDF 20120515  8.27  7.62 99.50 19.90 92.70 362.2
 SDF 20120516  8.96  8.11 97.70 19.70 92.70 339.7
 SDF 20120517  8.65  8.02100.00 19.40 92.70 350.6
 SDF 20120518  8.97  8.32100.00 19.20 92.70 340.6
 SDF 20120519  9.14  8.40 99.20 19.00 92.70 336.3
 SDF 20120520  9.52  8.81 99.80 18.80 92.70 325.9
 SDF 20120521 10.10  9.01 96.20 18.60 92.70 311.1
 SDF 20120522  9.56  5.81 65.70 18.40 92.70 326.0
 SDF 20120523  9.18  6.65 78.10 18.30 92.70 337.6
 SDF 20120524  9.69  8.98100.00 18.10 92.70 323.5
 SDF 20120525 10.05  9.17 98.50 17.90 92.70 314.5
 SDF 20120526 10.93 10.13100.00 17.80 92.70 294.1
 SDF 20120527 11.54 10.68 99.80 17.60 92.70 281.4
 SDF 20120528 11.11 10.30100.00 17.40 92.70 291.1
 SDF 20120529 10.85  6.13 60.90 17.30 92.70 297.2
 SDF 20120530 10.67  9.89100.00 17.20 92.70 301.4
 SDF 20120531 10.56  9.54 97.40 17.00 92.70 304.6
 SDF 20120601  8.81  2.87 35.20 16.90 92.70 354.0
 SDF 20120602  8.41  7.80100.00 16.80 92.70 368.1
 SDF 20120603  9.65  8.92 99.80 16.70 92.70 329.3
 SDF 20120604  9.70  4.90 54.60 16.60 92.70 328.1
 SDF 20120605  8.61  7.95 99.60 16.50 92.70 361.9
 SDF 20120606  8.55  7.93100.00 16.40 92.70 364.5
 SDF 20120607  8.88  8.23100.00 16.30 92.70 353.7
 SDF 20120608  9.66  8.96100.00 16.20 92.70 330.2
 SDF 20120609  9.96  8.77 95.00 16.10 92.70 322.0
 SDF 20120610 10.73  9.84 98.90 16.10 92.70 303.4
 SDF 20120611 11.14  5.13 49.80 16.00 92.70 294.3
 SDF 20120612 10.67  8.70 88.00 16.00 92.70 305.0
 SDF 20120613  9.45  8.76100.00 15.90 92.70 337.1
 SDF 20120614  9.17  8.50100.00 15.90 92.70 345.5
 SDF 20120615 10.66  9.85 99.60 15.80 92.70 305.5
 SDF 20120616 10.72  9.76 98.20 15.80 92.70 304.2
 SDF 20120617 10.55  8.51 87.00 15.80 92.70 308.3
 SDF 20120618 10.41  9.58 99.30 15.80 92.70 311.7
 SDF 20120619 10.62  9.80 99.50 15.80 92.70 306.5
 SDF 20120620 10.85 10.06100.00 15.80 92.70 300.9
 SDF 20120621 10.79 10.00100.00 15.80 92.70 302.4
 SDF 20120622 10.65  9.81 99.40 15.80 92.70 305.7
 SDF 20120623 10.43  9.57 98.90 15.80 92.70 310.8
 SDF 20120624 10.17  9.26 98.30 15.80 92.70 317.2
 SDF 20120625  9.96  9.21 99.70 15.90 92.70 322.3
 SDF 20120626 10.12  9.39100.00 15.90 92.70 317.9
 SDF 20120627 10.30  9.55100.00 16.00 92.70 313.5
 SDF 20120628 10.76  9.98100.00 16.00 92.70 302.0
 SDF 20120629 10.84  8.35 83.10 16.10 92.70 300.0
 SDF 20120630 10.68  9.88 99.80 16.10 92.70 303.4
 SDF 20120701 10.87  9.90 98.30 16.20 92.70 298.8
 SDF 20120702 10.53  9.63 98.60 16.30 92.70 306.6
 SDF 20120703 10.71  9.77 98.30 16.40 92.70 301.8
 SDF 20120704 10.52  9.58 98.20 16.50 92.70 306.2
 SDF 20120705 10.39  9.07 94.10 16.60 92.70 308.9
 SDF 20120706 10.65  9.86 99.90 16.70 92.70 302.4
 SDF 20120707 11.42 10.56 99.80 16.80 92.70 285.3
 SDF 20120708 10.66  9.53 96.40 16.90 92.70 301.1
 SDF 20120709 10.37  9.59 99.80 17.00 92.70 307.9
 SDF 20120710 10.53  9.76100.00 17.20 92.70 303.5
 SDF 20120711 10.65  9.67 97.90 17.30 92.70 300.2
 SDF 20120712 10.53  8.01 82.10 17.40 92.70 302.5
 SDF 20120713 10.41  7.79 80.80 17.60 92.70 304.9
 SDF 20120714 10.70  9.86 99.40 17.80 92.70 297.6
 SDF 20120715 10.85  8.66 86.20 17.90 92.70 293.9
 SDF 20120716 10.48  9.68 99.60 18.10 92.70 301.4
 SDF 20120717 10.66  9.85 99.60 18.30 92.70 296.7
 SDF 20120718 10.25  9.09 95.70 18.40 92.70 306.1
 SDF 20120719 10.57  9.66 98.70 18.60 92.70 297.7
 SDF 20120720 10.39  7.15 74.30 18.80 92.70 301.2
 SDF 20120721 10.53  9.76100.00 19.00 92.70 297.4
 SDF 20120722 10.35  9.58 99.90 19.20 92.70 300.8
 SDF 20120723 10.52  9.51 97.60 19.40 92.70 296.1
 SDF 20120724 10.65  8.33 84.40 19.70 92.70 292.7
 SDF 20120725 10.63  9.62 97.60 19.90 92.70 292.3
 SDF 20120726 10.39  9.62100.00 20.10 92.70 297.0
 SDF 20120727 10.24  8.79 92.60 20.40 92.70 299.5
 SDF 20120728 10.12  9.37 99.90 20.60 92.70 301.2
 SDF 20120729 10.35  9.59100.00 20.80 92.70 295.0
 SDF 20120730 10.32  9.56100.00 21.10 92.70 294.7
 SDF 20120731  9.91  9.18100.00 21.30 92.70 303.5
 SDF 20120801 10.00  5.84 63.00 21.60 92.70 299.9
 SDF 20120802 10.33  9.41 98.40 21.90 92.70 291.4
 SDF 20120803 10.22  1.97 20.80 22.10 92.60 292.8
 SDF 20120804 10.12  6.01 64.10 22.40 92.60 293.9
 SDF 20120805 10.28  4.43 46.50 22.70 92.60 289.1
 SDF 20120806  9.62  8.91100.00 23.00 92.60 303.8
 SDF 20120807  8.99  8.32100.00 23.30 92.60 319.7
 SDF 20120808  9.41  8.64 99.10 23.60 92.60 306.8
 SDF 20120809  9.39  8.19 94.10 23.90 92.60 305.9
 SDF 20120810  8.92  3.93 47.50 24.20 92.60 317.7
 SDF 20120811  8.78  8.06 99.20 24.50 92.60 320.2
 SDF 20120812  9.40  8.71100.00 24.80 92.60 301.3
 SDF 20120813  9.20  8.46 99.30 25.10 92.60 305.5
 SDF 20120815  8.82  8.17100.00 25.80 92.60 312.7
 SDF 20120816  9.11  8.44100.00 26.10 92.60 302.6
 SDF 20120817  8.88  8.17 99.40 26.40 92.60 307.3
 SDF 20120818  8.08  7.40 98.90 26.80 92.60 330.5
 SDF 20120819  8.12  7.28 96.80 27.10 92.60 326.9
 SDF 20120820  7.74  7.17100.00 27.50 92.60 337.8
 SDF 20120825  8.72  8.07100.00 29.20 92.60 296.4
 SDF 20120826  9.02  8.31 99.60 29.60 92.60 286.4
 SDF 20120827  9.02  5.05 60.50 30.00 92.60 284.2
 SDF 20120828  8.64  8.00100.00 30.30 92.60 292.4
 SDF 20120831  8.90  5.26 63.90 31.50 92.50 278.5
 SDF 20120901  8.66  7.86 98.10 31.80 92.50 282.5
 SDF 20120902  8.31  7.63 99.00 32.20 92.80 290.1
 SDF 20120903  8.67  5.96 74.20 32.60 92.80 277.5
 SDF 20120905  8.57  7.79 98.00 33.40 92.80 275.5
 SDF 20120906  8.16  7.57100.00 33.80 92.70 284.1
 SDF 20120907  7.82  7.19 99.10 34.20 92.70 291.7
 SDF 20120908  6.85  5.25 82.70 34.60 92.70 322.7
 SDF 20120909  6.96  6.45100.00 34.90 92.70 315.5
 SDF 20120910  7.31  6.78100.00 35.30 92.70 299.6
 SDF 20120911  7.51  6.96100.00 35.70 92.70 290.4
 SDF 20120912  7.43  6.88100.00 36.10 92.70 290.2
 SDF 20120913  7.32  6.07 89.40 36.50 92.70 290.5
 SDF 20120914  7.46  5.82 84.00 36.90 92.70 282.9
 SDF 20120915  7.09  6.11 93.00 37.30 92.70 292.1
 SDF 20120916  6.76  6.25 99.70 37.70 92.70 300.5
 SDF 20120917  6.72  4.33 69.60 38.10 92.70 298.8
 SDF 20120919  6.20  5.75100.00 38.90 92.70 312.4
 SDF 20120920  6.32  5.86100.00 39.30 92.70 304.1
 SDF 20120922  6.36  5.88 99.70 40.10 92.60 295.4
 SDF 20120923  6.04  5.59100.00 40.50 92.60 305.1
 SDF 20120924  5.70  5.28100.00 40.90 92.60 316.0
 SDF 20120925  6.20  3.85 67.10 41.30 92.60 291.4
 SDF 20120926  6.21  5.35 93.00 41.70 92.60 287.4
 SDF 20120927  6.14  4.26 74.70 42.10 92.60 286.6
 SDF 20120928  6.02  3.80 68.20 42.50 92.60 287.7
 SDF 20120929  5.58  5.05 97.80 42.90 92.60 302.2
 SDF 20120930  5.87  4.77 87.90 43.30 92.60 286.3
 SDF 20121001  5.90  1.42 26.00 43.70 92.60 280.9
 SDF 20121002  6.08  4.19 74.40 44.50 92.60 266.6
