 SEA 20120102  0.74  0.26 36.60 70.80 96.40 377.1
 SEA 20120103  0.89  0.41 47.30 70.70 96.40 313.2
 SEA 20120104  0.87  0.60 71.80 70.60 96.40 322.9
 SEA 20120105  0.84  0.54 67.50 70.50 96.40 339.0
 SEA 20120106  0.77  0.72 93.00 70.40 96.40 375.8
 SEA 20120107  0.84  0.64 79.20 70.20 96.40 345.9
 SEA 20120108  0.86  0.83100.00 70.10 96.40 340.6
 SEA 20120109  0.87  0.40 48.20 70.00 96.40 340.1
 SEA 20120110  0.85  0.75 90.70 69.80 96.40 353.4
 SEA 20120111  0.94  0.85 94.40 69.70 96.40 326.8
 SEA 20120112  0.99  0.91 95.10 69.50 96.40 314.8
 SEA 20120113  0.96  0.93 99.80 69.40 96.40 329.2
 SEA 20120114  0.85  0.27 32.30 69.20 96.40 379.3
 SEA 20120115  0.81  0.87 93.80 69.00 96.40 409.8
 SEA 20120116  0.83  0.71 88.50 68.90 96.40 407.0
 SEA 20120117  0.79  0.41 45.90 68.70 96.40 436.7
 SEA 20120118  0.95  0.49 45.20 68.50 96.40 367.7
 SEA 20120119  0.98  0.92 82.00 68.30 96.40 360.2
 SEA 20120120  1.03  0.44 41.80 68.10 96.40 350.3
 SEA 20120121  1.01  0.37 36.00 67.90 96.40 366.4
 SEA 20120122  1.12  0.61 52.40 67.60 96.40 336.7
 SEA 20120123  1.05  1.10100.00 67.40 96.40 366.2
 SEA 20120124  1.30  0.29 22.60 67.20 96.40 302.3
 SEA 20120125  1.25  0.56 44.40 67.00 96.40 320.4
 SEA 20120126  1.18  0.82 66.80 66.70 96.40 344.4
 SEA 20120127  1.19  1.23 98.70 66.50 96.40 350.2
 SEA 20120128  1.24  0.98 80.80 66.20 96.40 340.3
 SEA 20120129  1.30  0.29 23.00 66.00 96.40 331.6
 SEA 20120130  1.27  0.67 51.80 65.70 96.40 346.7
 SEA 20120131  1.21  0.67 53.00 65.40 96.40 371.6
 SEA 20120201  1.20  0.66 55.00 65.20 96.40 383.8
 SEA 20120202  1.33  1.26 97.80 64.90 96.50 353.9
 SEA 20120203  1.40  1.37100.00 64.60 96.50 342.5
 SEA 20120204  1.45  1.41 99.90 64.30 96.50 339.7
 SEA 20120205  1.50  1.45100.00 64.00 96.50 336.9
 SEA 20120206  1.50  1.43 98.90 63.80 96.50 345.7
 SEA 20120207  1.48  1.43 99.90 63.50 96.50 357.9
 SEA 20120209  1.88  0.38 20.70 62.80 96.50 299.9
 SEA 20120210  1.75  0.40 23.50 62.50 96.50 327.8
 SEA 20120211  1.80  1.72 98.80 62.20 96.50 325.4
 SEA 20120212  1.90  1.73 94.90 61.90 96.50 317.7
 SEA 20120213  1.88  1.58 87.40 61.60 96.50 326.8
 SEA 20120214  1.78  1.26 73.10 61.20 96.50 351.8
 SEA 20120215  1.80  1.58 91.10 60.90 96.50 354.9
 SEA 20120216  1.84  0.99 55.80 60.60 96.50 354.6
 SEA 20120217  1.90  1.10 59.90 60.20 96.50 352.2
 SEA 20120218  1.67  0.32 18.60 59.90 96.50 406.3
 SEA 20120219  1.73  1.59 87.80 59.50 96.50 401.8
 SEA 20120220  1.88  0.95 52.50 59.20 96.50 380.9
 SEA 20120221  2.22  0.20  9.40 58.80 96.50 334.3
 SEA 20120222  2.27  1.71 75.40 58.50 96.50 335.2
 SEA 20120223  2.43  2.45 97.40 58.10 96.50 321.7
 SEA 20120224  2.53  1.15 47.10 57.70 96.50 317.0
 SEA 20120225  2.22  0.67 29.60 57.40 96.50 364.6
 SEA 20120226  1.93  1.97 97.40 57.00 96.50 424.8
 SEA 20120227  2.15  2.23100.00 56.60 96.60 391.6
 SEA 20120228  2.32  2.17 96.80 56.20 96.60 371.8
 SEA 20120229  1.98  1.30 62.00 55.90 96.60 440.6
 SEA 20120302  2.78  1.71 59.00 55.10 96.00 335.4
 SEA 20120303  3.37  1.32 38.80 54.70 96.00 288.5
 SEA 20120304  3.46  3.09 93.20 54.30 96.10 288.5
