 STL 20120102  1.41  1.30 98.20 62.10 93.50 413.9
 STL 20120103  1.76  1.65100.00 62.00 93.50 336.4
 STL 20120104  1.79  1.67100.00 61.90 93.50 334.0
 STL 20120105  2.09  1.95100.00 61.80 93.50 292.8
 STL 20120106  2.18  2.04100.00 61.70 93.50 283.4
 STL 20120107  1.92  1.80100.00 61.50 93.50 320.2
 STL 20120108  1.82  1.48 87.00 61.40 93.50 339.6
 STL 20120109  1.80  1.68100.00 61.30 93.50 346.1
 STL 20120110  2.11  1.98100.00 61.10 93.50 301.2
 STL 20120111  2.06  0.59 31.20 61.00 93.50 311.7
 STL 20120112  1.72  0.98 54.20 60.80 93.50 371.1
 STL 20120113  1.72  1.94100.00 60.70 93.50 374.5
 STL 20120114  1.79  1.79 85.50 60.50 93.50 365.2
 STL 20120115  2.04  1.96100.00 60.30 93.50 327.6
 STL 20120116  2.22  0.67 32.00 60.10 93.50 305.8
 STL 20120117  2.23  1.37 65.60 60.00 93.60 308.4
 STL 20120118  1.87  1.72 98.00 59.80 93.60 366.9
 STL 20120119  2.00  1.48 79.10 59.60 93.60 349.7
 STL 20120120  2.33  1.45 66.30 59.40 93.60 308.3
 STL 20120121  2.36  2.18 98.60 59.10 93.60 309.4
 STL 20120122  2.43  1.10 48.50 58.90 93.60 305.1
 STL 20120123  2.32  1.78 81.70 58.70 93.60 322.3
 STL 20120124  2.47  2.31100.00 58.50 93.60 309.6
 STL 20120125  2.61  0.91 37.40 58.20 93.60 298.4
 STL 20120126  2.52  2.30 97.40 58.00 93.60 312.8
 STL 20120127  2.64  2.38 96.50 57.80 93.60 304.7
 STL 20120128  2.38  2.23100.00 57.50 93.60 338.3
 STL 20120129  2.07  1.94100.00 57.30 93.60 390.8
 STL 20120130  2.45  2.18 94.90 57.00 93.60 339.8
 STL 20120131  2.51  1.24 52.60 56.70 93.60 337.5
 STL 20120201  2.60  2.36 96.80 56.50 93.60 331.2
 STL 20120202  2.69  2.52100.00 56.20 93.60 326.1
 STL 20120203  2.74  2.14 83.20 55.90 93.60 325.8
 STL 20120204  2.94  0.42 15.30 55.60 93.60 310.3
 STL 20120205  2.53  2.36 99.60 55.30 93.60 359.6
 STL 20120206  2.72  2.55100.00 55.00 93.70 342.5
 STL 20120207  2.88  2.20 81.50 54.70 93.70 330.8
 STL 20120209  2.67  2.50100.00 54.10 93.70 366.4
 STL 20120210  2.72  1.50 58.90 53.80 93.70 365.6
 STL 20120211  2.55  2.39100.00 53.50 93.70 394.0
 STL 20120212  3.16  2.96100.00 53.20 93.70 331.0
 STL 20120213  3.15  2.00 63.10 52.80 93.70 337.3
 STL 20120214  3.31  1.87 60.40 52.50 93.70 327.9
 STL 20120215  3.59  1.88 55.50 52.20 93.70 310.0
 STL 20120216  3.76  3.28 93.20 51.80 93.70 302.7
 STL 20120217  3.80  3.56100.00 51.50 93.70 304.7
 STL 20120218  3.88  3.25 89.50 51.20 93.70 303.9
 STL 20120219  3.56  2.82 84.40 50.80 93.70 332.0
 STL 20120220  3.48  3.25 99.70 50.50 93.70 343.6
 STL 20120221  3.09  1.33 46.00 50.10 93.70 388.3
 STL 20120222  3.16  2.09 70.40 49.70 93.80 385.9
 STL 20120223  3.62  1.36 40.00 49.40 93.80 348.2
 STL 20120224  3.21  2.01 66.80 49.00 93.80 393.3
 STL 20120225  3.70  3.47100.00 48.60 93.80 352.6
 STL 20120226  4.41  4.14100.00 48.30 93.80 307.4
 STL 20120227  4.27  4.00100.00 47.90 93.80 321.0
 STL 20120228  5.02  4.70100.00 47.50 93.80 284.0
 STL 20120229  4.65  4.36100.00 47.10 93.80 307.5
 STL 20120302  4.19  2.01 51.40 46.40 93.60 345.7
 STL 20120303  3.53  3.31100.00 46.00 93.60 406.8
 STL 20120304  3.83  2.88 80.50 45.60 93.60 384.7
 STL 20120305  5.05  4.73100.00 45.20 93.60 307.3
 STL 20120306  5.71  5.34100.00 44.80 93.60 280.9
 STL 20120307  6.10  4.71 82.50 44.40 93.60 269.8
 STL 20120308  5.28  4.49 91.00 44.00 93.60 308.9
 STL 20120309  5.28  4.94100.00 43.70 93.60 313.0
 STL 20120310  5.54  5.19100.00 43.30 93.60 304.5
 STL 20120313  5.23  4.90100.00 42.10 93.70 332.3
 STL 20120314  5.62  3.96 75.20 41.70 93.70 316.9
 STL 20120315  5.94  5.09 91.50 41.30 93.70 306.3
 STL 20120316  5.84  5.42 99.00 40.90 93.70 314.2
 STL 20120317  6.25  5.31 90.80 40.50 93.70 300.3
 STL 20120318  6.30  5.85 99.10 40.10 93.70 302.1
 STL 20120319  6.82  5.90 92.30 39.70 93.70 286.3
 STL 20120320  6.63  6.11 98.40 39.20 93.70 296.6
 STL 20120321  6.98  4.23 64.70 38.80 93.70 287.4
 STL 20120322  6.80  1.14 17.90 38.50 93.70 296.9
 STL 20120323  5.64  4.08 77.20 38.00 93.70 351.5
 STL 20120324  6.87  6.23 96.70 37.60 93.70 301.0
 STL 20120325  7.93  7.07 95.10 37.20 93.70 270.3
 STL 20120326  8.20  6.19 80.50 36.80 93.70 265.6
 STL 20120327  8.00  7.22 96.20 36.40 93.70 273.9
 STL 20120328  7.79  7.24 99.00 36.00 93.70 282.6
 STL 20120329  7.81  5.37 73.40 35.60 93.80 285.1
 STL 20120330  7.11  2.97 44.40 35.20 93.80 311.5
 STL 20120331  6.78  6.35100.00 34.80 93.80 327.2
 STL 20120401  7.78  7.30100.00 34.50 93.80 294.3
