 BDL 20130102  1.22  1.38 96.40 65.30 94.90 372.0
 BDL 20130103  1.25  1.60100.00 65.20 94.90 365.9
 BDL 20130104  1.25  1.32 88.70 65.10 94.90 367.5
 BDL 20130105  1.52  1.82100.00 65.00 94.90 306.4
 BDL 20130106  1.44  1.68 99.80 64.90 94.90 324.5
 BDL 20130107  1.49  1.76100.00 64.80 94.90 318.3
 BDL 20130108  1.71  1.60 98.60 64.70 94.90 284.0
 BDL 20130109  1.57  1.56 90.40 64.50 94.90 310.4
 BDL 20130110  1.56  1.48100.00 64.40 94.90 316.0
 BDL 20130111  1.87  1.45 81.50 64.20 94.90 270.9
 BDL 20130112  2.17  1.41 68.70 64.10 94.90 239.8
 BDL 20130113  2.12  1.25 62.40 63.90 94.90 248.4
 BDL 20130114  2.10  1.95 97.50 63.80 94.90 253.0
 BDL 20130115  2.10  1.99 99.80 63.60 94.90 257.2
 BDL 20130116  2.15  0.73 27.40 63.40 94.90 254.5
 BDL 20130117  1.90  2.32 97.30 63.20 95.00 288.8
 BDL 20130118  1.61  1.98100.00 63.00 95.00 341.7
 BDL 20130119  1.74  2.17 97.60 62.80 95.00 322.1
 BDL 20130120  1.76  2.17 98.30 62.60 95.00 322.4
 BDL 20130121  1.54  1.74 97.90 62.40 95.00 371.3
 BDL 20130122  1.40  1.64 94.50 62.20 95.00 414.7
 BDL 20130123  1.37  1.63100.00 62.00 95.00 431.6
 BDL 20130124  1.54  1.85100.00 61.80 95.00 389.5
 BDL 20130125  2.01  2.44 96.00 61.50 95.00 308.4
 BDL 20130126  1.73  2.09100.00 61.30 95.00 359.9
 BDL 20130127  1.73  2.08100.00 61.00 95.00 365.6
 BDL 20130128  2.13  1.94 72.30 60.80 95.00 306.3
 BDL 20130129  2.43  2.67 93.30 60.50 95.00 276.2
 BDL 20130130  2.63  0.84 33.60 60.30 95.00 261.6
 BDL 20130131  1.96  1.58 84.70 60.00 95.00 345.7
 BDL 20130201  1.76  1.83 95.30 59.70 95.00 389.3
 BDL 20130202  1.78  1.66 98.00 59.50 95.00 393.1
 BDL 20130203  1.76  1.72 88.40 59.20 95.00 405.3
 BDL 20130204  1.70  1.68 98.20 58.90 95.00 427.3
 BDL 20130205  2.01  1.81 87.40 58.60 95.00 371.6
 BDL 20130206  2.19  2.50 98.60 58.30 95.00 348.9
 BDL 20130207  2.71  3.10 96.30 58.00 95.00 293.8
 BDL 20130208  2.81  2.04 56.60 57.70 95.00 289.4
 BDL 20130209  2.42  3.06 93.80 57.40 95.00 335.5
 BDL 20130210  2.23  2.98100.00 57.10 95.10 368.3
 BDL 20130211  2.67  0.58 22.90 56.80 95.10 318.1
 BDL 20130212  2.50  2.36 99.20 56.40 95.10 343.5
 BDL 20130213  2.60  2.47100.00 56.10 95.10 337.5
 BDL 20130214  2.66  2.53100.00 55.80 95.10 336.5
 BDL 20130215  2.66  2.47 97.70 55.40 95.10 342.0
 BDL 20130216  2.35  2.60 89.10 55.10 95.10 390.1
 BDL 20130217  2.07  1.17 44.00 54.80 95.10 448.1
 BDL 20130218  2.56  2.98100.00 54.40 95.10 374.5
 BDL 20130219  3.03  2.47 85.70 54.10 95.10 328.1
 BDL 20130220  2.73  3.29 98.00 53.70 95.10 366.5
 BDL 20130221  2.94  3.57100.00 53.40 95.10 349.1
 BDL 20130222  3.19  3.04100.00 53.00 95.10 330.4
 BDL 20130223  3.32  2.18 69.00 52.60 95.10 324.7
 BDL 20130224  3.00  1.76 52.90 52.30 95.10 361.2
 BDL 20130225  3.04  2.89100.00 51.90 95.10 362.9
 BDL 20130226  3.37  3.03 94.20 51.50 95.10 336.7
 BDL 20130227  3.55  0.51 11.50 51.20 95.10 327.9
 BDL 20130228  3.03  2.63 91.40 50.80 95.10 383.1
 BDL 20130301  3.01  2.86100.00 50.40 95.20 391.7
 BDL 20130302  3.08  2.86 98.00 50.00 94.90 390.2
 BDL 20130303  3.09  2.57 87.50 49.60 94.90 395.0
 BDL 20130304  3.05  2.53 87.40 49.30 94.90 407.1
 BDL 20130305  3.34  3.17100.00 48.90 94.90 381.5
 BDL 20130306  3.47  1.61 48.90 48.50 94.90 374.5
 BDL 20130307  3.45  2.20 54.50 48.10 94.90 382.4
 BDL 20130308  3.59  1.88 46.40 47.70 95.00 375.2
 BDL 20130309  3.84  4.43100.00 47.30 95.00 359.8
 BDL 20130310  4.44  3.89 92.40 46.90 95.00 322.1
 BDL 20130311  5.38  3.85 75.40 46.50 95.00 277.8
 BDL 20130312  4.92  0.56 12.00 46.10 95.00 303.9
 BDL 20130313  3.75  3.56100.00 45.70 95.00 390.2
 BDL 20130314  3.46  2.96 90.00 45.30 95.00 424.6
 BDL 20130315  3.31  3.14 99.70 44.90 95.00 448.0
 BDL 20130316  4.06  3.61 93.60 44.50 95.00 379.5
 BDL 20130317  4.23  3.61 89.70 44.10 95.00 371.6
 BDL 20130318  4.75  3.97 88.00 43.70 95.00 341.1
 BDL 20130319  5.00  1.42 25.50 43.30 95.00 331.0
 BDL 20130320  4.01  4.78 94.70 42.90 95.00 406.3
 BDL 20130321  3.81  3.37 93.00 42.50 95.00 430.6
 BDL 20130322  3.80  3.60 99.60 42.10 95.00 437.3
 BDL 20130323  4.23  3.93 97.80 41.70 95.00 403.3
 BDL 20130324  4.95  4.70100.00 41.30 95.00 356.4
 BDL 20130325  4.81  3.41 74.50 40.90 95.00 369.6
 BDL 20130326  3.93  3.47 92.90 40.50 95.00 446.8
 BDL 20130327  3.81  3.21 88.70 40.10 95.10 464.6
 BDL 20130328  4.10  3.49 89.50 39.70 95.10 440.3
 BDL 20130329  4.27  3.97 97.80 39.30 95.10 430.5
 BDL 20130330  4.33  4.12100.00 38.90 95.10 429.8
 BDL 20130331  5.03  4.03 84.30 38.50 95.10 382.0
 BDL 20130401  4.87  3.73 80.60 38.10 95.10 396.9
 BDL 20130402  4.45  3.89 92.00 37.70 95.10 434.0
 BDL 20130403  4.30  4.09100.00 37.30 95.10 452.5
 BDL 20130404  5.48  5.21100.00 36.90 95.10 370.8
 BDL 20130405  5.22  4.79 96.60 36.50 95.10 390.6
 BDL 20130406  5.48  5.21100.00 36.10 95.10 378.4
 BDL 20130407  5.85  4.41 79.40 35.80 95.10 361.4
 BDL 20130408  5.95  5.62 99.40 35.40 95.10 359.9
 BDL 20130409  5.85  4.94 88.70 35.00 95.10 368.3
 BDL 20130410  6.26  5.40 90.70 34.60 95.10 351.2
 BDL 20130411  6.90  3.10 47.30 34.20 95.10 326.6
 BDL 20130412  7.03  1.05 14.60 33.80 95.10 324.3
 BDL 20130413  6.84  6.48 99.60 33.50 95.10 334.8
 BDL 20130414  6.23  5.10 86.10 33.10 95.10 365.2
 BDL 20130415  6.58  6.18 98.80 32.70 95.10 351.8
 BDL 20130416  6.82  6.38 98.30 32.40 95.10 343.9
 BDL 20130417  7.69  7.31 99.90 32.00 95.10 313.9
 BDL 20130418  8.27  7.81 99.30 31.70 95.10 297.7
 BDL 20130419  8.74  2.78 33.50 31.30 95.10 286.8
 BDL 20130420  7.59  5.89 81.70 30.90 95.10 324.3
 BDL 20130421  6.73  6.41100.00 30.60 95.20 361.1
 BDL 20130422  6.62  6.29 99.80 30.30 95.20 369.0
 BDL 20130423  7.17  2.72 40.00 29.90 95.20 347.4
 BDL 20130424  7.68  7.25 99.20 29.60 95.20 330.4
 BDL 20130425  6.08  5.79100.00 29.20 95.20 404.1
 BDL 20130426  6.11  4.61 79.20 28.90 95.20 404.7
 BDL 20130427  6.09  5.72 98.80 28.60 95.20 408.7
 BDL 20130428  6.94  6.61100.00 28.30 95.20 368.0
 BDL 20130429  6.52  6.13 98.80 28.00 95.20 390.1
 BDL 20130430  7.03  6.70100.00 27.60 95.20 368.2
 BDL 20130501  7.68  7.31100.00 27.30 95.20 344.0
 BDL 20130502  7.84  6.28 84.40 27.00 95.00 339.9
 BDL 20130503  7.50  7.12 99.90 26.70 95.00 354.4
 BDL 20130504  7.24  6.87100.00 26.40 95.00 367.1
 BDL 20130505  7.14  6.78100.00 26.10 95.00 373.2
 BDL 20130506  7.65  7.27100.00 25.90 95.00 354.0
 BDL 20130507  7.57  7.19100.00 25.60 95.00 358.5
 BDL 20130508  7.57  5.83 81.10 25.30 95.00 360.2
 BDL 20130509  7.00  2.22 33.50 25.00 95.00 386.7
 BDL 20130510  7.64  7.15 98.50 24.80 95.00 360.4
 BDL 20130511  7.77  2.11 28.60 24.50 95.00 356.8
 BDL 20130512  7.14  4.25 62.60 24.30 95.00 384.3
 BDL 20130513  6.52  6.19100.00 24.00 95.00 416.6
 BDL 20130514  6.34  5.59 92.80 23.80 95.00 427.8
 BDL 20130515  7.56  5.50 76.60 23.50 95.00 370.4
