 BIL 20130102  0.93  1.21100.00 69.20 98.20 360.4
 BIL 20130103  1.03  1.31100.00 69.10 98.20 325.7
 BIL 20130104  1.03  1.29100.00 69.00 98.20 329.8
 BIL 20130105  1.12  1.52100.00 68.90 98.20 307.2
 BIL 20130106  1.20  1.28 80.70 68.80 98.20 291.2
 BIL 20130107  1.17  1.47 94.60 68.70 98.20 302.8
 BIL 20130108  1.20  1.58 98.20 68.50 98.20 298.7
 BIL 20130109  1.26  1.59 95.30 68.40 98.20 288.1
 BIL 20130110  1.09  0.76 70.00 68.30 98.20 337.3
 BIL 20130111  1.00  1.05 86.00 68.10 98.20 373.3
 BIL 20130112  1.10  1.44 96.70 68.00 98.20 342.2
 BIL 20130113  1.08  1.41 98.20 67.80 98.20 356.1
 BIL 20130114  1.18  1.43 96.30 67.60 98.20 330.6
 BIL 20130115  1.47  1.14 60.80 67.50 98.20 272.4
 BIL 20130116  1.44  1.85100.00 67.30 98.20 280.3
 BIL 20130117  1.43  1.65100.00 67.10 98.20 286.7
 BIL 20130118  1.63  1.59 99.00 66.90 98.20 258.0
 BIL 20130119  1.66  2.16 98.20 66.70 98.20 258.5
 BIL 20130120  1.52  1.85 91.40 66.50 98.20 283.9
 BIL 20130121  1.45  1.67 86.70 66.30 98.20 302.6
 BIL 20130122  1.71  2.24 98.20 66.10 98.20 263.6
 BIL 20130123  1.59  1.49 79.30 65.90 98.20 286.9
 BIL 20130124  1.32  1.51 96.40 65.60 98.20 347.2
 BIL 20130125  1.53  1.49 99.10 65.40 98.20 307.4
 BIL 20130126  1.49  1.46100.00 65.20 98.20 320.7
 BIL 20130127  1.46  1.35 94.30 64.90 98.20 334.0
 BIL 20130128  1.33  1.44 98.80 64.70 98.20 372.3
 BIL 20130129  1.28  1.49 91.20 64.40 98.20 395.5
 BIL 20130130  1.28  1.46 94.40 64.10 98.20 405.4
 BIL 20130131  1.43  1.94100.00 63.90 98.20 371.0
 BIL 20130201  1.51  1.87 92.10 63.60 98.20 357.7
 BIL 20130202  1.74  2.30100.00 63.30 98.20 320.2
 BIL 20130203  1.72  1.68 99.10 63.10 98.20 330.2
 BIL 20130204  1.94  1.84 96.60 62.80 98.20 301.9
 BIL 20130205  2.10  1.75 84.80 62.50 98.20 287.3
 BIL 20130206  1.77  1.54 88.60 62.20 98.20 342.3
 BIL 20130207  1.82  1.74 97.40 61.90 98.20 339.9
 BIL 20130208  1.68  1.59 96.10 61.60 98.20 374.2
 BIL 20130209  1.67  1.63 99.30 61.30 98.20 385.5
 BIL 20130210  1.64  1.57 90.60 61.00 98.20 400.2
 BIL 20130211  1.71  1.67100.00 60.60 98.20 392.7
 BIL 20130212  2.06  2.02 99.50 60.30 98.20 334.4
 BIL 20130213  2.09  2.00 97.20 60.00 98.20 336.8
 BIL 20130214  1.90  1.85 99.50 59.70 98.20 377.3
 BIL 20130215  2.15  2.08 98.70 59.30 98.20 343.8
 BIL 20130216  2.63  2.58100.00 59.00 98.20 292.7
 BIL 20130217  2.21  1.85 85.40 58.60 98.20 350.0
 BIL 20130218  2.43  2.07 86.90 58.30 98.20 327.8
 BIL 20130219  2.54  2.42 97.10 57.90 98.20 321.3
 BIL 20130220  2.40  1.87 74.60 57.60 98.20 345.4
 BIL 20130221  2.08  2.05100.00 57.20 98.20 401.7
 BIL 20130222  2.21  2.17100.00 56.90 98.20 388.6
 BIL 20130223  2.28  1.04 46.40 56.50 98.20 384.7
 BIL 20130224  2.34  2.30100.00 56.20 98.20 382.1
 BIL 20130225  2.75  3.33100.00 55.80 98.20 336.5
 BIL 20130226  2.49  2.19 89.60 55.40 98.20 375.4
 BIL 20130227  2.51  2.46 99.90 55.00 98.20 380.4
 BIL 20130228  2.54  1.66 66.50 54.70 98.20 383.5
 BIL 20130301  3.07  2.53 84.30 54.30 98.30 330.7
 BIL 20130302  3.35  3.26 99.20 53.90 98.10 311.7
 BIL 20130303  2.92  1.45 50.80 53.50 98.10 358.7
 BIL 20130304  2.76  2.58 85.80 53.10 98.10 385.6
 BIL 20130305  3.43  3.33 99.10 52.70 98.10 323.6
 BIL 20130306  3.42  3.18 94.90 52.40 98.10 330.5
 BIL 20130307  2.97  2.91100.00 52.00 98.10 381.8
