 BUF 20130102  1.08  0.73 70.60 66.30 92.10 382.9
 BUF 20130103  1.06  0.72 69.40 66.20 92.10 396.1
 BUF 20130104  1.13  0.96 90.10 66.10 92.10 373.8
 BUF 20130105  1.37  1.26 96.00 66.00 92.10 311.7
 BUF 20130106  1.28  0.77 65.30 65.90 92.10 334.4
 BUF 20130107  1.48  1.31 94.60 65.80 92.10 294.1
 BUF 20130108  1.45  1.32 98.70 65.70 92.10 302.6
 BUF 20130109  1.28  0.45 37.60 65.50 92.10 343.8
 BUF 20130110  1.51  1.39 99.90 65.40 92.10 298.4
 BUF 20130111  1.71  0.43 27.10 65.20 92.10 268.3
 BUF 20130112  1.97  1.68 92.50 65.10 92.10 238.6
 BUF 20130113  1.95  0.91 50.70 64.90 92.10 243.8
 BUF 20130114  1.74  1.60100.00 64.80 92.10 274.6
 BUF 20130115  1.76  1.62100.00 64.60 92.10 275.9
 BUF 20130116  1.33  1.04 85.30 64.40 92.10 364.7
 BUF 20130117  1.49  1.27 92.30 64.20 92.10 330.5
 BUF 20130118  1.44  1.27 95.30 64.00 92.10 347.4
 BUF 20130119  1.59  1.27 86.90 63.80 92.20 321.1
 BUF 20130120  1.38  1.00 78.60 63.60 92.20 374.2
 BUF 20130121  1.42  1.08 82.40 63.40 92.20 370.0
 BUF 20130122  1.36  0.99 77.40 63.20 92.20 392.8
 BUF 20130123  1.40  0.95 71.70 63.00 92.20 387.3
 BUF 20130124  1.57  1.42 96.70 62.80 92.20 353.8
 BUF 20130125  1.78  1.28 74.80 62.50 92.20 319.5
 BUF 20130126  1.49  1.33 94.10 62.30 92.20 384.0
 BUF 20130127  1.79  1.65 99.80 62.00 92.20 327.6
 BUF 20130128  2.02  0.66 33.50 61.80 92.20 297.9
 BUF 20130129  2.35  0.76 35.20 61.50 92.20 265.0
 BUF 20130130  2.31  0.73 34.30 61.30 92.20 274.2
 BUF 20130131  1.77  1.31 80.40 61.00 92.20 354.3
 BUF 20130201  1.55  1.27 88.90 60.70 92.20 411.0
 BUF 20130202  1.56  1.11 73.90 60.50 92.20 414.0
 BUF 20130203  1.58  1.36 90.40 60.20 92.30 415.2
 BUF 20130204  1.56  1.30 86.90 59.90 92.30 430.1
 BUF 20130205  1.72  1.54 93.30 59.60 92.30 397.2
 BUF 20130206  2.13  2.01100.00 59.30 92.30 332.3
 BUF 20130207  2.48  2.18 91.90 59.00 92.30 296.1
 BUF 20130208  2.30  0.43 19.50 58.70 92.30 322.7
 BUF 20130209  2.05  1.93 97.70 58.40 92.30 364.5
 BUF 20130210  2.22  2.05100.00 58.10 92.30 346.4
 BUF 20130211  2.11  1.54 78.70 57.80 92.30 369.7
 BUF 20130212  2.31  1.93 90.60 57.50 92.30 346.4
 BUF 20130213  2.22  1.96 95.50 57.10 92.30 366.1
 BUF 20130214  2.31  2.06 96.90 56.80 92.30 359.6
 BUF 20130215  2.17  1.96 95.70 56.50 92.30 388.3
 BUF 20130216  1.92  1.78 99.30 56.10 92.40 442.8
 BUF 20130217  1.96  1.81 98.10 55.80 92.40 442.9
 BUF 20130218  2.57  2.39 99.30 55.40 92.40 350.8
 BUF 20130219  2.55  1.16 49.10 55.10 92.40 358.4
 BUF 20130220  2.47  1.64 71.50 54.70 92.40 377.1
 BUF 20130221  2.90  2.51 91.90 54.40 92.40 332.7
 BUF 20130222  2.98  2.35 83.30 54.00 92.40 330.6
 BUF 20130223  2.67  1.74 70.90 53.70 92.40 372.1
 BUF 20130224  2.67  2.12 83.50 53.30 92.40 378.1
 BUF 20130225  2.94  2.70 99.50 52.90 92.40 353.6
 BUF 20130226  3.12  2.46 85.30 52.60 92.40 341.4
 BUF 20130227  3.14  0.89 30.70 52.20 92.40 345.4
 BUF 20130228  2.76  1.52 57.40 51.80 92.50 394.5
 BUF 20130301  2.86  2.29 85.10 51.40 92.50 388.6
 BUF 20130302  2.90  2.45 90.30 51.00 92.10 390.6
 BUF 20130303  2.82  2.43 92.00 50.70 92.10 407.1
 BUF 20130304  2.86  2.45 91.40 50.30 92.10 408.8
 BUF 20130305  3.20  2.70 91.60 49.90 92.10 375.8
 BUF 20130306  3.10  2.78 97.60 49.50 92.10 393.8
 BUF 20130307  3.03  2.13 76.20 49.10 92.10 408.0
 BUF 20130308  3.38  3.09 99.30 48.70 92.10 376.2
 BUF 20130309  3.80  3.47 99.00 48.30 92.10 345.5
 BUF 20130310  4.35  3.80 94.70 47.90 92.10 312.5
 BUF 20130311  4.78  2.34 53.20 47.50 92.20 293.1
 BUF 20130312  3.82  2.53 72.00 47.10 92.20 360.7
 BUF 20130313  3.25  2.97 99.20 46.70 92.20 422.7
 BUF 20130314  3.22  2.70 91.00 46.30 92.20 432.3
 BUF 20130315  3.69  2.59 76.40 45.90 92.20 389.4
 BUF 20130316  3.86  3.08 86.40 45.50 92.20 379.2
 BUF 20130317  3.90  3.32 92.40 45.10 92.20 381.1
 BUF 20130318  4.39  2.23 55.10 44.70 92.20 349.2
 BUF 20130319  3.93  2.85 78.70 44.30 92.20 389.7
 BUF 20130320  3.34  2.68 86.50 43.90 92.20 457.7
 BUF 20130321  3.45  3.02 95.10 43.50 92.20 451.0
 BUF 20130322  3.72  3.00 85.80 43.10 92.20 426.5
 BUF 20130323  4.25  3.71 94.80 42.70 92.30 385.0
 BUF 20130324  4.91  4.25 93.70 42.30 92.30 344.3
 BUF 20130325  4.37  3.86 95.90 41.90 92.30 386.1
 BUF 20130326  3.67  3.27 96.70 41.50 92.30 455.8
 BUF 20130327  3.71  3.19 93.20 41.10 92.30 457.4
 BUF 20130328  4.07  3.58 95.40 40.70 92.30 426.0
 BUF 20130329  4.10  3.60 95.30 40.30 92.30 429.0
 BUF 20130330  4.29  3.96100.00 39.90 92.30 417.0
 BUF 20130331  4.73  3.48 79.90 39.50 92.30 388.2
 BUF 20130401  4.13  3.51 92.20 39.10 92.30 441.9
 BUF 20130402  4.36  3.36 83.40 38.70 92.30 425.7
 BUF 20130403  4.25  3.60 91.90 38.30 92.30 440.3
 BUF 20130404  5.29  4.84 99.20 37.90 92.30 368.8
 BUF 20130405  4.61  4.11 96.80 37.50 92.30 419.5
