 CHS 20130102  3.76  2.39 66.60 56.40 95.70 240.3
 CHS 20130103  3.62  1.20 34.60 56.30 95.70 249.7
 CHS 20130104  3.65  3.49100.00 56.20 95.70 249.4
 CHS 20130105  3.80  3.43 94.20 56.10 95.70 241.7
 CHS 20130106  3.76  2.65 73.50 56.00 95.70 245.5
 CHS 20130107  3.44  3.29100.00 55.90 95.70 266.9
 CHS 20130108  3.53  3.34 98.90 55.70 95.70 262.7
 CHS 20130109  3.67  3.24 92.30 55.60 95.70 255.6
 CHS 20130110  3.97  3.09 81.30 55.50 95.70 240.4
 CHS 20130111  3.74  3.40 95.20 55.30 95.70 255.4
 CHS 20130112  3.93  3.77100.00 55.20 95.70 246.5
 CHS 20130113  3.90  3.52 94.50 55.00 95.70 250.4
 CHS 20130114  4.35  4.13 99.00 54.80 95.70 230.1
 CHS 20130115  4.24  3.85 94.90 54.70 95.70 237.0
 CHS 20130116  4.54  4.24 97.50 54.50 95.70 226.3
 CHS 20130117  4.71  4.51100.00 54.30 95.70 221.3
 CHS 20130118  3.46  3.31100.00 54.10 95.70 290.7
 CHS 20130119  3.53  3.08 91.10 53.90 95.70 288.7
 CHS 20130120  3.56  3.41100.00 53.70 95.70 289.6
 CHS 20130121  3.89  3.63 97.50 53.50 95.80 271.1
 CHS 20130122  3.80  3.63100.00 53.30 95.80 279.5
 CHS 20130123  3.51  3.36100.00 53.10 95.80 302.4
 CHS 20130124  3.75  2.52 70.00 52.80 95.80 289.0
 CHS 20130125  4.47  3.31 77.60 52.60 95.80 251.9
 CHS 20130126  3.87  3.15 85.10 52.40 95.80 287.5
 CHS 20130127  4.64  4.40 99.10 52.10 95.80 249.3
 CHS 20130128  4.88  2.19 46.70 51.90 95.80 241.6
 CHS 20130129  4.98  4.77100.00 51.60 95.80 239.8
 CHS 20130130  5.39  4.55 88.30 51.40 95.80 227.7
 CHS 20130131  5.14  4.92100.00 51.10 95.80 239.1
 CHS 20130201  4.22  4.01 99.40 50.80 95.80 286.2
 CHS 20130202  3.80  3.61 99.10 50.60 95.80 316.0
