 JAX 20130102  4.34  1.25 29.60 54.20 97.30 238.9
 JAX 20130103  4.38  1.78 41.70 54.10 97.30 238.3
 JAX 20130104  4.28  4.16100.00 54.00 97.30 244.1
 JAX 20130105  4.36  4.19 98.80 53.90 97.30 241.5
 JAX 20130106  4.33  0.75 17.80 53.80 97.30 244.6
 JAX 20130107  4.04  2.13 54.30 53.60 97.30 260.5
 JAX 20130108  4.08  2.32 58.50 53.50 97.30 260.4
 JAX 20130109  4.27  3.13 75.20 53.40 97.30 252.2
 JAX 20130110  4.53  2.84 64.40 53.20 97.30 241.3
 JAX 20130111  4.62  4.42 98.40 53.10 97.30 239.2
 JAX 20130112  4.62  4.49100.00 52.90 97.30 241.0
 JAX 20130113  4.60  4.47100.00 52.80 97.30 244.0
 JAX 20130114  4.99  4.81 99.10 52.60 97.30 230.0
 JAX 20130115  4.91  4.69 98.20 52.40 97.30 234.8
 JAX 20130116  5.27  5.12100.00 52.30 97.30 223.1
 JAX 20130117  5.44  5.25 99.10 52.10 97.30 218.8
 JAX 20130118  4.52  4.37 99.30 51.90 97.30 257.7
 JAX 20130119  4.42  4.02 93.40 51.70 97.30 265.0
 JAX 20130120  4.43  4.31100.00 51.50 97.30 267.3
 JAX 20130121  4.62  4.24 94.40 51.30 97.30 260.0
 JAX 20130122  4.63  4.33 96.20 51.10 97.30 262.0
 JAX 20130123  4.21  4.10100.00 50.80 97.30 286.6
 JAX 20130124  4.25  4.13100.00 50.60 97.30 287.4
 JAX 20130125  5.10  4.91 98.90 50.40 97.30 248.9
 JAX 20130126  4.76  4.58 98.90 50.10 97.30 266.0
 JAX 20130127  5.20  3.57 70.40 49.90 97.30 249.5
 JAX 20130128  5.54  5.08 94.10 49.70 97.30 239.0
 JAX 20130129  5.76  5.42 96.70 49.40 97.30 234.5
 JAX 20130130  6.04  4.82 82.10 49.10 97.30 227.9
 JAX 20130131  5.70  5.55100.00 48.90 97.30 241.3
 JAX 20130201  5.39  5.14 98.00 48.60 97.30 256.0
 JAX 20130202  4.77  4.64100.00 48.30 97.30 286.8
 JAX 20130203  4.31  4.19100.00 48.10 97.30 316.2
 JAX 20130204  5.24  4.97 97.40 47.80 97.30 271.0
 JAX 20130205  5.04  3.51 71.60 47.50 97.30 283.2
 JAX 20130206  5.28  5.10 99.40 47.20 97.30 275.7
 JAX 20130207  6.00  4.02 68.90 46.90 97.30 250.5
 JAX 20130208  6.01  5.81 99.40 46.60 97.30 253.1
 JAX 20130209  6.05  5.89100.00 46.30 97.30 254.4
 JAX 20130210  6.16  4.19 69.90 46.00 97.30 253.5
 JAX 20130211  6.68  6.03 92.80 45.70 97.30 239.5
 JAX 20130212  7.19  4.98 71.10 45.30 97.30 228.1
 JAX 20130213  7.46  6.46 89.00 45.00 97.30 223.7
 JAX 20130214  7.11  4.44 64.10 44.70 97.30 235.5
 JAX 20130215  5.43  5.28100.00 44.40 97.30 298.2
 JAX 20130216  5.33  4.81 92.70 44.00 97.40 306.4
 JAX 20130217  5.25  5.12100.00 43.70 97.40 313.9
