 LAS 20130102  2.30  2.16100.00 59.60 94.10 317.1
 LAS 20130103  2.41  2.27100.00 59.50 94.10 305.8
 LAS 20130104  2.45  2.30100.00 59.40 94.10 303.5
 LAS 20130105  2.75  2.59100.00 59.30 94.10 275.9
 LAS 20130106  2.43  2.29100.00 59.20 94.10 309.8
 LAS 20130107  2.40  2.26100.00 59.10 94.10 316.0
 LAS 20130108  2.77  2.61100.00 59.00 94.10 280.5
 LAS 20130109  2.76  2.59100.00 58.80 94.20 284.2
 LAS 20130110  2.36  1.97 88.60 58.70 94.20 329.7
 LAS 20130111  2.22  2.09100.00 58.50 94.20 351.6
 LAS 20130112  2.29  2.16100.00 58.40 94.20 344.9
 LAS 20130113  2.20  2.07100.00 58.20 94.20 360.8
 LAS 20130114  2.16  2.03100.00 58.10 94.20 371.1
 LAS 20130115  2.67  2.51100.00 57.90 94.20 309.5
 LAS 20130116  2.86  2.70100.00 57.70 94.20 294.0
 LAS 20130117  3.24  3.05100.00 57.50 94.20 267.0
 LAS 20130118  3.47  3.26100.00 57.30 94.20 254.5
 LAS 20130119  3.36  3.17100.00 57.10 94.20 264.1
 LAS 20130120  3.38  3.19100.00 56.90 94.20 265.5
 LAS 20130121  3.41  3.21100.00 56.70 94.20 267.0
 LAS 20130122  3.75  3.53100.00 56.50 94.20 249.1
 LAS 20130123  3.95  3.62 97.20 56.30 94.20 240.4
 LAS 20130124  3.58  2.80 82.90 56.10 94.20 264.5
 LAS 20130125  3.45  2.68 82.30 55.80 94.20 276.6
 LAS 20130126  3.58  1.31 39.10 55.60 94.20 271.2
 LAS 20130127  3.55  3.17 94.70 55.40 94.20 276.0
 LAS 20130128  2.97  2.80100.00 55.10 94.20 326.8
 LAS 20130129  3.22  3.00 99.00 54.90 94.20 308.8
 LAS 20130130  3.26  3.07100.00 54.60 94.20 309.5
 LAS 20130131  3.30  3.11100.00 54.30 94.20 310.9
 LAS 20130201  3.05  2.88100.00 54.10 94.20 337.0
 LAS 20130202  3.97  3.59 96.10 53.80 94.20 272.5
 LAS 20130203  3.95  3.62 97.30 53.50 94.20 277.4
 LAS 20130204  4.08  3.84100.00 53.20 94.30 273.9
 LAS 20130205  4.53  4.26 99.80 52.90 94.30 254.0
 LAS 20130206  3.94  3.72100.00 52.60 94.30 289.8
 LAS 20130207  3.98  3.75100.00 52.30 94.30 291.8
 LAS 20130208  3.20  2.97 98.60 52.00 94.30 357.4
