 SFO 20130102  2.17  2.09100.00 61.00 96.30 295.9
 SFO 20130103  2.01  1.94100.00 60.90 96.30 318.7
 SFO 20130104  2.17  2.07 99.50 60.80 96.30 299.7
 SFO 20130105  2.21  1.98 93.20 60.70 96.30 296.4
 SFO 20130106  2.12  2.02 99.00 60.60 96.30 310.6
 SFO 20130107  2.20  2.06 97.20 60.40 96.30 301.6
 SFO 20130108  2.33  2.24100.00 60.30 96.30 289.6
 SFO 20130109  2.32  1.69 75.60 60.20 96.30 292.1
 SFO 20130110  1.68  1.62100.00 60.00 96.30 397.3
 SFO 20130111  1.99  1.91100.00 59.90 96.30 342.5
 SFO 20130112  2.06  1.99100.00 59.70 96.30 334.4
 SFO 20130113  2.05  1.97100.00 59.60 96.30 340.0
 SFO 20130114  2.33  2.25100.00 59.40 96.30 305.9
 SFO 20130115  2.41  2.32100.00 59.20 96.30 300.2
 SFO 20130116  2.66  2.56100.00 59.10 96.30 278.4
 SFO 20130117  2.96  2.85100.00 58.90 96.30 257.2
 SFO 20130118  2.94  2.83100.00 58.70 96.30 261.4
 SFO 20130119  3.05  2.94100.00 58.50 96.30 256.1
 SFO 20130120  3.10  2.99100.00 58.30 96.30 255.9
 SFO 20130121  3.02  2.91100.00 58.10 96.30 264.8
 SFO 20130122  3.32  2.61 81.80 57.90 96.30 247.9
 SFO 20130123  3.35  0.87 27.10 57.60 96.30 248.6
 SFO 20130124  2.62  2.39 94.80 57.40 96.30 312.4
 SFO 20130125  2.98  2.46 85.80 57.20 96.30 282.3
 SFO 20130126  2.84  2.74 99.90 56.90 96.30 297.6
 SFO 20130127  2.64  2.54100.00 56.70 96.30 322.0
 SFO 20130128  2.80  2.70100.00 56.40 96.30 310.1
 SFO 20130129  2.76  2.66100.00 56.20 96.30 317.9
 SFO 20130130  2.70  2.60100.00 55.90 96.30 328.7
 SFO 20130131  2.78  2.68100.00 55.70 96.30 324.3
 SFO 20130201  2.71  2.61100.00 55.40 96.30 337.2
 SFO 20130202  3.27  3.13 99.40 55.10 96.30 289.3
 SFO 20130203  3.17  3.05100.00 54.80 96.30 301.8
 SFO 20130204  3.69  3.55100.00 54.50 96.30 269.2
 SFO 20130205  3.73  3.15 87.60 54.30 96.30 270.7
 SFO 20130206  3.43  3.30100.00 54.00 96.30 295.2
 SFO 20130207  3.06  1.20 40.60 53.70 96.30 331.0
 SFO 20130208  2.64  2.52 99.10 53.40 96.30 383.6
 SFO 20130209  2.83  2.72100.00 53.00 96.30 366.3
 SFO 20130210  2.99  2.88100.00 52.70 96.40 353.8
 SFO 20130211  3.10  2.99100.00 52.40 96.40 347.8
 SFO 20130212  3.42  3.29100.00 52.10 96.40 324.1
 SFO 20130213  3.50  3.38100.00 51.80 96.40 321.9
 SFO 20130214  4.10  3.95100.00 51.40 96.40 285.7
 SFO 20130215  4.24  4.09100.00 51.10 96.40 281.0
 SFO 20130216  4.39  4.22 99.70 50.80 96.40 277.1
 SFO 20130217  3.96  3.82100.00 50.40 96.40 307.0
 SFO 20130218  4.39  4.14 97.90 50.10 96.40 285.5
 SFO 20130219  2.88  0.88 31.60 49.70 96.40 418.3
 SFO 20130220  3.75  3.61100.00 49.40 96.40 336.9
 SFO 20130221  4.08  3.93100.00 49.00 96.40 317.7
 SFO 20130222  4.08  3.93100.00 48.70 96.40 322.7
 SFO 20130223  3.87  3.66 98.10 48.30 96.40 342.8
 SFO 20130224  4.33  4.18100.00 47.90 96.40 315.8
 SFO 20130225  4.30  4.14100.00 47.60 96.40 322.6
 SFO 20130226  4.39  4.23100.00 47.20 96.40 321.3
 SFO 20130227  4.26  3.95 95.90 46.80 96.40 334.3
 SFO 20130228  5.02  4.83 99.90 46.40 96.40 295.3
 SFO 20130301  5.67  5.47100.00 46.10 96.40 270.2
 SFO 20130302  6.28  5.49 90.80 45.70 96.20 251.5
 SFO 20130303  5.08  4.14 84.50 45.30 96.20 304.5
 SFO 20130304  5.10  4.91100.00 44.90 96.20 307.5
 SFO 20130305  5.01  4.82 99.90 44.50 96.20 316.2
 SFO 20130306  4.48  3.89 90.30 44.10 96.20 352.9
 SFO 20130307  4.01  3.55 91.90 43.80 96.20 393.9
 SFO 20130308  3.49  3.36 99.80 43.40 96.20 451.2
 SFO 20130309  4.40  4.23100.00 43.00 96.20 373.7
 SFO 20130310  5.63  5.41 99.80 42.60 96.20 306.7
 SFO 20130311  6.35  6.10 99.80 42.20 96.20 280.7
 SFO 20130312  6.57  6.32100.00 41.80 96.20 276.6
 SFO 20130313  6.85  6.59100.00 41.40 96.20 270.7
 SFO 20130314  7.33  6.70 94.90 41.00 96.20 258.6
 SFO 20130315  7.02  6.62 98.00 40.60 96.30 271.7
 SFO 20130316  6.65  6.40100.00 40.20 96.30 287.5
 SFO 20130317  6.12  5.89100.00 39.80 96.30 311.8
 SFO 20130318  6.47  5.94 95.40 39.40 96.30 300.9
 SFO 20130319  6.50  5.39 86.10 39.00 96.30 303.2
 SFO 20130320  6.66  1.85 28.80 38.60 96.30 300.3
 SFO 20130321  6.40  5.71 92.60 38.20 96.30 314.2
 SFO 20130322  6.81  6.55100.00 37.80 96.30 301.7
 SFO 20130323  7.05  6.75 99.40 37.40 96.30 296.4
 SFO 20130324  6.79  6.54100.00 37.00 96.30 309.2
 SFO 20130325  6.52  5.29 84.30 36.50 96.30 323.2
 SFO 20130326  6.65  6.40100.00 36.10 96.30 320.9
 SFO 20130327  7.08  5.29 77.70 35.70 96.30 308.0
 SFO 20130328  6.71  5.86 90.60 35.30 96.30 325.2
 SFO 20130329  6.78  6.50 99.50 34.90 96.30 325.6
 SFO 20130330  6.31  4.79 78.80 34.50 96.30 349.1
 SFO 20130331  5.87  5.55 98.20 34.10 96.30 374.9
 SFO 20130401  6.62  6.27 98.40 33.80 96.30 341.7
 SFO 20130402  7.40  7.05 98.80 33.40 96.30 314.2
 SFO 20130403  7.71  7.14 96.20 33.00 96.30 306.5
 SFO 20130404  6.62  2.16 33.80 32.60 96.30 351.1
 SFO 20130405  7.40  7.02 98.40 32.20 96.30 322.4
 SFO 20130406  7.33  5.40 76.60 31.80 96.30 328.1
 SFO 20130407  7.00  6.46 95.80 31.40 96.30 343.7
 SFO 20130408  7.09  6.83100.00 31.00 96.30 342.5
 SFO 20130409  8.38  8.07100.00 30.60 96.30 300.6
 SFO 20130410  9.28  8.94100.00 30.30 96.30 278.5
 SFO 20130411  8.33  7.73 96.30 29.90 96.30 306.9
 SFO 20130412  8.49  8.18100.00 29.50 96.30 304.5
 SFO 20130413  8.29  7.99100.00 29.10 96.30 312.6
 SFO 20130414  8.53  8.22100.00 28.80 96.30 307.3
 SFO 20130415  8.09  7.74 99.30 28.40 96.30 323.3
 SFO 20130416  6.91  6.66100.00 28.00 96.40 371.1
 SFO 20130417  7.21  6.95100.00 27.70 96.40 360.1
 SFO 20130418  7.77  7.48100.00 27.30 96.40 340.8
 SFO 20130419  8.76  8.44100.00 26.90 96.40 310.7
 SFO 20130420  8.95  8.63100.00 26.60 96.40 307.0
 SFO 20130421  9.29  8.95100.00 26.20 96.40 299.3
 SFO 20130422  9.33  9.00100.00 25.90 96.40 299.9
 SFO 20130423  8.82  8.50100.00 25.60 96.40 316.1
 SFO 20130424  8.06  7.77100.00 25.20 96.40 342.6
 SFO 20130425  8.10  7.80100.00 24.90 96.40 343.0
 SFO 20130426  8.81  8.49100.00 24.60 96.40 321.4
 SFO 20130427  8.81  8.49100.00 24.20 96.40 322.9
 SFO 20130428  8.84  8.52100.00 23.90 96.40 323.6
 SFO 20130429  9.04  8.71100.00 23.60 96.40 319.0
 SFO 20130430  9.20  8.87100.00 23.30 96.40 315.8
 SFO 20130501  9.13  8.80100.00 23.00 96.40 319.1
 SFO 20130502  8.86  8.52100.00 22.70 96.20 328.7
 SFO 20130503  8.32  8.00100.00 22.40 96.20 347.7
 SFO 20130504  8.05  7.74100.00 22.10 96.20 358.6
 SFO 20130505  7.62  7.33100.00 21.80 96.20 377.0
 SFO 20130506  7.44  5.67 79.20 21.50 96.20 386.0
 SFO 20130507  7.72  5.74 77.30 21.20 96.20 375.5
 SFO 20130508  7.90  7.55 99.30 20.90 96.20 370.0
 SFO 20130509  8.11  7.80100.00 20.70 96.20 363.1
 SFO 20130510  9.11  8.76 99.90 20.40 96.20 331.1
 SFO 20130511  9.49  9.12 99.90 20.10 96.20 320.9
 SFO 20130512  9.58  9.20 99.90 19.90 96.20 319.5
 SFO 20130513  9.84  9.46100.00 19.60 96.20 313.6
 SFO 20130514  8.64  8.31100.00 19.40 96.20 350.0
 SFO 20130515  8.87  8.53100.00 19.20 96.20 343.3
 SFO 20130516  8.02  6.51 84.30 18.90 96.20 373.9
 SFO 20130517  8.00  7.69100.00 18.70 96.20 375.7
 SFO 20130518  9.38  9.02100.00 18.50 96.20 330.2
 SFO 20130519  9.61  9.25100.00 18.30 96.20 324.1
 SFO 20130520 10.32  9.92 99.90 18.10 96.20 306.5
 SFO 20130521  9.57  9.20100.00 17.90 96.20 326.8
 SFO 20130522  8.20  7.88100.00 17.70 96.20 372.1
 SFO 20130523  8.42  8.10100.00 17.50 96.20 364.4
 SFO 20130524  8.27  7.96100.00 17.30 96.20 370.7
 SFO 20130525  8.71  8.38100.00 17.10 96.20 355.6
 SFO 20130526  8.70  8.34 99.60 16.90 96.20 356.5
 SFO 20130527  8.57  7.29 88.40 16.80 96.20 361.4
 SFO 20130528  9.57  9.20100.00 16.60 96.20 330.9
 SFO 20130529  9.97  9.59100.00 16.50 96.20 319.9
 SFO 20130530 10.35  9.95100.00 16.30 96.20 311.2
 SFO 20130601 10.68 10.26 99.90 16.00 96.20 303.8
 SFO 20130602  9.33  8.98100.00 15.90 96.20 339.7
 SFO 20130603  9.42  9.06100.00 15.80 96.20 337.5
 SFO 20130604  9.55  9.19100.00 15.70 96.20 334.1
 SFO 20130605 10.47 10.07100.00 15.60 96.20 310.2
 SFO 20130606  9.64  9.27100.00 15.50 96.20 332.3
 SFO 20130607  9.95  9.57100.00 15.40 96.20 324.1
 SFO 20130608 10.64 10.23100.00 15.30 96.20 307.0
 SFO 20130609 10.40  9.87 98.60 15.20 96.20 313.0
 SFO 20130610  9.92  7.70 80.80 15.10 96.20 325.4
 SFO 20130611 10.00  9.62100.00 15.10 96.20 323.4
 SFO 20130612  9.53  9.17100.00 15.00 96.20 336.5
 SFO 20130613  9.19  8.84100.00 14.90 96.20 346.9
 SFO 20130614  9.60  9.24100.00 14.90 96.20 334.8
 SFO 20130615  9.52  9.16100.00 14.90 96.20 337.2
 SFO 20130616  9.49  9.13100.00 14.80 96.20 337.9
 SFO 20130617  9.92  9.55100.00 14.80 96.20 326.0
 SFO 20130618  9.79  8.82 93.60 14.80 96.20 329.6
 SFO 20130619  9.25  8.90100.00 14.80 96.20 345.2
 SFO 20130620  9.67  9.30100.00 14.80 96.20 333.1
 SFO 20130621  9.28  8.92100.00 14.80 96.20 344.4
 SFO 20130622  9.86  9.48100.00 14.80 96.20 327.7
 SFO 20130623  9.36  5.10 56.70 14.80 96.20 341.6
 SFO 20130624  9.25  8.16 91.60 14.80 96.20 345.1
 SFO 20130625  9.94  1.51 15.80 14.80 96.20 325.0
 SFO 20130626 10.66 10.26100.00 14.90 96.20 306.8
 SFO 20130627 11.18 10.76100.00 14.90 96.20 295.0
 SFO 20130628 11.22 10.79100.00 15.00 96.20 294.1
 SFO 20130629 11.05 10.63100.00 15.00 96.20 297.5
 SFO 20130630 10.48 10.09100.00 15.10 96.20 310.5
 SFO 20130701 10.53 10.13100.00 15.20 96.20 309.0
 SFO 20130702 10.76 10.24 98.90 15.20 96.20 303.3
 SFO 20130703 11.08 10.03 94.10 15.30 96.20 295.8
 SFO 20130704 10.71 10.30100.00 15.40 96.20 303.9
 SFO 20130705 10.19  9.80100.00 15.50 96.20 316.2
 SFO 20130706 10.03  9.65100.00 15.60 96.20 319.8
 SFO 20130707 10.23  9.84100.00 15.70 96.20 314.4
 SFO 20130708 10.69 10.28100.00 15.80 96.20 302.9
 SFO 20130709 10.73 10.32100.00 16.00 96.20 301.5
 SFO 20130710 10.79 10.38100.00 16.10 96.20 299.6
 SFO 20130711 10.52 10.12100.00 16.20 96.20 305.7
 SFO 20130712 10.08  9.70100.00 16.40 96.20 315.9
 SFO 20130713 10.50 10.10100.00 16.50 96.20 305.1
 SFO 20130715 10.74 10.33100.00 16.80 96.20 298.3
 SFO 20130716 10.15  9.76100.00 17.00 96.20 312.1
 SFO 20130717 10.18  9.79100.00 17.20 96.20 310.8
 SFO 20130718 10.41 10.02100.00 17.40 96.20 304.3
 SFO 20130719 10.81 10.40100.00 17.60 96.20 294.6
 SFO 20130720 10.87 10.46100.00 17.80 96.20 292.7
 SFO 20130721 10.11  9.72100.00 18.00 96.20 310.1
 SFO 20130722 10.16  7.79 79.80 18.20 96.20 308.0
 SFO 20130723  9.87  9.42 99.30 18.40 96.20 314.7
 SFO 20130724 10.39  9.99100.00 18.60 96.20 300.8
 SFO 20130725 10.47  9.75 96.80 18.80 96.20 298.0
 SFO 20130726 10.25  9.86100.00 19.00 96.20 302.6
 SFO 20130727  9.82  9.44100.00 19.30 96.20 312.9
 SFO 20130728  9.68  9.31100.00 19.50 96.20 315.5
 SFO 20130729 10.07  9.69100.00 19.80 96.20 304.7
 SFO 20130730 10.02  9.64100.00 20.00 96.20 305.0
 SFO 20130731 10.06  9.68100.00 20.30 96.20 302.8
 SFO 20130801  9.77  9.39100.00 20.50 96.20 309.4
 SFO 20130802  9.92  9.54100.00 20.80 96.20 304.4
 SFO 20130803  9.42  9.06100.00 21.10 96.20 316.2
 SFO 20130804 10.05  9.67100.00 21.40 96.20 298.6
 SFO 20130805  9.73  9.36100.00 21.60 96.20 305.6
 SFO 20130806  9.71  9.34100.00 21.90 96.20 304.8
 SFO 20130807  9.15  8.79100.00 22.20 96.20 318.7
 SFO 20130808  8.83  8.49100.00 22.50 96.20 327.0
 SFO 20130809  8.93  8.59100.00 22.80 96.20 322.3
 SFO 20130810  8.88  8.54100.00 23.10 96.20 322.3
 SFO 20130811  9.15  8.80100.00 23.40 96.20 313.4
 SFO 20130812  8.80  8.46100.00 23.80 96.20 321.9
 SFO 20130813  9.27  8.91100.00 24.10 96.20 307.3
 SFO 20130814  9.61  9.24100.00 24.40 96.20 296.6
 SFO 20130815  9.56  9.19100.00 24.70 96.20 296.6
 SFO 20130816  9.31  8.95100.00 25.10 96.10 301.4
 SFO 20130817  8.80  8.45 99.90 25.40 96.10 314.1
 SFO 20130818  8.31  7.98 99.90 25.70 96.10 327.4
 SFO 20130819  8.77  8.43 99.90 26.10 96.10 311.2
 SFO 20130820  8.93  8.59100.00 26.40 96.10 304.8
 SFO 20130821  8.67  8.34100.00 26.80 96.10 310.4
 SFO 20130822  8.46  8.13100.00 27.10 96.10 314.7
 SFO 20130823  8.65  8.31100.00 27.50 96.10 307.2
 SFO 20130824  8.47  8.14100.00 27.80 96.10 310.6
