 TPA 20130102  4.94  4.85100.00 51.80 98.20 240.9
 TPA 20130103  4.93  2.69 55.60 51.70 98.20 242.7
 TPA 20130104  4.99  1.47 30.00 51.60 98.20 240.9
 TPA 20130105  5.00  3.30 67.00 51.50 98.20 241.7
 TPA 20130106  4.94  3.75 77.30 51.30 98.20 245.7
 TPA 20130107  4.75  4.52 96.80 51.20 98.20 255.3
 TPA 20130108  4.76  4.47 95.70 51.10 98.20 256.4
 TPA 20130109  4.87  4.17 87.30 51.00 98.20 253.2
 TPA 20130110  5.16  2.73 53.90 50.80 98.20 242.3
 TPA 20130111  5.55  5.27 96.80 50.70 98.20 229.8
 TPA 20130112  5.38  5.27 99.70 50.50 98.20 236.9
 TPA 20130113  5.46  5.35 99.80 50.40 98.20 235.8
 TPA 20130114  5.72  5.61 99.90 50.20 98.20 228.6
 TPA 20130115  5.90  5.41 93.30 50.00 98.20 224.0
 TPA 20130116  6.15  6.04100.00 49.90 98.20 218.2
 TPA 20130117  6.29  6.06 98.00 49.70 98.20 216.0
 TPA 20130118  5.85  3.76 65.40 49.50 98.20 231.5
 TPA 20130119  5.66  2.91 52.30 49.30 98.20 239.3
 TPA 20130120  5.83  5.21 91.10 49.10 98.20 236.0
 TPA 20130121  6.03  5.00 84.50 48.90 98.20 231.6
 TPA 20130122  5.85  5.40 93.90 48.70 98.20 239.0
 TPA 20130123  5.29  5.20100.00 48.40 98.20 262.4
 TPA 20130124  5.20  5.11100.00 48.20 98.20 269.0
 TPA 20130125  5.86  5.76100.00 48.00 98.20 245.5
 TPA 20130126  6.06  5.95100.00 47.70 98.20 240.9
 TPA 20130127  5.91  5.81100.00 47.50 98.20 248.6
 TPA 20130128  6.30  4.42 71.40 47.30 98.20 237.8
 TPA 20130129  6.51  6.27 98.10 47.00 98.20 234.1
 TPA 20130130  6.66  6.55100.00 46.70 98.20 231.7
 TPA 20130131  6.32  6.21100.00 46.50 98.20 244.4
 TPA 20130201  6.46  6.34 99.90 46.20 98.20 242.0
 TPA 20130202  5.75  5.65100.00 45.90 98.20 269.6
 TPA 20130203  5.45  5.34 99.80 45.70 98.20 284.8
 TPA 20130204  5.77  5.40 95.20 45.40 98.20 274.3
 TPA 20130205  6.21  6.10100.00 45.10 98.20 260.4
 TPA 20130206  5.89  3.75 64.90 44.80 98.20 275.3
 TPA 20130207  6.47  5.92 93.10 44.50 98.30 257.2
 TPA 20130208  6.74  6.51 98.30 44.20 98.30 251.4
 TPA 20130209  6.73  6.61100.00 43.90 98.30 254.4
 TPA 20130210  6.96  6.63 96.90 43.60 98.30 249.9
 TPA 20130211  7.44  7.31100.00 43.30 98.30 238.9
 TPA 20130212  7.80  7.66100.00 43.00 98.30 232.6
 TPA 20130213  8.35  6.06 73.90 42.60 98.30 221.8
 TPA 20130214  7.90  7.74 99.80 42.30 98.30 235.0
 TPA 20130215  7.03  2.83 41.00 42.00 98.30 261.2
 TPA 20130216  6.79  6.55 98.30 41.60 98.30 272.1
 TPA 20130217  6.34  6.23100.00 41.30 98.30 290.8
 TPA 20130218  6.96  6.84100.00 41.00 98.30 272.1
 TPA 20130219  7.25  7.12 99.90 40.60 98.30 265.7
 TPA 20130220  7.48  7.32 99.50 40.30 98.30 261.3
 TPA 20130221  7.74  5.66 74.40 39.90 98.30 256.8
 TPA 20130222  7.84  7.59 98.50 39.60 98.30 256.8
 TPA 20130223  8.17  8.00 99.60 39.20 98.30 251.1
 TPA 20130224  8.51  7.36 88.00 38.90 98.30 245.0
 TPA 20130225  8.06  6.62 83.50 38.50 98.30 258.7
 TPA 20130226  7.69  6.56 86.80 38.10 98.30 272.0
 TPA 20130227  7.82  7.68100.00 37.80 98.30 271.0
 TPA 20130228  8.16  7.78 97.10 37.40 98.30 264.2
 TPA 20130301  8.23  8.09100.00 37.00 98.30 265.0
 TPA 20130302  8.13  6.71 83.90 36.60 98.30 270.4
 TPA 20130303  5.74  5.35 94.90 36.30 98.30 364.7
 TPA 20130304  7.55  7.42100.00 35.90 98.30 293.1
 TPA 20130305  8.24  8.10100.00 35.50 98.30 275.2
 TPA 20130306  8.29  8.15100.00 35.10 98.30 276.2
 TPA 20130307  8.91  8.76100.00 34.70 98.30 262.7
 TPA 20130308  8.95  8.80100.00 34.30 98.30 264.2
 TPA 20130309  9.30  8.53 93.30 34.00 98.30 258.2
 TPA 20130310  9.13  8.97 99.90 33.60 98.30 264.6
 TPA 20130311  9.79  9.60 99.80 33.20 98.30 252.4
 TPA 20130312  9.57  1.51 16.00 32.80 98.30 259.0
 TPA 20130313  8.81  8.66100.00 32.40 98.30 279.7
 TPA 20130314  7.96  7.83100.00 32.00 98.30 306.8
 TPA 20130315  7.46  7.33100.00 31.60 98.30 326.8
 TPA 20130316  8.41  8.27100.00 31.20 98.30 298.1
 TPA 20130317  9.60  8.22 87.10 30.80 98.30 269.8
 TPA 20130318 10.18 10.01100.00 30.40 98.30 258.9
 TPA 20130319 10.10  9.94100.00 30.00 98.30 262.8
 TPA 20130320 10.11  8.54 86.00 29.60 98.30 264.7
 TPA 20130321  8.62  8.48100.00 29.30 98.30 303.9
 TPA 20130322  9.27  9.12100.00 28.90 98.30 288.6
 TPA 20130323 10.29  7.26 71.70 28.50 98.30 266.7
 TPA 20130324 10.90  4.11 38.30 28.10 98.30 256.2
 TPA 20130325 10.53 10.35100.00 27.70 98.30 265.5
 TPA 20130326 10.48 10.31100.00 27.30 98.30 268.4
 TPA 20130327 10.21 10.04100.00 26.90 98.30 276.1
 TPA 20130328 10.24 10.07100.00 26.50 98.30 277.2
 TPA 20130329  9.86  9.69100.00 26.10 98.30 288.1
 TPA 20130330  9.52  9.36100.00 25.70 98.30 298.1
 TPA 20130331 10.09  9.91 99.90 25.30 98.30 286.2
 TPA 20130401 10.32  9.76 96.20 25.00 98.30 282.7
 TPA 20130402 10.19 10.01 99.90 24.60 98.30 287.4
 TPA 20130403 10.82  9.89 93.00 24.20 98.30 275.1
 TPA 20130404 10.73  4.36 41.20 23.80 98.30 278.2
 TPA 20130405  8.79  6.64 76.90 23.40 98.30 330.0
 TPA 20130406 10.11  9.44 95.00 23.10 98.30 295.4
 TPA 20130407 10.11  7.73 77.80 22.70 98.30 297.0
 TPA 20130408 10.72 10.54100.00 22.30 98.30 284.6
 TPA 20130409 11.15  8.72 79.50 22.00 98.30 276.7
 TPA 20130410 10.96 10.77 99.90 21.60 98.30 282.0
 TPA 20130411 11.82  7.86 67.60 21.20 98.40 266.5
 TPA 20130412 11.16 10.68 97.30 20.90 98.40 280.5
 TPA 20130413 11.41  9.41 83.90 20.50 98.40 277.0
 TPA 20130414 11.53 10.09 89.00 20.20 98.40 275.9
 TPA 20130415 11.77 11.57100.00 19.80 98.40 272.5
 TPA 20130416 11.81 11.61100.00 19.50 98.40 272.8
 TPA 20130417 11.75 10.86 94.00 19.10 98.40 274.8
 TPA 20130418 11.41 10.81 96.40 18.80 98.40 282.3
 TPA 20130419 12.14 10.68 89.50 18.50 98.40 269.5
 TPA 20130420 11.85  8.44 72.40 18.10 98.40 275.7
 TPA 20130421 11.27  6.23 56.20 17.80 98.40 288.3
 TPA 20130422 11.02  5.53 51.00 17.50 98.40 294.6
 TPA 20130423 10.87 10.69100.00 17.20 98.40 298.6
 TPA 20130424 11.58 11.39100.00 16.80 98.40 284.6
 TPA 20130425 11.82 11.63100.00 16.50 98.40 280.4
 TPA 20130426 12.19 11.08 92.40 16.20 98.40 274.6
 TPA 20130427 11.88 11.19 95.70 15.90 98.40 280.9
 TPA 20130428 11.34 11.15100.00 15.60 98.40 293.1
 TPA 20130429 11.06  9.02 83.00 15.30 98.40 299.8
 TPA 20130430 10.92 10.73 99.90 15.00 98.40 303.8
 TPA 20130501 11.45 10.07 89.40 14.80 98.40 292.9
 TPA 20130502 10.71  7.28 69.10 14.50 98.40 310.1
 TPA 20130503 10.72 10.33 97.90 14.20 98.40 310.4
 TPA 20130504  9.85  3.44 35.50 14.00 98.40 333.2
 TPA 20130505 10.36 10.18 99.90 13.70 98.40 320.0
 TPA 20130506 10.98  8.69 80.40 13.40 98.40 305.9
 TPA 20130507 11.05 10.74 98.80 13.20 98.40 304.8
 TPA 20130508 10.39  9.86 96.50 12.90 98.40 321.0
 TPA 20130509 10.20 10.03100.00 12.70 98.40 326.6
 TPA 20130510 11.00 10.57 97.70 12.50 98.40 307.3
 TPA 20130511 11.63 11.36 99.30 12.30 98.40 294.0
 TPA 20130512 11.85 11.54 98.90 12.00 98.40 290.0
 TPA 20130513 11.00 10.81 99.90 11.80 98.40 308.7
 TPA 20130514 10.32 10.15100.00 11.60 98.40 325.7
 TPA 20130515 11.14 10.96100.00 11.40 98.40 306.2
 TPA 20130516 11.31  8.46 76.10 11.20 98.40 302.6
 TPA 20130517 10.69 10.52100.00 11.00 98.40 317.2
 TPA 20130518 10.14  9.97100.00 10.90 98.40 331.9
 TPA 20130519 10.87 10.57 98.80 10.70 98.40 313.7
 TPA 20130520  9.92  9.75 99.90 10.50 98.40 338.4
 TPA 20130521 10.24 10.08100.00 10.30 98.40 330.1
 TPA 20130522 10.27 10.10 99.90 10.20 98.40 329.7
 TPA 20130523 10.38 10.22100.00 10.00 98.40 327.0
 TPA 20130524 10.57 10.28 98.90  9.90 98.40 322.4
 TPA 20130525 10.85 10.67100.00  9.70 98.40 315.7
 TPA 20130526 11.03 10.85100.00  9.60 98.40 311.7
 TPA 20130527 10.44  9.84 95.80  9.50 98.40 326.1
 TPA 20130528 10.49  8.79 85.20  9.40 98.40 324.7
 TPA 20130529 10.64 10.46100.00  9.20 98.40 321.1
 TPA 20130530 11.17 10.13 92.30  9.10 98.40 308.9
 TPA 20130601 11.07 10.83 99.50  8.90 98.40 311.2
 TPA 20130602 11.48 11.15 98.70  8.90 98.40 301.9
 TPA 20130603 11.77 10.26 88.60  8.80 98.40 296.1
 TPA 20130604 11.84  9.55 81.90  8.70 98.40 294.7
 TPA 20130605 12.22  7.54 62.70  8.60 98.40 287.1
 TPA 20130606 12.67  0.49  3.90  8.50 98.40 278.7
 TPA 20130607 11.84 11.32 97.20  8.50 98.40 294.8
 TPA 20130608 12.34  7.18 59.20  8.40 98.40 285.0
 TPA 20130609 12.29 10.15 84.00  8.40 98.40 286.0
 TPA 20130610 12.06 11.86 99.90  8.30 98.40 290.4
 TPA 20130611 11.61 10.09 88.30  8.30 98.40 299.4
 TPA 20130612 10.74 10.56 99.90  8.20 98.40 319.2
 TPA 20130613 10.83 10.65100.00  8.20 98.40 317.2
 TPA 20130614 10.77 10.59 99.90  8.20 98.40 318.3
 TPA 20130615 11.29 11.11100.00  8.10 98.40 306.6
 TPA 20130616 11.79 11.59 99.90  8.10 98.40 295.7
 TPA 20130617 11.47 11.28100.00  8.10 98.40 302.5
 TPA 20130618 11.49 11.30100.00  8.10 98.40 301.9
 TPA 20130619 11.53 11.34100.00  8.10 98.40 300.9
 TPA 20130620 12.02 11.83100.00  8.10 98.40 291.1
 TPA 20130621 11.75 11.56100.00  8.10 98.40 296.4
 TPA 20130622 11.53 11.33 99.90  8.10 98.40 300.9
 TPA 20130623 11.77 11.56 99.80  8.10 98.40 295.9
 TPA 20130624 11.75 11.43 98.90  8.10 98.40 296.3
 TPA 20130625 11.54 11.35100.00  8.10 98.40 300.5
 TPA 20130626 11.53 11.34 99.90  8.10 98.40 300.6
 TPA 20130627 11.49 11.29 99.90  8.20 98.40 301.5
