 CYS 20140103  1.64  1.50 93.70 64.40 97.40 319.2
 CYS 20140104  1.47  1.53 92.80 64.30 97.40 359.4
 CYS 20140105  1.39  1.74 96.10 64.20 97.40 381.6
 CYS 20140106  1.92  2.44100.00 64.10 97.40 284.7
 CYS 20140107  2.13  2.04 95.90 64.00 97.40 261.3
 CYS 20140108  1.79  1.74100.00 63.80 97.40 309.7
 CYS 20140109  1.80  1.72 98.00 63.70 97.40 311.2
 CYS 20140110  1.67  1.53 94.20 63.60 97.40 336.8
 CYS 20140111  2.13  2.07100.00 63.40 97.40 273.4
 CYS 20140112  1.72  1.68100.00 63.20 97.40 335.2
 CYS 20140113  1.92  1.84 98.40 63.10 97.40 306.4
 CYS 20140114  1.84  2.03 99.00 62.90 97.40 322.4
 CYS 20140115  1.79  1.73 99.30 62.70 97.40 334.9
 CYS 20140116  1.62  1.58100.00 62.60 97.40 374.3
 CYS 20140117  1.68  1.64100.00 62.40 97.40 364.9
 CYS 20140118  1.77  1.73100.00 62.20 97.40 351.8
 CYS 20140119  1.96  1.91100.00 62.00 97.40 325.4
 CYS 20140120  1.76  1.71100.00 61.80 97.40 364.6
 CYS 20140122  2.02  1.79 90.60 61.40 97.40 329.2
 CYS 20140123  1.61  1.82100.00 61.10 97.40 416.3
 CYS 20140124  1.93  1.87 99.60 60.90 97.40 353.8
 CYS 20140125  2.13  2.08100.00 60.70 97.40 326.8
 CYS 20140126  2.24  2.17 99.40 60.40 97.40 316.5
 CYS 20140127  1.76  1.43 75.10 60.20 97.40 404.1
 CYS 20140128  1.81  1.99100.00 60.00 97.40 399.0
 CYS 20140129  2.19  2.11 98.70 59.70 97.40 339.3
 CYS 20140130  2.24  1.35 62.30 59.40 97.40 338.7
 CYS 20140131  2.07  1.99 98.90 59.20 97.40 370.6
 CYS 20140201  2.02  2.22 86.00 58.90 97.50 385.2
 CYS 20140202  2.16  2.72100.00 58.60 97.50 369.0
 CYS 20140203  2.21  2.53 99.50 58.30 97.50 367.2
 CYS 20140204  2.12  2.03 75.70 58.10 97.50 389.2
 CYS 20140205  2.04  2.58 97.20 57.80 97.50 409.8
 CYS 20140206  2.11  2.63 99.10 57.50 97.50 404.9
 CYS 20140207  2.25  2.06 86.20 57.20 97.50 387.2
 CYS 20140208  2.51  2.32 91.90 56.90 97.50 355.6
 CYS 20140209  2.62  2.99 86.50 56.60 97.50 347.8
 CYS 20140210  2.33  3.02 98.70 56.20 97.50 394.2
 CYS 20140211  2.33  2.03 89.30 55.90 97.50 401.4
 CYS 20140212  2.76  1.76 65.30 55.60 97.50 348.7
 CYS 20140213  3.02  2.94 99.80 55.30 97.50 327.3
 CYS 20140214  2.99  2.74 93.60 54.90 97.50 335.7
 CYS 20140215  3.16  2.90 94.00 54.60 97.50 326.2
 CYS 20140216  3.20  2.29 73.30 54.30 97.50 328.2
 CYS 20140217  3.03  2.79 94.50 53.90 97.50 351.2
 CYS 20140218  3.05  2.97100.00 53.60 97.50 354.9
 CYS 20140219  2.92  2.76 96.80 53.20 97.50 375.5
 CYS 20140220  2.57  2.50100.00 52.90 97.50 430.2
 CYS 20140221  2.88  2.12 75.70 52.50 97.50 393.9
 CYS 20140222  2.99  1.91 65.70 52.20 97.50 387.7
 CYS 20140223  3.15  3.12 83.80 51.80 97.50 375.4
 CYS 20140224  3.45  3.33 98.80 51.40 97.50 351.9
 CYS 20140225  3.37  2.17 55.00 51.10 97.50 366.2
