 DCA 20140103  1.64  1.97100.00 62.10 92.00 354.8
 DCA 20140104  1.85  2.23100.00 62.00 92.00 319.6
 DCA 20140105  2.08  0.33 15.50 61.90 92.00 289.4
 DCA 20140106  1.88  1.36 69.20 61.80 92.00 319.1
 DCA 20140107  1.69  1.72100.00 61.70 92.00 355.6
 DCA 20140108  2.04  2.14 99.90 61.50 92.00 301.1
 DCA 20140109  2.03  1.87100.00 61.40 92.00 305.7
 DCA 20140110  2.09  0.95 49.90 61.30 92.00 300.7
 DCA 20140111  2.15  0.44 22.00 61.10 92.00 296.1
 DCA 20140112  1.89  1.69 97.40 61.00 92.00 336.2
 DCA 20140113  2.18  1.90 94.70 60.80 92.00 297.9
 DCA 20140114  2.12  0.63 32.30 60.60 92.00 307.9
 DCA 20140115  2.24  2.06100.00 60.50 92.00 296.6
 DCA 20140116  1.83  1.45 85.90 60.30 92.00 360.6
 DCA 20140117  1.92  1.76 99.90 60.10 92.00 349.6
 DCA 20140118  1.67  1.68100.00 59.90 92.00 402.4
 DCA 20140119  1.72  1.55 97.70 59.70 92.00 396.1
 DCA 20140120  1.96  1.77 98.40 59.50 92.10 355.9
 DCA 20140122  1.68  2.07100.00 59.10 92.10 425.4
 DCA 20140123  1.91  2.19 99.80 58.90 92.10 380.5
 DCA 20140124  1.78  2.00100.00 58.60 92.10 413.8
 DCA 20140125  1.85  0.87 42.80 58.40 92.10 404.4
 DCA 20140126  2.03  2.23 95.10 58.20 92.10 375.3
 DCA 20140127  2.27  2.39 94.70 57.90 92.10 343.4
 DCA 20140128  2.38  2.20 90.10 57.70 92.10 333.9
 DCA 20140129  2.16  2.42100.00 57.40 92.10 370.3
 DCA 20140130  2.43  2.61100.00 57.20 92.10 337.8
 DCA 20140131  2.95  2.70 99.10 56.90 92.10 288.4
 DCA 20140201  3.20  2.86 97.00 56.60 92.10 273.3
 DCA 20140202  3.31  2.89 94.80 56.30 92.10 268.9
 DCA 20140203  3.14  1.45 41.20 56.10 92.10 286.0
 DCA 20140204  3.34  3.61 96.90 55.80 92.10 274.7
 DCA 20140205  3.11  1.01 35.40 55.50 92.10 296.7
 DCA 20140206  3.06  3.12 97.40 55.20 92.20 305.1
 DCA 20140207  2.93  2.70100.00 54.90 92.20 321.3
 DCA 20140208  2.83  1.75 67.40 54.60 92.20 337.2
 DCA 20140209  2.67  1.99 80.60 54.30 92.20 360.7
 DCA 20140210  2.65  2.67 93.50 54.00 92.20 369.7
 DCA 20140211  2.53  2.71100.00 53.60 92.20 392.0
 DCA 20140212  2.79  2.84 94.80 53.30 92.20 364.7
 DCA 20140213  2.72  1.40 41.10 53.00 92.20 379.3
 DCA 20140214  2.68  3.46100.00 52.70 92.20 391.0
 DCA 20140215  2.44  1.20 45.40 52.30 92.20 432.7
 DCA 20140216  2.48  2.63 95.30 52.00 92.20 433.9
 DCA 20140217  2.99  3.18100.00 51.60 92.20 371.9
 DCA 20140218  2.93  3.34 98.70 51.30 92.20 384.6
 DCA 20140219  3.20  1.60 54.10 51.00 92.30 360.3
 DCA 20140220  3.67  3.27 96.50 50.60 92.30 324.7
 DCA 20140221  3.60  0.74 22.20 50.20 92.30 335.4
 DCA 20140222  3.36  3.10100.00 49.90 92.30 361.7
 DCA 20140223  3.29  2.52 83.10 49.50 92.30 374.1
 DCA 20140224  3.08  2.84100.00 49.20 92.30 403.6
 DCA 20140225  3.07  2.26 79.10 48.80 92.30 411.5
 DCA 20140226  2.84  2.93 99.00 48.40 92.30 449.3
 DCA 20140227  3.08  2.82 98.50 48.00 92.30 423.0
 DCA 20140228  3.70  3.86100.00 47.70 92.30 364.8
 DCA 20140301  3.99  3.57 96.90 47.30 92.30 346.7
 DCA 20140302  4.39  3.26 80.90 46.90 92.00 324.3
 DCA 20140303  4.19  2.26 45.40 46.50 92.00 342.8
 DCA 20140304  3.90  4.29 93.00 46.10 92.00 369.8
 DCA 20140305  4.12  3.80100.00 45.80 92.10 357.1
 DCA 20140306  4.30  4.39 98.40 45.40 92.10 349.6
 DCA 20140307  4.23  2.54 65.40 45.00 92.10 359.2
 DCA 20140308  4.38  4.04100.00 44.60 92.10 353.3
 DCA 20140309  4.07  3.74 99.90 44.20 92.10 382.2
 DCA 20140310  4.47  1.47 35.70 43.80 92.10 357.4
 DCA 20140311  5.02  4.55 98.30 43.40 92.10 328.1
