 HOU 20140103  3.55  3.35100.00 53.10 94.30 299.5
 HOU 20140104  3.43  2.17 67.20 53.00 94.30 310.0
 HOU 20140105  3.79  2.61 73.10 52.90 94.30 286.6
 HOU 20140106  3.63  2.99 87.50 52.80 94.30 298.8
 HOU 20140107  3.90  3.46 94.30 52.70 94.30 282.7
 HOU 20140108  4.42  1.37 32.90 52.50 94.30 255.5
 HOU 20140109  4.06  1.20 31.40 52.40 94.30 276.6
 HOU 20140110  4.17  1.14 28.90 52.30 94.30 271.9
 HOU 20140111  4.03  3.80100.00 52.10 94.30 281.9
 HOU 20140112  4.02  3.79100.00 52.00 94.30 284.4
 HOU 20140113  4.00  3.03 80.40 51.80 94.30 287.6
 HOU 20140114  4.04  3.81100.00 51.60 94.30 287.6
 HOU 20140115  3.28  3.10100.00 51.50 94.30 346.7
 HOU 20140116  3.81  3.59100.00 51.30 94.30 307.3
 HOU 20140117  3.27  3.05 98.60 51.10 94.30 353.3
 HOU 20140118  3.45  3.26100.00 50.90 94.40 339.8
 HOU 20140119  3.43  3.24100.00 50.70 94.40 344.6
 HOU 20140120  4.31  4.03 99.10 50.50 94.40 285.8
 HOU 20140122  4.22  3.99100.00 50.10 94.40 295.8
 HOU 20140123  4.71  0.84 18.80 49.90 94.40 272.7
 HOU 20140124  4.60  2.52 57.80 49.60 94.40 280.5
 HOU 20140125  4.02  3.75 98.90 49.40 94.40 318.0
 HOU 20140126  4.21  3.97100.00 49.20 94.40 308.7
 HOU 20140127  4.67  4.18 94.80 48.90 94.40 285.5
 HOU 20140128  4.81  2.82 62.10 48.70 94.40 281.8
 HOU 20140129  4.26  3.32 82.50 48.40 94.40 315.1
 HOU 20140130  4.85  4.32 94.40 48.20 94.40 285.6
 HOU 20140131  5.26  3.05 61.40 47.90 94.40 269.7
 HOU 20140201  5.44  1.26 24.60 47.60 94.40 265.0
 HOU 20140202  5.42  3.19 62.00 47.30 94.40 268.7
 HOU 20140203  5.53  3.28 62.80 47.10 94.40 267.1
 HOU 20140204  5.59  0.53  9.90 46.80 94.40 267.4
 HOU 20140205  5.33  5.01 99.60 46.50 94.40 280.9
 HOU 20140206  5.08  2.29 47.80 46.20 94.40 296.1
 HOU 20140207  5.45  2.49 48.40 45.90 94.40 281.9
 HOU 20140208  5.28  4.99100.00 45.60 94.40 292.9
 HOU 20140209  5.28  4.67 93.70 45.30 94.40 296.2
 HOU 20140210  5.48  1.25 24.20 45.00 94.40 290.1
 HOU 20140211  5.35  1.21 24.10 44.70 94.40 299.5
 HOU 20140212  4.32  3.38 82.90 44.30 94.50 363.1
 HOU 20140213  5.13  4.84100.00 44.00 94.50 317.4
 HOU 20140214  5.21  4.09 83.20 43.70 94.50 316.6
 HOU 20140215  5.35  5.06100.00 43.30 94.50 313.2
 HOU 20140216  5.80  3.03 55.50 43.00 94.50 296.2
 HOU 20140217  6.22  1.88 32.00 42.70 94.50 282.5
 HOU 20140218  5.97  3.85 68.10 42.30 94.50 295.7
 HOU 20140219  5.85  1.62 29.40 42.00 94.50 304.2
 HOU 20140220  6.14  2.30 39.60 41.60 94.50 295.3
 HOU 20140221  6.04  5.67 99.30 41.30 94.50 302.7
 HOU 20140222  6.25  5.63 95.30 40.90 94.50 297.2
 HOU 20140223  6.57  3.76 60.50 40.60 94.50 288.4
 HOU 20140224  6.76  4.15 65.10 40.20 94.50 284.8
 HOU 20140225  7.17  3.40 50.20 39.80 94.50 274.1
 HOU 20140226  6.82  0.47  7.30 39.50 94.50 289.0
 HOU 20140227  6.25  5.91100.00 39.10 94.50 313.7
 HOU 20140228  7.05  1.79 26.80 38.70 94.50 286.9
 HOU 20140301  7.72  2.04 28.00 38.30 94.50 269.2
 HOU 20140302  8.01  3.88 51.20 38.00 94.40 263.7
 HOU 20140303  7.32  4.92 71.30 37.60 94.40 287.1
 HOU 20140304  6.99  1.32 20.00 37.20 94.40 301.2
 HOU 20140305  6.37  3.90 64.60 36.80 94.40 328.8
 HOU 20140306  6.25  5.05 85.60 36.40 94.40 337.5
 HOU 20140307  7.24  6.69 97.90 36.00 94.40 301.5
 HOU 20140308  7.30  5.12 74.30 35.70 94.40 302.5
 HOU 20140309  7.43  3.07 43.70 35.30 94.40 300.8
 HOU 20140310  7.57  6.01 84.20 34.90 94.40 299.1
 HOU 20140311  7.33  6.69 96.70 34.50 94.40 310.5
 HOU 20140312  8.27  7.81100.00 34.10 94.40 283.3
 HOU 20140313  8.66  8.18100.00 33.70 94.40 275.3
 HOU 20140314  8.57  2.58 31.80 33.30 94.40 280.0
 HOU 20140315  8.40  1.52 19.20 32.90 94.40 287.6
 HOU 20140316  7.56  3.10 43.50 32.50 94.40 316.5
 HOU 20140317  6.86  6.48100.00 32.10 94.40 346.1
 HOU 20140318  8.73  8.25100.00 31.70 94.40 285.9
 HOU 20140319  9.19  5.16 59.60 31.30 94.50 276.4
 HOU 20140320  8.73  8.24100.00 30.90 94.50 291.1
 HOU 20140321  9.35  8.67 98.10 30.50 94.50 277.0
 HOU 20140322  9.47  7.10 79.30 30.10 94.50 276.6
 HOU 20140323  9.60  3.13 34.40 29.70 94.50 275.6
 HOU 20140324  9.60  6.59 72.80 29.30 94.50 277.5
 HOU 20140325  8.70  8.15 99.20 28.90 94.50 303.3
 HOU 20140326  9.17  6.21 71.70 28.50 94.50 292.7
 HOU 20140327  9.22  1.11 12.80 28.10 94.50 293.4
 HOU 20140328  9.00  7.60 89.40 27.70 94.50 301.2
 HOU 20140329  9.40  8.78 98.80 27.30 94.50 293.0
 HOU 20140330  9.60  8.80 97.00 26.90 94.50 289.9
 HOU 20140331 10.20  9.62 99.80 26.50 94.50 277.5
 HOU 20140401 10.24  3.59 37.10 26.10 94.50 278.6
 HOU 20140402 10.32  4.48 45.90 25.70 94.50 278.7
 HOU 20140403 10.31  7.32 75.00 25.40 94.50 280.5
 HOU 20140404 10.18  9.62100.00 25.00 94.50 285.6
 HOU 20140405 10.30  5.95 61.10 24.60 94.50 284.4
 HOU 20140406  9.89  3.24 34.60 24.20 94.50 295.6
 HOU 20140407  9.00  6.05 71.20 23.80 94.50 321.2
 HOU 20140408  7.88  7.45100.00 23.40 94.50 360.6
 HOU 20140409  9.43  8.91100.00 23.10 94.50 312.6
 HOU 20140410 10.31  9.74100.00 22.70 94.50 292.1
 HOU 20140411 10.16  8.57 89.20 22.30 94.50 297.0
 HOU 20140412 10.29  9.13 93.80 21.90 94.50 295.3
 HOU 20140413 10.48  3.52 35.50 21.60 94.50 292.5
 HOU 20140414 10.45  4.33 43.90 21.20 94.50 294.6
 HOU 20140415  8.66  8.19100.00 20.90 94.50 345.4
 HOU 20140416  9.43  8.80 98.70 20.50 94.60 323.5
 HOU 20140417  9.25  5.01 57.40 20.10 94.60 330.2
 HOU 20140418  9.07  8.57 99.90 19.80 94.60 337.0
 HOU 20140419 10.91 10.29 99.80 19.40 94.60 290.8
 HOU 20140420 10.35  9.67 98.80 19.10 94.60 304.5
 HOU 20140421 10.24  9.69100.00 18.80 94.60 308.3
 HOU 20140422  9.50  7.71 85.90 18.40 94.60 329.3
 HOU 20140423 10.36  9.51 97.10 18.10 94.60 307.7
 HOU 20140424 10.62  9.88 98.40 17.80 94.60 302.3
 HOU 20140425 10.08  9.49 99.60 17.40 94.60 316.5
 HOU 20140426 10.69 10.10 99.90 17.10 94.60 302.6
 HOU 20140427 10.43  9.58 97.20 16.80 94.60 309.9
 HOU 20140428 10.04  6.30 66.50 16.50 94.60 320.6
 HOU 20140429 10.19  9.64100.00 16.20 94.60 317.7
 HOU 20140430 10.23  9.58 99.10 15.90 94.60 317.6
 HOU 20140501 10.71  9.14 90.30 15.60 94.60 307.0
 HOU 20140502 10.12  8.71 91.20 15.30 94.40 322.4
 HOU 20140503  9.54  9.01100.00 15.00 94.40 339.0
 HOU 20140504 10.41  9.84100.00 14.70 94.40 316.3
 HOU 20140505 10.43  9.86100.00 14.40 94.40 316.4
 HOU 20140506 11.08 10.28 98.20 14.20 94.50 301.7
 HOU 20140507 11.22  9.89 93.30 13.90 94.50 299.0
 HOU 20140508 11.96  8.79 77.80 13.60 94.50 284.5
 HOU 20140509 11.79 10.92 98.10 13.40 94.50 288.3
 HOU 20140510 11.17 10.34 98.00 13.10 94.50 301.7
 HOU 20140511 11.51 10.82 99.60 12.90 94.50 295.0
 HOU 20140512 11.43 10.13 93.70 12.60 94.50 297.0
 HOU 20140513 11.39  5.50 51.20 12.40 94.50 298.4
 HOU 20140514  9.93  9.14 97.50 12.20 94.50 334.5
 HOU 20140515  8.57  8.10100.00 11.90 94.50 378.2
