 IND 20140103  1.71  2.10100.00 63.10 92.20 320.5
 IND 20140104  1.71  1.76 90.90 63.00 92.20 323.2
 IND 20140105  1.74  0.83 39.70 62.90 92.20 320.1
 IND 20140106  1.39  1.85100.00 62.80 92.20 399.6
 IND 20140107  1.76  2.09100.00 62.70 92.20 322.5
 IND 20140108  2.15  2.39 94.90 62.50 92.20 271.9
 IND 20140109  1.87  2.13 93.00 62.40 92.20 310.8
 IND 20140110  2.00  1.33 59.80 62.30 92.20 294.6
 IND 20140111  1.74  0.86 54.00 62.10 92.20 339.4
 IND 20140112  2.12  1.95100.00 62.00 92.20 286.3
 IND 20140113  1.96  0.74 41.30 61.80 92.20 310.9
 IND 20140114  1.79  1.24 74.80 61.60 92.20 341.3
 IND 20140115  1.54  1.47 88.80 61.50 92.20 398.0
 IND 20140116  1.70  1.23 72.00 61.30 92.20 365.3
 IND 20140117  1.45  1.76100.00 61.10 92.20 433.0
 IND 20140118  1.61  1.80 94.80 60.90 92.20 395.5
 IND 20140119  1.81  2.19 98.70 60.70 92.20 357.4
 IND 20140120  1.76  1.53 80.90 60.50 92.20 371.5
 IND 20140122  1.63  1.76 90.50 60.10 92.20 412.3
 IND 20140123  1.57  1.80 99.10 59.90 92.30 434.1
 IND 20140124  1.72  1.83 91.70 59.60 92.30 403.1
 IND 20140125  1.61  1.97 98.10 59.40 92.30 436.1
 IND 20140126  1.91  1.63 67.30 59.20 92.30 375.6
 IND 20140127  1.76  2.14100.00 58.90 92.30 412.6
 IND 20140128  1.83  2.15100.00 58.70 92.30 404.6
 IND 20140129  1.85  2.13100.00 58.40 92.30 407.7
 IND 20140130  2.42  2.08 74.00 58.10 92.30 321.7
 IND 20140131  2.67  2.05 64.80 57.90 92.30 300.1
 IND 20140201  2.93  0.93 34.10 57.60 92.30 280.4
 IND 20140202  2.92  2.92 83.20 57.30 92.30 286.2
 IND 20140203  2.75  3.33100.00 57.10 92.30 306.3
 IND 20140204  2.87  2.09 64.90 56.80 92.30 299.8
 IND 20140205  2.32  2.65 88.30 56.50 92.30 367.9
 IND 20140206  2.58  3.30100.00 56.20 92.30 339.8
 IND 20140207  2.67  3.12100.00 55.90 92.40 334.9
 IND 20140208  2.40  2.62 94.60 55.60 92.40 373.7
 IND 20140209  2.29  2.68 95.30 55.30 92.40 396.6
 IND 20140210  2.35  2.93 99.70 55.00 92.40 394.1
 IND 20140211  2.28  2.71100.00 54.60 92.40 412.3
