 OKC 20140103  2.34  2.23100.00 59.00 95.10 315.6
 OKC 20140104  2.36  2.24100.00 58.90 95.10 315.7
 OKC 20140105  2.22  1.93 91.80 58.80 95.10 336.6
 OKC 20140106  2.57  2.81100.00 58.70 95.10 296.8
 OKC 20140107  2.98  2.83100.00 58.60 95.10 262.7
 OKC 20140108  2.82  2.31 86.50 58.50 95.10 278.0
 OKC 20140109  2.51  1.79 75.10 58.30 95.10 310.2
 OKC 20140110  2.50  2.15 90.30 58.20 95.10 313.7
 OKC 20140111  2.58  2.45100.00 58.00 95.10 308.1
 OKC 20140112  2.93  2.78100.00 57.90 95.10 278.1
 OKC 20140113  2.36  2.25100.00 57.70 95.10 339.6
 OKC 20140114  2.48  1.42 60.50 57.60 95.10 328.3
 OKC 20140115  2.51  2.39100.00 57.40 95.10 327.6
 OKC 20140116  2.28  2.17100.00 57.20 95.10 361.3
 OKC 20140117  2.20  2.09100.00 57.00 95.10 377.0
 OKC 20140118  2.30  2.19100.00 56.80 95.10 365.5
 OKC 20140119  2.60  2.47100.00 56.60 95.10 331.1
 OKC 20140120  2.65  2.52100.00 56.40 95.10 328.9
 OKC 20140122  2.93  2.78 99.90 56.00 95.10 308.1
 OKC 20140123  2.81  2.16 80.80 55.80 95.10 323.5
 OKC 20140124  2.26  2.15100.00 55.60 95.10 398.5
 OKC 20140125  2.66  2.53100.00 55.30 95.10 347.5
 OKC 20140126  2.99  2.84100.00 55.10 95.10 316.7
 OKC 20140127  3.03  2.09 72.50 54.90 95.10 316.8
 OKC 20140128  2.33  2.19 98.50 54.60 95.10 407.2
 OKC 20140129  2.74  2.60100.00 54.40 95.10 356.5
 OKC 20140130  3.38  3.11 96.70 54.10 95.10 299.7
 OKC 20140131  3.36  2.35 73.40 53.80 95.20 305.6
 OKC 20140201  3.40  2.98 92.10 53.60 95.20 307.0
 OKC 20140202  3.39  1.55 46.80 53.30 95.20 311.9
 OKC 20140203  3.51  3.00 89.80 53.00 95.20 306.6
 OKC 20140204  3.13  1.49 37.20 52.70 95.20 343.3
 OKC 20140205  3.37  4.07 97.30 52.40 95.20 326.5
 OKC 20140206  3.23  3.23 83.90 52.20 95.20 343.3
 OKC 20140207  3.35  3.43 85.80 51.90 95.20 337.0
 OKC 20140208  3.30  2.85 90.60 51.60 95.20 346.1
 OKC 20140209  3.72  2.52 71.10 51.20 95.20 316.4
 OKC 20140210  3.58  2.94 83.80 50.90 95.20 331.3
 OKC 20140211  3.17  3.88 99.30 50.60 95.20 373.6
 OKC 20140212  2.97  2.82 99.60 50.30 95.20 402.0
 OKC 20140213  3.65  3.42 98.60 50.00 95.20 339.7
 OKC 20140214  3.61  3.34 97.30 49.60 95.20 347.9
 OKC 20140215  4.17  3.97100.00 49.30 95.20 311.4
 OKC 20140216  4.26  4.05 99.80 49.00 95.20 310.5
 OKC 20140217  3.94  3.75100.00 48.60 95.20 336.5
