 ABQ 20150102  2.83  1.96 72.60 58.40 94.80 298.4
 ABQ 20150103  2.77  2.63100.00 58.30 94.80 306.2
 ABQ 20150104  2.87  2.72100.00 58.20 94.80 299.0
 ABQ 20150105  2.81  2.66 99.70 58.10 94.80 306.0
 ABQ 20150106  3.09  2.93100.00 58.00 94.80 283.7
 ABQ 20150107  2.98  2.73 96.60 57.90 94.80 294.9
 ABQ 20150108  3.19  2.98 98.50 57.70 94.80 279.7
 ABQ 20150109  3.25  2.94 95.60 57.60 94.80 277.7
 ABQ 20150110  3.12  2.83 95.70 57.50 94.80 289.9
 ABQ 20150111  3.19  2.82 93.20 57.30 94.80 286.8
 ABQ 20150112  2.93  2.31 83.10 57.20 94.80 311.8
 ABQ 20150113  2.71  1.43 55.40 57.00 94.80 337.3
 ABQ 20150114  3.08  2.79 95.00 56.80 94.80 303.7
 ABQ 20150115  3.36  3.18100.00 56.70 94.80 284.5
 ABQ 20150116  3.46  3.29100.00 56.50 94.80 279.2
 ABQ 20150117  3.75  3.58100.00 56.30 94.80 263.6
 ABQ 20150118  3.87  3.58 97.60 56.10 94.80 258.8
 ABQ 20150119  3.65  3.46100.00 55.90 94.90 275.4
 ABQ 20150120  3.33  3.16100.00 55.70 94.90 301.0
 ABQ 20150121  2.88  2.23 81.30 55.50 94.90 346.0
 ABQ 20150122  2.68  2.30 89.70 55.30 94.90 372.9
 ABQ 20150123  3.10  2.96100.00 55.10 94.90 331.1
 ABQ 20150124  3.30  3.15100.00 54.80 94.90 317.3
 ABQ 20150125  3.44  3.29100.00 54.60 94.90 309.3
 ABQ 20150126  3.81  3.61100.00 54.40 94.90 287.1
 ABQ 20150127  3.97  3.77100.00 54.10 94.90 280.4
 ABQ 20150128  4.10  3.89100.00 53.90 94.90 276.5
 ABQ 20150129  4.25  3.95 98.00 53.60 94.90 271.9
 ABQ 20150130  4.19  1.62 40.70 53.30 94.90 278.5
 ABQ 20150131  3.93  2.29 61.20 53.10 94.90 297.7
 ABQ 20150201  3.92  3.75100.00 52.80 94.90 302.2
 ABQ 20150202  4.01  3.80100.00 52.50 94.90 300.6
 ABQ 20150203  4.00  3.80100.00 52.30 94.90 305.2
 ABQ 20150204  3.76  3.48 97.30 52.00 94.90 326.1
 ABQ 20150205  3.96  3.45 91.80 51.70 94.90 316.2
 ABQ 20150206  4.64  4.40100.00 51.40 94.90 279.4
 ABQ 20150207  5.07  4.81100.00 51.10 94.90 262.7
 ABQ 20150208  5.53  5.25100.00 50.80 94.90 247.7
 ABQ 20150209  5.56  5.28100.00 50.50 94.90 249.9
 ABQ 20150210  5.53  5.25100.00 50.20 94.90 254.0
 ABQ 20150211  4.35  3.78 91.20 49.80 94.90 315.9
 ABQ 20150212  4.92  4.70100.00 49.50 95.00 288.1
 ABQ 20150213  5.04  4.78 99.80 49.20 95.00 286.4
 ABQ 20150214  5.61  5.33100.00 48.90 95.00 265.4
 ABQ 20150215  5.46  4.39 84.70 48.50 95.00 275.3
 ABQ 20150216  4.30  3.63 88.90 48.20 95.00 341.7
 ABQ 20150217  4.59  4.37100.00 47.80 95.00 327.9
 ABQ 20150218  5.15  4.89100.00 47.50 95.00 300.8
 ABQ 20150219  5.72  5.44100.00 47.10 95.00 279.0
 ABQ 20150220  5.29  5.03100.00 46.80 95.00 302.3
 ABQ 20150221  4.75  4.51 99.90 46.40 95.00 335.7
 ABQ 20150222  4.61  3.28 74.90 46.10 95.00 349.3
 ABQ 20150223  4.90  3.53 75.50 45.70 95.00 335.7
 ABQ 20150224  4.04  2.78 72.30 45.30 95.00 402.6
 ABQ 20150225  5.50  5.26 99.90 45.00 95.00 312.3
 ABQ 20150226  4.97  3.64 76.70 44.60 95.00 345.0
 ABQ 20150227  4.66  3.66 82.40 44.20 95.00 369.9
 ABQ 20150228  5.60  3.18 59.50 43.90 95.00 319.9
 ABQ 20150301  6.11  5.24 90.10 43.50 95.00 301.3
 ABQ 20150302  6.72  3.76 59.10 43.10 94.40 281.8
 ABQ 20150303  5.30  4.91 97.30 42.70 94.40 348.6
 ABQ 20150304  4.99  4.68 98.90 42.30 94.40 372.0
 ABQ 20150305  5.50  5.23100.00 41.90 94.50 346.5
 ABQ 20150306  5.88  5.60100.00 41.60 94.50 331.3
 ABQ 20150307  5.93  5.65100.00 41.20 94.50 332.9
 ABQ 20150308  6.00  5.71100.00 40.80 94.50 333.8
 ABQ 20150309  5.93  5.58 99.10 40.40 94.50 340.6
 ABQ 20150310  6.21  5.86100.00 40.00 94.50 332.1
 ABQ 20150311  6.84  6.47100.00 39.60 94.50 309.6
 ABQ 20150312  7.08  4.80 71.70 39.20 94.50 304.3
 ABQ 20150313  7.05  5.76 86.50 38.80 94.50 308.9
 ABQ 20150314  6.84  6.40 99.00 38.40 94.50 320.3
 ABQ 20150315  7.72  7.29 99.90 38.00 94.50 293.0
 ABQ 20150316  7.66  7.24100.00 37.60 94.50 297.8
 ABQ 20150317  8.28  7.73 98.70 37.20 94.50 282.3
 ABQ 20150318  8.40  7.78 98.00 36.80 94.50 282.1
 ABQ 20150319  7.88  6.34 85.30 36.40 94.50 300.4
 ABQ 20150320  7.57  6.34 88.60 36.00 94.50 313.9
 ABQ 20150321  8.31  7.85 99.90 35.60 94.50 293.5
 ABQ 20150322  8.44  7.98100.00 35.20 94.50 292.8
 ABQ 20150323  8.03  7.59100.00 34.80 94.50 308.2
 ABQ 20150324  7.72  7.27 99.70 34.40 94.60 321.4
 ABQ 20150325  7.15  6.76100.00 34.00 94.60 345.7
 ABQ 20150326  7.52  7.10 99.80 33.60 94.60 334.6
 ABQ 20150327  8.04  7.60100.00 33.20 94.60 319.3
 ABQ 20150328  8.73  8.25100.00 32.70 94.60 301.0
 ABQ 20150329  8.70  8.23100.00 32.30 94.60 304.5
 ABQ 20150330  8.73  7.47 90.50 31.90 94.60 306.5
 ABQ 20150331  8.97  8.48 99.90 31.60 94.60 302.0
 ABQ 20150401  8.70  8.23100.00 31.20 94.60 312.6
 ABQ 20150402  9.51  9.00100.00 30.80 94.60 292.9
 ABQ 20150403  9.57  9.05100.00 30.40 94.60 293.9
 ABQ 20150404  9.62  9.08 99.80 30.00 94.60 294.9
 ABQ 20150405  9.02  8.53100.00 29.60 94.60 313.3
 ABQ 20150406  8.75  8.27100.00 29.20 94.60 323.6
 ABQ 20150407  9.11  8.57 99.40 28.80 94.60 315.1
 ABQ 20150408  8.62  8.16100.00 28.40 94.60 332.3
 ABQ 20150409  8.81  8.29 99.40 28.00 94.60 328.6
 ABQ 20150410  8.92  8.44100.00 27.70 94.60 327.4
 ABQ 20150411  8.66  8.09 98.70 27.30 94.60 337.8
 ABQ 20150412  8.90  7.55 89.60 26.90 94.60 332.5
 ABQ 20150413  9.01  6.26 73.40 26.50 94.60 331.2
 ABQ 20150414  9.34  8.84100.00 26.20 94.60 323.5
 ABQ 20150415  9.06  8.58100.00 25.80 94.60 334.0
 ABQ 20150416  8.66  8.19100.00 25.40 94.60 348.8
 ABQ 20150417  8.77  8.27 99.60 25.10 94.60 347.3
 ABQ 20150418  8.92  8.15 96.50 24.70 94.60 344.1
 ABQ 20150419  9.36  8.80 99.40 24.30 94.60 332.5
