 ANC 20150102  0.11  0.11100.00 84.50 96.60 379.2
 ANC 20150103  0.11  0.12100.00 84.40 96.60 378.8
 ANC 20150104  0.11  0.13100.00 84.30 96.60 367.4
 ANC 20150105  0.12  0.14100.00 84.20 96.60 357.4
 ANC 20150106  0.12  0.14100.00 84.10 96.60 366.3
 ANC 20150107  0.13  0.15100.00 84.00 96.60 361.1
 ANC 20150108  0.13  0.12 79.00 83.80 96.60 360.4
 ANC 20150109  0.13  0.14 90.70 83.70 96.60 363.6
 ANC 20150110  0.13  0.16100.00 83.60 96.70 372.9
 ANC 20150111  0.14  0.16100.00 83.40 96.70 371.0
 ANC 20150112  0.15  0.18100.00 83.30 96.70 333.3
 ANC 20150113  0.15  0.10 66.50 83.10 96.70 372.7
 ANC 20150114  0.15  0.10 62.50 82.90 96.70 386.4
 ANC 20150115  0.15  0.15 94.90 82.80 96.70 395.5
 ANC 20150116  0.15  0.18 64.40 82.60 96.70 412.6
 ANC 20150117  0.16  0.20100.00 82.40 96.70 414.7
 ANC 20150118  0.16  0.21100.00 82.20 96.70 400.1
 ANC 20150119  0.16  0.20100.00 82.00 96.70 436.2
 ANC 20150120  0.15  0.20100.00 81.80 96.70 482.4
 ANC 20150121  0.16  0.21100.00 81.60 96.70 462.5
 ANC 20150122  0.18  0.22100.00 81.40 96.70 430.9
 ANC 20150123  0.19  0.24 96.00 81.20 96.70 411.4
 ANC 20150124  0.18  0.23100.00 80.90 96.70 459.3
 ANC 20150125  0.18  0.24100.00 80.70 96.70 469.8
 ANC 20150126  0.21  0.27100.00 80.50 96.70 401.4
 ANC 20150127  0.21  0.28100.00 80.20 96.70 403.7
 ANC 20150128  0.23  0.30100.00 80.00 96.70 380.4
 ANC 20150129  0.24  0.30100.00 79.70 96.70 390.8
 ANC 20150130  0.25  0.33100.00 79.40 96.70 395.3
 ANC 20150131  0.27  0.34100.00 79.20 96.70 380.3
 ANC 20150201  0.28  0.36100.00 78.90 96.70 384.9
 ANC 20150202  0.28  0.36100.00 78.60 96.70 404.0
 ANC 20150203  0.31  0.40100.00 78.40 96.70 371.1
 ANC 20150204  0.33  0.43100.00 78.10 96.70 356.4
 ANC 20150205  0.34  0.44100.00 77.80 96.70 365.9
 ANC 20150206  0.31  0.40100.00 77.50 96.70 428.1
 ANC 20150207  0.31  0.40100.00 77.20 96.70 462.7
 ANC 20150208  0.32  0.41100.00 76.90 96.70 460.1
 ANC 20150209  0.35  0.41 93.10 76.60 96.70 425.4
 ANC 20150210  0.38  0.44 91.80 76.30 96.70 398.4
 ANC 20150211  0.38  0.46 96.60 75.90 96.70 419.1
 ANC 20150212  0.38  0.44 90.40 75.60 96.80 432.0
 ANC 20150213  0.40  0.48 95.10 75.30 96.80 423.2
 ANC 20150214  0.43  0.41 79.60 75.00 96.80 406.4
 ANC 20150215  0.46  0.57 97.50 74.60 96.80 394.2
 ANC 20150216  0.47  0.43 85.40 74.30 96.80 405.0
