 DTW 20150102  1.57  1.42 98.30 65.90 91.80 278.4
 DTW 20150103  1.54  0.60 42.70 65.80 91.80 285.7
 DTW 20150104  1.36  0.98 72.20 65.70 91.80 322.9
 DTW 20150105  1.10  1.07 98.10 65.60 91.80 403.8
 DTW 20150106  1.18  1.30 97.70 65.50 91.80 377.5
 DTW 20150107  1.07  1.14 93.30 65.40 91.80 423.2
 DTW 20150108  1.20  1.12 86.60 65.20 91.80 379.8
 DTW 20150109  1.11  1.27 97.80 65.10 91.80 413.8
 DTW 20150110  1.24  1.44100.00 65.00 91.80 375.0
 DTW 20150111  1.47  1.65 98.60 64.80 91.80 321.4
 DTW 20150112  1.45  1.60 90.70 64.70 91.80 330.5
 DTW 20150113  1.42  1.74100.00 64.50 91.80 340.0
 DTW 20150114  1.37  1.66 99.30 64.30 91.80 358.9
 DTW 20150115  1.50  1.79 99.40 64.20 91.90 333.3
 DTW 20150116  1.38  1.81100.00 64.00 91.90 365.0
 DTW 20150117  1.68  1.94 89.80 63.80 91.90 308.1
 DTW 20150118  1.44  1.82100.00 63.60 91.90 362.4
 DTW 20150119  1.51  1.85100.00 63.40 91.90 350.4
 DTW 20150120  1.51  1.71 92.70 63.20 91.90 357.5
 DTW 20150121  1.46  1.43 78.40 63.00 91.90 374.3
 DTW 20150122  1.41  1.81100.00 62.80 91.90 393.6
 DTW 20150123  1.47  1.90100.00 62.60 91.90 383.3
 DTW 20150124  1.60  1.67 81.10 62.30 91.90 358.3
 DTW 20150125  1.51  1.39 71.40 62.10 91.90 387.7
 DTW 20150126  1.42  1.65 90.30 61.90 91.90 418.7
 DTW 20150127  1.41  1.82100.00 61.60 91.90 427.6
 DTW 20150128  1.55  1.98100.00 61.40 91.90 395.7
 DTW 20150129  1.79  0.68 28.60 61.10 91.90 350.9
 DTW 20150130  1.73  2.27100.00 60.90 91.90 368.3
 DTW 20150131  1.85  2.42100.00 60.60 92.00 350.4
 DTW 20150201  2.02  1.91 71.40 60.30 92.00 329.6
 DTW 20150202  1.73  2.33100.00 60.10 92.00 386.2
 DTW 20150203  1.80  2.41100.00 59.80 92.00 379.7
 DTW 20150204  1.84  2.16 88.60 59.50 92.00 379.8
 DTW 20150205  1.68  2.25100.00 59.20 92.00 421.3
 DTW 20150206  2.02  2.47 90.90 58.90 92.00 360.2
 DTW 20150207  2.28  2.89 94.70 58.60 92.00 329.3
 DTW 20150208  2.48  1.39 41.50 58.30 92.00 310.7
 DTW 20150209  2.16  2.81 97.30 58.00 92.00 358.4
 DTW 20150210  2.39  3.16 99.30 57.70 92.00 333.0
 DTW 20150211  2.16  2.16 74.60 57.40 92.00 372.2
 DTW 20150212  1.86  2.45 98.80 57.10 92.00 437.7
 DTW 20150213  2.16  2.87100.00 56.70 92.10 386.8
 DTW 20150214  1.85  2.44 98.60 56.40 92.10 455.6
 DTW 20150215  2.08  2.76 99.10 56.10 92.10 415.2
 DTW 20150216  2.35  3.13 99.60 55.70 92.10 376.0
 DTW 20150217  2.07  2.77100.00 55.40 92.10 431.9
 DTW 20150218  1.83  2.34 95.30 55.10 92.10 495.5
 DTW 20150219  1.79  2.35 97.60 54.70 92.10 517.0
 DTW 20150220  2.25  3.00100.00 54.40 92.10 421.3
 DTW 20150221  2.47  2.38 71.80 54.00 92.10 394.4
 DTW 20150222  2.33  2.96 94.50 53.60 92.10 423.5
 DTW 20150223  2.32  3.11100.00 53.30 92.10 434.1
 DTW 20150224  2.70  3.28 90.10 52.90 92.10 383.9
 DTW 20150225  2.85  3.82100.00 52.60 92.20 372.1
 DTW 20150226  2.62  3.32 93.90 52.20 92.20 409.1
 DTW 20150227  2.56  3.43100.00 51.80 92.20 425.6
 DTW 20150228  2.78  3.73100.00 51.40 92.20 401.1
 DTW 20150301  2.72  3.41 93.30 51.10 92.20 415.6
 DTW 20150302  3.00  4.01100.00 50.70 91.80 386.6
 DTW 20150303  3.73  3.03 60.10 50.30 91.80 324.8
 DTW 20150304  3.71  4.83 96.90 49.90 91.80 331.4
 DTW 20150305  2.99  4.00100.00 49.50 91.80 408.8
 DTW 20150306  3.35  4.37 97.80 49.20 91.80 375.1
 DTW 20150307  3.25  3.27 75.10 48.80 91.80 392.2
 DTW 20150308  3.24  4.26 99.20 48.40 91.80 399.0
 DTW 20150309  3.81  5.02100.00 48.00 91.80 351.8
 DTW 20150310  4.14  3.74 70.50 47.60 91.80 332.9
 DTW 20150311  4.02  3.69100.00 47.20 91.90 346.5
 DTW 20150312  4.31  3.96100.00 46.80 91.90 331.5
 DTW 20150313  4.48  3.88 94.10 46.40 91.90 325.0
 DTW 20150314  4.28  3.80 96.60 46.00 91.90 342.6
 DTW 20150315  3.85  3.54100.00 45.60 91.90 381.1
 DTW 20150316  4.45  3.84 93.90 45.20 91.90 341.4
 DTW 20150317  4.42  3.65 90.10 44.80 91.90 348.7
 DTW 20150318  4.81  4.40 99.60 44.40 91.90 328.9
 DTW 20150319  4.98  4.56 99.60 44.00 91.90 323.7
 DTW 20150320  4.69  4.20 97.30 43.60 91.90 345.0
 DTW 20150321  4.64  2.93 68.70 43.20 91.90 353.0
 DTW 20150322  4.79  4.39 99.70 42.80 92.00 348.7
 DTW 20150323  4.33  3.83 96.10 42.40 92.00 385.2
 DTW 20150324  4.42  4.07100.00 42.00 92.00 382.8
 DTW 20150325  4.79  2.02 45.80 41.60 92.00 361.9
 DTW 20150326  4.45  3.05 74.50 41.20 92.00 390.7
 DTW 20150327  3.64  2.91 87.10 40.80 92.00 472.3
 DTW 20150328  4.41  4.01 98.70 40.40 92.00 403.3
 DTW 20150329  5.28  4.78 98.40 40.00 92.00 349.6
 DTW 20150330  4.58  3.31 78.50 39.60 92.00 399.9
 DTW 20150331  4.46  3.89 94.80 39.20 92.00 413.9
 DTW 20150401  5.00  4.61100.00 38.80 92.00 378.9
 DTW 20150402  5.94  2.74 50.00 38.50 92.00 331.7
 DTW 20150403  5.43  2.97 59.20 38.10 92.00 361.0
 DTW 20150404  4.61  3.95 93.10 37.70 92.00 420.3
 DTW 20150405  4.91  2.63 58.10 37.30 92.10 402.6
 DTW 20150406  5.78  5.32100.00 36.90 92.10 353.7
 DTW 20150407  6.03  1.79 32.70 36.50 92.10 344.7
 DTW 20150408  5.79  1.49 27.80 36.10 92.10 360.1
 DTW 20150409  6.73  1.46 23.70 35.80 92.10 320.6
 DTW 20150410  5.69  2.40 45.80 35.40 92.10 372.7
 DTW 20150411  5.83  4.49 84.00 35.00 92.10 368.8
 DTW 20150412  6.19  5.69 99.70 34.60 92.10 353.4
 DTW 20150413  6.47  3.11 52.20 34.30 92.10 343.5
 DTW 20150414  6.76  5.22 83.80 33.90 92.10 333.9
 DTW 20150415  6.67  6.12 99.60 33.50 92.10 340.4
 DTW 20150416  7.13  3.03 46.20 33.20 92.10 324.9
 DTW 20150417  7.03  6.47 99.90 32.80 92.10 331.4
 DTW 20150418  7.05  6.49100.00 32.50 92.10 333.3
 DTW 20150419  7.54  6.07 87.50 32.10 92.10 317.5
 DTW 20150420  7.29  3.41 50.70 31.80 92.10 329.0
 DTW 20150421  5.98  4.30 77.90 31.40 92.20 391.2
 DTW 20150422  5.88  4.34 80.10 31.10 92.20 399.6
 DTW 20150423  5.86  3.43 63.50 30.70 92.20 404.0
 DTW 20150424  6.08  5.61100.00 30.40 92.20 394.0
 DTW 20150425  6.83  4.61 73.20 30.10 92.20 359.4
 DTW 20150426  6.59  5.71 93.90 29.80 92.20 373.2
 DTW 20150427  6.61  2.84 46.60 29.40 92.20 374.4
 DTW 20150428  6.93  5.15 80.70 29.10 92.20 361.8
 DTW 20150429  6.68  6.08 98.70 28.80 92.20 375.4
 DTW 20150430  6.43  4.73 79.70 28.50 92.20 389.6
 DTW 20150501  6.69  6.17100.00 28.20 92.20 378.9
 DTW 20150502  6.96  6.39100.00 27.90 91.80 368.9
 DTW 20150503  7.41  6.81100.00 27.60 91.80 351.7
 DTW 20150504  7.95  5.77 78.80 27.30 91.80 333.4
 DTW 20150505  8.00  2.54 34.60 27.00 91.80 333.4
 DTW 20150506  8.25  5.58 73.70 26.80 91.80 326.7
 DTW 20150507  8.70  7.97 99.80 26.50 91.80 314.1
 DTW 20150508  8.55  7.57 96.30 26.20 91.90 319.8
 DTW 20150509  9.11  6.16 73.60 25.90 91.90 305.0
 DTW 20150510  9.38  6.16 71.40 25.70 91.90 299.0
 DTW 20150511  9.57  4.52 51.40 25.40 91.90 295.6
 DTW 20150512  7.47  2.36 34.40 25.20 91.90 364.2
 DTW 20150513  7.53  4.56 66.10 24.90 91.90 363.0
 DTW 20150514  8.52  7.77 99.20 24.70 91.90 328.9
 DTW 20150515  7.95  5.09 69.50 24.50 91.90 349.5
 DTW 20150516  8.66  6.69 84.00 24.20 91.90 326.6
