 JAN 20150102  3.49  0.44 13.40 55.70 95.30 267.8
 JAN 20150103  3.42  1.50 46.00 55.60 95.30 273.2
 JAN 20150104  3.14  2.43 81.20 55.50 95.30 295.9
 JAN 20150105  3.09  2.86 97.10 55.40 95.30 301.6
 JAN 20150106  3.03  2.89100.00 55.20 95.30 309.0
 JAN 20150107  3.16  3.01100.00 55.10 95.30 299.1
 JAN 20150108  3.15  3.00100.00 55.00 95.30 301.8
 JAN 20150109  3.33  3.14 98.90 54.90 95.30 289.8
 JAN 20150110  3.20  3.05100.00 54.70 95.30 302.2
 JAN 20150111  3.21  1.14 37.60 54.60 95.30 304.3
 JAN 20150112  3.32  1.15 36.20 54.40 95.30 297.5
 JAN 20150113  3.16  1.80 59.90 54.30 95.30 313.5
 JAN 20150114  3.27  2.99 96.10 54.10 95.30 307.3
 JAN 20150115  3.40  2.40 74.30 53.90 95.30 299.7
 JAN 20150116  3.38  3.23100.00 53.70 95.30 303.3
 JAN 20150117  3.44  3.28100.00 53.50 95.30 301.7
 JAN 20150118  3.47  3.31100.00 53.40 95.30 302.1
 JAN 20150119  3.71  3.54100.00 53.20 95.30 288.4
 JAN 20150120  3.66  3.49100.00 53.00 95.30 294.9
 JAN 20150121  3.79  3.61100.00 52.80 95.30 289.3
 JAN 20150122  3.86  2.52 68.50 52.50 95.30 287.8
 JAN 20150123  3.88  2.72  9.60 52.30 95.30 289.0
 JAN 20150124  3.53  3.37100.00 52.10 95.30 316.7
 JAN 20150125  3.34  3.19100.00 51.80 95.30 336.0
 JAN 20150126  3.66  3.49100.00 51.60 95.30 313.7
 JAN 20150127  3.97  3.78100.00 51.40 95.30 296.1
 JAN 20150128  4.02  3.83100.00 51.10 95.30 296.0
 JAN 20150129  4.00  3.55 93.30 50.90 95.40 300.4
 JAN 20150130  4.11  3.92100.00 50.60 95.40 296.7
 JAN 20150131  4.16  3.50 88.10 50.30 95.40 297.0
 JAN 20150201  4.46  1.17 27.60 50.10 95.40 283.0
