 LAX 20150102  3.04  2.91100.00 57.30 95.60 286.7
 LAX 20150103  3.15  3.02100.00 57.20 95.60 278.9
 LAX 20150104  3.15  2.94 97.60 57.10 95.70 280.6
 LAX 20150105  3.01  2.82 98.10 57.00 95.70 294.4
 LAX 20150106  3.10  2.97100.00 56.90 95.70 288.2
 LAX 20150107  2.93  2.59 92.40 56.80 95.70 304.5
 LAX 20150108  3.22  2.83 91.80 56.60 95.70 282.4
 LAX 20150109  3.33  2.38 74.90 56.50 95.70 276.5
 LAX 20150110  3.36  1.84 57.20 56.40 95.70 276.7
 LAX 20150111  2.92  0.58 20.60 56.20 95.70 314.6
 LAX 20150112  3.13  2.92 97.70 56.10 95.70 298.9
 LAX 20150113  3.21  3.07100.00 55.90 95.70 294.7
 LAX 20150114  3.42  3.27100.00 55.70 95.70 280.9
 LAX 20150115  3.44  3.29100.00 55.60 95.70 282.5
 LAX 20150116  3.79  3.56 98.10 55.40 95.70 261.8
 LAX 20150117  3.95  3.42 90.40 55.20 95.70 255.3
 LAX 20150118  4.08  3.89 99.70 55.00 95.70 250.9
 LAX 20150119  3.93  3.76100.00 54.80 95.70 261.1
 LAX 20150120  3.50  3.02 90.40 54.60 95.70 292.5
 LAX 20150121  3.27  3.13100.00 54.40 95.70 313.2
 LAX 20150122  3.47  3.07 92.40 54.20 95.70 300.7
 LAX 20150123  3.44  3.29100.00 54.00 95.70 306.7
 LAX 20150124  3.74  3.58100.00 53.70 95.70 288.8
 LAX 20150125  3.66  3.51100.00 53.50 95.70 297.3
 LAX 20150126  3.76  1.42 39.60 53.30 95.70 294.0
 LAX 20150127  3.94  3.78100.00 53.00 95.70 285.8
 LAX 20150128  4.13  3.95100.00 52.80 95.70 278.1
 LAX 20150129  4.01  3.74 97.50 52.50 95.70 288.5
 LAX 20150130  3.86  3.62 98.10 52.30 95.70 302.0
 LAX 20150131  3.66  3.51100.00 52.00 95.70 319.4
 LAX 20150201  4.15  3.97100.00 51.70 95.70 290.9
 LAX 20150202  4.28  4.10100.00 51.40 95.70 286.5
 LAX 20150203  4.11  3.93100.00 51.20 95.70 300.2
 LAX 20150204  3.87  3.71100.00 50.90 95.70 320.0
 LAX 20150205  4.23  4.05100.00 50.60 95.70 300.1
 LAX 20150206  4.72  4.51100.00 50.30 95.70 277.2
 LAX 20150207  5.11  4.85 99.10 50.00 95.70 262.4
 LAX 20150208  5.26  5.04100.00 49.70 95.80 259.2
