 PDX 20150102  1.06  1.02 99.00 69.00 96.50 316.4
 PDX 20150103  1.06  1.02 99.50 68.90 96.50 321.1
 PDX 20150104  1.11  0.20 18.50 68.80 96.50 309.0
 PDX 20150105  1.21  0.18 15.80 68.70 96.50 287.9
 PDX 20150106  1.18  0.95 83.70 68.60 96.50 298.2
 PDX 20150107  1.16  1.12100.00 68.40 96.50 306.7
 PDX 20150108  1.25  1.19 98.40 68.30 96.50 289.9
 PDX 20150109  1.18  1.07 93.80 68.20 96.50 309.8
 PDX 20150110  1.22  0.43 36.70 68.00 96.50 304.1
 PDX 20150111  1.14  1.03 93.50 67.90 96.50 328.6
 PDX 20150112  1.17  1.13100.00 67.70 96.60 323.9
 PDX 20150113  1.40  1.35100.00 67.60 96.60 278.0
 PDX 20150114  1.40  1.35 99.90 67.40 96.60 282.5
 PDX 20150115  1.29  0.40 32.20 67.20 96.60 308.0
 PDX 20150116  1.22  0.69 59.00 67.00 96.60 330.4
 PDX 20150117  1.35  1.27  0.00 66.90 96.60 305.0
 PDX 20150118  1.23  0.52 44.00 66.70 96.60 338.2
 PDX 20150119  1.21  0.74 64.00 66.50 96.60 351.0
 PDX 20150120  1.18  1.14100.00 66.30 96.60 365.9
 PDX 20150121  1.34  1.13 87.20 66.10 96.60 326.7
 PDX 20150122  1.40  0.40 29.80 65.80 96.60 317.8
 PDX 20150123  1.51  0.34 23.40 65.60 96.60 300.4
 PDX 20150124  1.61  0.54 35.00 65.40 96.60 289.4
 PDX 20150125  1.68  1.62100.00 65.20 96.60 282.8
 PDX 20150126  1.69  1.63100.00 64.90 96.60 285.8
 PDX 20150127  1.51  1.36 92.80 64.70 96.60 323.3
 PDX 20150128  1.43  0.80 58.40 64.40 96.60 349.6
 PDX 20150129  1.44  1.39100.00 64.20 96.60 354.5
 PDX 20150130  1.41  1.36100.00 63.90 96.60 368.4
 PDX 20150131  1.54  1.49100.00 63.60 96.60 346.7
 PDX 20150201  1.57  0.55 36.00 63.40 96.60 347.5
 PDX 20150202  1.59  1.17 10.60 63.10 96.60 349.2
 PDX 20150203  1.55  0.66 44.00 62.80 96.60 366.2
 PDX 20150204  1.82  1.32 74.80 62.50 96.60 320.4
 PDX 20150205  1.83  0.20 11.20 62.20 96.60 325.5
 PDX 20150206  2.00  0.16  8.30 61.90 96.60 306.1
 PDX 20150207  1.90  0.16  8.90 61.60 96.60 328.2
 PDX 20150208  2.12  1.88 91.70 61.30 96.60 302.7
 PDX 20150209  1.88  0.44 24.40 61.00 96.60 343.9
 PDX 20150210  2.05  1.22 61.60 60.70 96.60 323.8
 PDX 20150211  2.27  2.02 92.20 60.40 96.60 300.9
 PDX 20150212  2.53  2.21 90.30 60.10 96.60 278.2
 PDX 20150213  2.53  2.14 87.50 59.80 96.60 284.8
 PDX 20150214  2.32  1.95 87.00 59.40 96.70 314.4
 PDX 20150215  2.28  2.20 99.80 59.10 96.70 325.5
 PDX 20150216  2.44  2.33 98.80 58.70 96.70 313.8
 PDX 20150217  2.64  2.55100.00 58.40 96.70 298.3
 PDX 20150218  2.68  2.47 95.50 58.10 96.70 300.3
 PDX 20150219  2.52  1.39 57.30 57.70 96.70 323.9
 PDX 20150220  2.34  1.76 77.60 57.40 96.70 353.4
 PDX 20150221  2.13  1.96 95.10 57.00 96.70 394.0
 PDX 20150222  2.36  2.28100.00 56.60 96.70 365.1
 PDX 20150223  2.59  2.50100.00 56.30 96.70 342.0
 PDX 20150224  2.82  2.71 99.30 55.90 96.70 322.4
 PDX 20150225  2.74  1.86 70.10 55.50 96.70 337.5
 PDX 20150226  2.54  1.09 44.80 55.20 96.70 368.3
 PDX 20150227  2.34  0.64 28.90 54.80 96.70 405.6
 PDX 20150228  2.53  2.44100.00 54.40 96.70 385.3
 PDX 20150301  2.76  2.67100.00 54.00 96.70 362.9
 PDX 20150302  2.75  2.64100.00 53.70 96.10 371.5
 PDX 20150303  3.08  2.95 99.80 53.30 96.10 342.3
