 PHL 20150102  1.95  1.74 97.50 63.20 91.40 279.4
 PHL 20150103  1.91  0.57 32.70 63.10 91.40 286.7
 PHL 20150104  1.92  0.67 38.50 63.00 91.40 287.7
 PHL 20150105  1.49  1.30 95.20 62.90 91.40 367.2
 PHL 20150106  1.42  0.99 76.50 62.80 91.40 389.4
 PHL 20150107  1.39  1.30 96.90 62.70 91.40 400.0
 PHL 20150108  1.41  1.53100.00 62.60 91.40 398.2
 PHL 20150109  1.61  1.55 89.70 62.40 91.40 352.9
 PHL 20150110  1.60  1.76100.00 62.30 91.40 359.2
 PHL 20150111  2.02  2.17100.00 62.10 91.40 292.5
 PHL 20150112  2.11  0.49 21.90 62.00 91.50 283.5
 PHL 20150113  1.89  1.99100.00 61.80 91.50 317.4
 PHL 20150114  1.83  1.63 90.00 61.70 91.50 330.7
 PHL 20150115  1.95  1.79100.00 61.50 91.50 314.9
 PHL 20150116  1.71  1.56100.00 61.30 91.50 360.9
 PHL 20150117  2.00  1.83100.00 61.10 91.50 315.5
 PHL 20150118  2.09  1.91 -1.00 60.90 91.50 306.4
 PHL 20150119  1.80  1.64100.00 60.70 91.50 356.5
 PHL 20150120  1.87  1.42 83.30 60.50 91.50 348.8
 PHL 20150121  1.82  0.90 54.00 60.30 91.50 361.8
 PHL 20150122  1.71  1.41 90.70 60.10 91.50 389.7
 PHL 20150123  1.78  1.63100.00 59.90 91.50 379.1
 PHL 20150124  1.80  0.52 24.30 59.60 91.50 381.8
 PHL 20150125  1.83  2.14100.00 59.40 91.50 381.3
 PHL 20150126  1.81  1.05 46.50 59.20 91.50 391.4
 PHL 20150127  1.79  1.78 76.50 58.90 91.50 403.0
 PHL 20150128  1.71  2.18100.00 58.70 91.60 427.7
 PHL 20150129  2.09  2.36 88.90 58.40 91.60 358.4
 PHL 20150130  2.14  2.74100.00 58.20 91.60 357.2
 PHL 20150131  2.12  2.67100.00 57.90 91.60 365.3
 PHL 20150201  2.56  3.15100.00 57.60 91.60 313.2
 PHL 20150202  2.32  0.77 26.90 57.40 91.60 348.5
 PHL 20150203  2.26  2.76 95.80 57.10 91.60 362.6
 PHL 20150204  2.35  2.74 96.40 56.80 91.60 354.6
 PHL 20150205  2.24  2.57 92.00 56.50 91.60 377.4
 PHL 20150206  2.26  2.56 90.30 56.20 91.60 380.3
 PHL 20150207  2.45  2.77 93.90 55.90 91.60 357.5
 PHL 20150208  2.86  1.82 51.60 55.60 91.60 316.6
 PHL 20150209  2.88  1.07 29.50 55.30 91.60 319.9
 PHL 20150210  2.74  3.25 95.80 55.00 91.60 339.0
 PHL 20150211  2.77  3.46 99.70 54.70 91.70 341.5
 PHL 20150212  2.63  2.59 81.40 54.30 91.70 365.1
 PHL 20150213  2.38  2.80100.00 54.00 91.70 406.8
 PHL 20150214  2.73  2.55 78.60 53.70 91.70 365.1
 PHL 20150215  2.16  2.54 93.80 53.30 91.70 460.5
 PHL 20150216  2.78  3.48100.00 53.00 91.70 371.6
 PHL 20150217  2.72  3.27 94.30 52.70 91.70 385.6
 PHL 20150218  2.29  2.89 98.10 52.30 91.70 458.7
 PHL 20150219  2.05  2.62 99.80 52.00 91.70 520.1
 PHL 20150220  2.35  2.99100.00 51.60 91.70 464.5
 PHL 20150221  3.05  3.12 79.50 51.30 91.70 370.8
 PHL 20150222  2.94  2.80 75.10 50.90 91.80 389.7
 PHL 20150223  2.92  3.70 98.70 50.50 91.80 398.4
 PHL 20150224  2.94  3.77100.00 50.20 91.80 401.3
 PHL 20150225  3.40  4.28 99.30 49.80 91.80 358.1
 PHL 20150226  3.63  4.00 86.70 49.40 91.80 343.7
 PHL 20150227  3.39  4.26 98.00 49.10 91.80 371.2
 PHL 20150228  3.45  4.39 99.80 48.70 91.80 371.5
 PHL 20150301  3.48  3.14 69.70 48.30 91.80 374.6
 PHL 20150302  3.32  4.23 98.50 47.90 91.50 397.1
 PHL 20150303  4.22  5.12 93.70 47.50 91.50 326.6
 PHL 20150304  4.70  2.09 35.50 47.10 91.50 302.7
 PHL 20150305  4.59  3.91 64.80 46.80 91.50 313.5
 PHL 20150306  4.34  5.69100.00 46.40 91.50 333.2
 PHL 20150307  4.03  5.22 99.40 46.00 91.50 360.3
 PHL 20150308  4.02  4.77 97.70 45.60 91.50 366.3
 PHL 20150309  4.27  4.49 98.10 45.20 91.50 352.9
 PHL 20150310  5.01  2.85 52.70 44.80 91.50 312.2
 PHL 20150311  4.92  3.73 82.70 44.40 91.50 321.4
 PHL 20150312  4.68  4.29100.00 44.00 91.60 339.9
 PHL 20150313  4.93  4.52100.00 43.60 91.60 330.1
 PHL 20150314  5.20  0.82 17.40 43.20 91.60 319.6
 PHL 20150315  3.76  2.56 74.40 42.80 91.60 429.1
 PHL 20150316  4.49  3.64 88.40 42.40 91.60 372.2
