 SAC 20150102  2.00  1.90100.00 61.90 94.90 305.7
 SAC 20150103  2.13  2.03100.00 61.80 94.90 290.6
 SAC 20150104  2.02  1.85 96.50 61.70 94.90 307.9
 SAC 20150105  2.12  1.98 98.30 61.60 94.90 295.7
 SAC 20150106  2.19  2.08 99.90 61.50 94.90 289.5
 SAC 20150107  2.07  1.97100.00 61.30 94.90 306.9
 SAC 20150108  2.24  1.92 90.40 61.20 94.90 289.1
 SAC 20150109  2.13  1.98 98.10 61.10 94.90 304.3
 SAC 20150110  2.24  2.13100.00 60.90 94.90 293.7
 SAC 20150111  2.23  2.12100.00 60.80 94.90 297.3
 SAC 20150112  2.16  2.05100.00 60.60 94.90 309.1
 SAC 20150113  2.35  2.23100.00 60.50 94.90 289.5
 SAC 20150114  2.43  2.30100.00 60.30 95.00 283.7
 SAC 20150115  2.51  2.28 95.40 60.10 95.00 277.9
 SAC 20150116  2.72  0.72 28.00 59.90 95.00 261.7
 SAC 20150117  2.77  2.26 85.70 59.80 95.00 260.6
 SAC 20150118  2.73  2.59100.00 59.60 95.00 268.4
 SAC 20150119  2.52  2.39100.00 59.40 95.00 291.2
 SAC 20150120  2.22  1.82 86.30 59.20 95.00 330.1
 SAC 20150121  2.35  2.23100.00 59.00 95.00 318.6
 SAC 20150122  2.54  2.07 85.70 58.70 95.00 300.4
 SAC 20150123  2.74  2.60100.00 58.50 95.00 285.8
 SAC 20150124  2.89  2.74100.00 58.30 95.00 276.2
 SAC 20150125  2.89  2.75100.00 58.10 95.00 279.5
 SAC 20150126  2.90  2.37 86.30 57.80 95.00 283.2
 SAC 20150127  2.89  2.35 85.70 57.60 95.00 288.1
 SAC 20150128  2.73  2.60100.00 57.30 95.00 306.7
 SAC 20150129  2.69  2.56100.00 57.10 95.00 315.4
 SAC 20150130  2.64  2.51100.00 56.80 95.00 325.0
 SAC 20150131  2.80  2.66100.00 56.50 95.00 313.0
 SAC 20150201  2.93  2.43 87.50 56.30 95.00 305.7
 SAC 20150202  2.95  2.45 87.50 56.00 95.00 307.8
 SAC 20150203  2.93  2.44 87.50 55.70 95.00 313.7
 SAC 20150204  2.88  2.67 97.50 55.40 95.00 323.0
 SAC 20150205  3.37  2.53 79.20 55.10 95.00 286.4
 SAC 20150206  3.62  0.30  8.60 54.80 95.00 273.0
 SAC 20150207  3.77  3.59100.00 54.50 95.00 267.9
 SAC 20150208  3.85  0.62 17.10 54.20 95.00 267.4
 SAC 20150209  3.57  3.05 90.00 53.90 95.10 290.3
 SAC 20150210  3.59  3.41100.00 53.60 95.10 293.5
 SAC 20150211  3.76  3.53 98.90 53.30 95.10 286.7
 SAC 20150212  4.06  3.73 96.60 53.00 95.10 272.6
 SAC 20150213  4.04  3.84100.00 52.70 95.10 277.8
 SAC 20150214  4.04  3.84100.00 52.30 95.10 282.2
 SAC 20150215  3.93  3.74100.00 52.00 95.10 293.3
 SAC 20150216  3.94  3.74100.00 51.60 95.10 297.2
 SAC 20150217  4.15  3.94100.00 51.30 95.10 288.7
 SAC 20150218  4.25  4.00 99.00 51.00 95.10 286.9
 SAC 20150219  4.33  4.03 97.90 50.60 95.10 286.6
 SAC 20150220  3.67  3.49100.00 50.30 95.10 335.2
 SAC 20150221  3.69  3.51100.00 49.90 95.10 338.8
 SAC 20150222  2.99  2.84100.00 49.50 95.10 414.9
 SAC 20150223  3.07  2.92100.00 49.20 95.10 411.7
 SAC 20150224  3.92  3.73100.00 48.80 95.10 336.9
 SAC 20150225  4.32  4.07 99.00 48.40 95.10 315.0
 SAC 20150226  4.55  4.29 99.00 48.10 95.10 305.5
 SAC 20150227  3.59  2.43 71.20 47.70 95.10 380.8
 SAC 20150228  3.32  1.64 51.80 47.30 95.20 414.0
 SAC 20150301  3.42  3.25100.00 46.90 95.20 409.9
 SAC 20150302  3.76  3.53 98.90 46.60 94.80 381.9
 SAC 20150303  4.51  4.28100.00 46.20 94.80 331.3
 SAC 20150304  4.40  4.18100.00 45.80 94.80 342.7
 SAC 20150305  4.52  4.29100.00 45.40 94.80 339.8
 SAC 20150306  4.65  4.41100.00 45.00 94.90 336.3
 SAC 20150307  5.09  4.82100.00 44.60 94.90 316.0
 SAC 20150308  5.13  4.82 99.20 44.20 94.90 318.1
 SAC 20150309  5.34  5.06100.00 43.80 94.90 312.1
 SAC 20150310  5.65  4.88 91.20 43.40 94.90 301.4
 SAC 20150311  5.49  1.05 20.10 43.10 94.90 313.1
 SAC 20150312  5.35  5.08100.00 42.70 94.90 323.7
 SAC 20150313  5.99  5.11 89.90 42.30 94.90 298.5
 SAC 20150314  6.58  6.19 99.20 41.90 94.90 279.3
 SAC 20150315  7.12  6.55 96.90 41.50 94.90 265.0
 SAC 20150316  6.61  5.54 88.20 41.10 94.90 285.3
 SAC 20150317  5.92  5.57 99.20 40.60 94.90 316.9
 SAC 20150318  5.72  5.35 98.50 40.20 94.90 329.9
 SAC 20150319  6.04  5.74100.00 39.80 94.90 318.7
 SAC 20150320  6.57  5.13 82.30 39.40 94.90 300.9
 SAC 20150321  6.12  5.81100.00 39.00 94.90 323.1
 SAC 20150322  5.87  4.95 88.80 38.60 94.90 338.1
 SAC 20150323  5.59  5.27 99.30 38.20 94.90 356.6
 SAC 20150324  5.73  4.76 87.40 37.80 94.90 353.3
 SAC 20150325  6.78  5.91 91.90 37.40 94.90 310.3
 SAC 20150326  7.49  7.11100.00 37.00 95.00 288.6
 SAC 20150327  7.37  7.00100.00 36.60 95.00 295.5
 SAC 20150328  6.70  6.36100.00 36.20 95.00 323.4
 SAC 20150329  6.68  6.34100.00 35.80 95.00 327.5
 SAC 20150330  7.57  7.04 97.90 35.40 95.00 297.9
 SAC 20150331  7.13  6.77100.00 35.00 95.00 316.3
 SAC 20150401  5.93  5.63100.00 34.60 95.00 372.8
 SAC 20150402  6.55  6.22100.00 34.20 95.00 346.1
 SAC 20150403  6.62  6.24 99.30 33.80 95.00 346.1
 SAC 20150404  6.82  6.16 95.20 33.40 95.00 340.4
 SAC 20150405  6.11  1.53 26.40 33.00 95.00 376.7
 SAC 20150406  5.98  5.64 99.30 32.70 95.00 387.2
 SAC 20150407  5.31  1.80 35.70 32.30 95.00 432.1
 SAC 20150408  6.26  3.26 54.90 31.90 95.00 378.9
 SAC 20150409  6.67  6.30 99.30 31.50 95.00 361.8
 SAC 20150410  6.51  6.18100.00 31.10 95.00 372.9
 SAC 20150411  6.87  6.53100.00 30.70 95.00 358.7
 SAC 20150412  7.72  7.34100.00 30.40 95.00 328.3
 SAC 20150413  7.89  7.50100.00 30.00 95.00 324.9
 SAC 20150414  7.18  6.82100.00 29.60 95.00 354.1
 SAC 20150415  7.91  7.52100.00 29.30 95.00 328.7
 SAC 20150416  7.60  7.23100.00 28.90 95.00 341.9
 SAC 20150417  8.20  7.80100.00 28.50 95.00 323.3
 SAC 20150418  7.88  7.49100.00 28.20 95.00 336.6
 SAC 20150419  7.79  7.41100.00 27.80 95.00 341.7
 SAC 20150420  7.84  7.45100.00 27.50 95.00 342.1
 SAC 20150421  7.75  7.36100.00 27.10 95.10 347.8
 SAC 20150422  7.59  7.22100.00 26.80 95.10 355.7
 SAC 20150423  7.80  7.42100.00 26.40 95.10 350.0
 SAC 20150424  7.11  1.90 28.10 26.10 95.10 380.0
 SAC 20150425  7.01  2.08 31.20 25.80 95.10 387.3
 SAC 20150426  8.71  8.28100.00 25.40 95.10 324.7
 SAC 20150427  8.92  8.48100.00 25.10 95.10 319.9
 SAC 20150428  9.08  8.63100.00 24.80 95.10 317.2
 SAC 20150429  8.25  7.84100.00 24.50 95.10 345.0
 SAC 20150430  8.18  7.78100.00 24.10 95.10 349.0
 SAC 20150501  7.95  7.56100.00 23.80 95.10 358.5
 SAC 20150502  7.82  7.41100.00 23.50 94.80 365.3
 SAC 20150503  8.44  8.00100.00 23.20 94.80 344.5
 SAC 20150504  8.53  8.09100.00 22.90 94.80 342.6
