"","state","mode","date","month","day","year","value"
"745","al","month","1/1/2013","1","1","2013","7"
"746","al","month","2/1/2013","2","1","2013","10"
"747","al","month","3/1/2013","3","1","2013","27"
"748","al","month","4/1/2013","4","1","2013","54"
"749","al","month","5/1/2013","5","1","2013","66"
"750","al","month","6/1/2013","6","1","2013","76"
"751","al","month","7/1/2013","7","1","2013","38"
"752","al","month","8/1/2013","8","1","2013","25"
"753","al","month","9/1/2013","9","1","2013","9"
"754","al","month","10/1/2013","10","1","2013","8"
"755","al","month","11/1/2013","11","1","2013","9"
"756","al","month","12/1/2013","12","1","2013","10"
"757","al","month","1/1/2014","1","1","2014","7"
"758","al","month","2/1/2014","2","1","2014","7"
"759","al","month","3/1/2014","3","1","2014","28"
"760","al","month","4/1/2014","4","1","2014","50"
"761","al","month","5/1/2014","5","1","2014","67"
"762","al","month","6/1/2014","6","1","2014","98"
"763","al","month","7/1/2014","7","1","2014","71"
"764","al","month","8/1/2014","8","1","2014","24"
"765","al","month","9/1/2014","9","1","2014","14"
"766","al","month","10/1/2014","10","1","2014","11"
"767","al","month","11/1/2014","11","1","2014","16"
"768","al","month","12/1/2014","12","1","2014","22"
"769","al","month","1/1/2015","1","1","2015","27"
"770","al","month","2/1/2015","2","1","2015","33"
"771","al","month","3/1/2015","3","1","2015","38"
"772","al","month","4/1/2015","4","1","2015","36"
"773","al","month","5/1/2015","5","1","2015","70"
"774","al","month","6/1/2015","6","1","2015","100"
"775","al","month","7/1/2015","7","1","2015","54"
"776","al","month","8/1/2015","8","1","2015","24"
"777","al","month","9/1/2015","9","1","2015","13"
"778","al","month","10/1/2015","10","1","2015","9"
"779","al","month","11/1/2015","11","1","2015","7"
"780","al","month","12/1/2015","12","1","2015","7"
"781","al","month","1/1/2016","1","1","2016","7"
"782","al","month","2/1/2016","2","1","2016","7"
"783","al","month","3/1/2016","3","1","2016","22"
"1027","az","month","1/1/2012","1","1","2012","7"
"1028","az","month","2/1/2012","2","1","2012","13"
"1029","az","month","3/1/2012","3","1","2012","29"
"1030","az","month","4/1/2012","4","1","2012","47"
"1031","az","month","5/1/2012","5","1","2012","68"
"1032","az","month","6/1/2012","6","1","2012","83"
"1033","az","month","7/1/2012","7","1","2012","61"
"1034","az","month","8/1/2012","8","1","2012","36"
"1035","az","month","9/1/2012","9","1","2012","20"
"1036","az","month","10/1/2012","10","1","2012","11"
"1037","az","month","11/1/2012","11","1","2012","8"
"1038","az","month","12/1/2012","12","1","2012","8"
"1039","az","month","1/1/2013","1","1","2013","9"
"1040","az","month","2/1/2013","2","1","2013","11"
"1041","az","month","3/1/2013","3","1","2013","31"
"1042","az","month","4/1/2013","4","1","2013","40"
"1043","az","month","5/1/2013","5","1","2013","52"
"1044","az","month","6/1/2013","6","1","2013","81"
"1045","az","month","7/1/2013","7","1","2013","65"
"1046","az","month","8/1/2013","8","1","2013","34"
"1047","az","month","9/1/2013","9","1","2013","22"
"1048","az","month","10/1/2013","10","1","2013","10"
"1049","az","month","11/1/2013","11","1","2013","8"
"1050","az","month","12/1/2013","12","1","2013","7"
"1051","az","month","1/1/2014","1","1","2014","7"
"1052","az","month","2/1/2014","2","1","2014","12"
"1053","az","month","3/1/2014","3","1","2014","32"
"1054","az","month","4/1/2014","4","1","2014","34"
"1055","az","month","5/1/2014","5","1","2014","53"
"1056","az","month","6/1/2014","6","1","2014","100"
"1057","az","month","7/1/2014","7","1","2014","85"
"1058","az","month","8/1/2014","8","1","2014","39"
"1059","az","month","9/1/2014","9","1","2014","27"
"1060","az","month","10/1/2014","10","1","2014","11"
"1061","az","month","11/1/2014","11","1","2014","9"
"1062","az","month","12/1/2014","12","1","2014","7"
"1063","az","month","1/1/2015","1","1","2015","8"
"1064","az","month","2/1/2015","2","1","2015","13"
"1065","az","month","3/1/2015","3","1","2015","37"
"1066","az","month","4/1/2015","4","1","2015","28"
"1067","az","month","5/1/2015","5","1","2015","38"
"1068","az","month","6/1/2015","6","1","2015","80"
"1069","az","month","7/1/2015","7","1","2015","82"
"1070","az","month","8/1/2015","8","1","2015","44"
"1071","az","month","9/1/2015","9","1","2015","24"
"1072","az","month","10/1/2015","10","1","2015","10"
"1073","az","month","11/1/2015","11","1","2015","6"
"1074","az","month","12/1/2015","12","1","2015","6"
"1075","az","month","1/1/2016","1","1","2016","8"
"1076","az","month","2/1/2016","2","1","2016","12"
"1077","az","month","3/1/2016","3","1","2016","0"
"1822","co","month","1/1/2013","1","1","2013","4"
"1823","co","month","2/1/2013","2","1","2013","6"
"1824","co","month","3/1/2013","3","1","2013","15"
"1825","co","month","4/1/2013","4","1","2013","28"
"1826","co","month","5/1/2013","5","1","2013","42"
"1827","co","month","6/1/2013","6","1","2013","73"
"1828","co","month","7/1/2013","7","1","2013","46"
"1829","co","month","8/1/2013","8","1","2013","18"
"1830","co","month","9/1/2013","9","1","2013","13"
"1831","co","month","10/1/2013","10","1","2013","4"
"1832","co","month","11/1/2013","11","1","2013","4"
"1833","co","month","12/1/2013","12","1","2013","4"
"1834","co","month","1/1/2014","1","1","2014","5"
"1835","co","month","2/1/2014","2","1","2014","4"
"1836","co","month","3/1/2014","3","1","2014","19"
"1837","co","month","4/1/2014","4","1","2014","23"
"1838","co","month","5/1/2014","5","1","2014","48"
"1839","co","month","6/1/2014","6","1","2014","82"
"1840","co","month","7/1/2014","7","1","2014","63"
"1841","co","month","8/1/2014","8","1","2014","28"
"1842","co","month","9/1/2014","9","1","2014","14"
"1843","co","month","10/1/2014","10","1","2014","8"
"1844","co","month","11/1/2014","11","1","2014","4"
"1845","co","month","12/1/2014","12","1","2014","4"
"1846","co","month","1/1/2015","1","1","2015","5"
"1847","co","month","2/1/2015","2","1","2015","6"
"1848","co","month","3/1/2015","3","1","2015","28"
"1849","co","month","4/1/2015","4","1","2015","18"
"1850","co","month","5/1/2015","5","1","2015","26"
"1851","co","month","6/1/2015","6","1","2015","100"
"1852","co","month","7/1/2015","7","1","2015","61"
"1853","co","month","8/1/2015","8","1","2015","29"
"1854","co","month","9/1/2015","9","1","2015","12"
"1855","co","month","10/1/2015","10","1","2015","6"
"1856","co","month","11/1/2015","11","1","2015","5"
"1857","co","month","12/1/2015","12","1","2015","5"
"1858","co","month","1/1/2016","1","1","2016","5"
"1859","co","month","2/1/2016","2","1","2016","8"
"1860","co","month","3/1/2016","3","1","2016","0"
"1969","ct","month","1/1/2013","1","1","2013","7"
"1970","ct","month","2/1/2013","2","1","2013","10"
"1971","ct","month","3/1/2013","3","1","2013","13"
"1972","ct","month","4/1/2013","4","1","2013","30"
"1973","ct","month","5/1/2013","5","1","2013","32"
"1974","ct","month","6/1/2013","6","1","2013","100"
"1975","ct","month","7/1/2013","7","1","2013","93"
"1976","ct","month","8/1/2013","8","1","2013","39"
"1977","ct","month","9/1/2013","9","1","2013","9"
"1978","ct","month","10/1/2013","10","1","2013","0"
"1979","ct","month","11/1/2013","11","1","2013","0"
"1980","ct","month","12/1/2013","12","1","2013","0"
"1981","ct","month","1/1/2014","1","1","2014","0"
"1982","ct","month","2/1/2014","2","1","2014","0"
"1983","ct","month","3/1/2014","3","1","2014","12"
"1984","ct","month","4/1/2014","4","1","2014","15"
"1985","ct","month","5/1/2014","5","1","2014","31"
"1986","ct","month","6/1/2014","6","1","2014","95"
"1987","ct","month","7/1/2014","7","1","2014","70"
"1988","ct","month","8/1/2014","8","1","2014","29"
"1989","ct","month","9/1/2014","9","1","2014","15"
"1990","ct","month","10/1/2014","10","1","2014","0"
"1991","ct","month","11/1/2014","11","1","2014","0"
"1992","ct","month","12/1/2014","12","1","2014","0"
"1993","ct","month","1/1/2015","1","1","2015","0"
"1994","ct","month","2/1/2015","2","1","2015","0"
"1995","ct","month","3/1/2015","3","1","2015","15"
"1996","ct","month","4/1/2015","4","1","2015","22"
"1997","ct","month","5/1/2015","5","1","2015","58"
"1998","ct","month","6/1/2015","6","1","2015","65"
"1999","ct","month","7/1/2015","7","1","2015","76"
"2000","ct","month","8/1/2015","8","1","2015","41"
"2001","ct","month","9/1/2015","9","1","2015","14"
"2002","ct","month","10/1/2015","10","1","2015","0"
"2003","ct","month","11/1/2015","11","1","2015","0"
"2004","ct","month","12/1/2015","12","1","2015","0"
"2005","ct","month","1/1/2016","1","1","2016","0"
"2006","ct","month","2/1/2016","2","1","2016","0"
"2007","ct","month","3/1/2016","3","1","2016","0"
"4171","hi","month","1/1/2013","1","1","2013","11"
"4172","hi","month","2/1/2013","2","1","2013","18"
"4173","hi","month","3/1/2013","3","1","2013","32"
"4174","hi","month","4/1/2013","4","1","2013","41"
"4175","hi","month","5/1/2013","5","1","2013","52"
"4176","hi","month","6/1/2013","6","1","2013","67"
"4177","hi","month","7/1/2013","7","1","2013","60"
"4178","hi","month","8/1/2013","8","1","2013","51"
"4179","hi","month","9/1/2013","9","1","2013","31"
"4180","hi","month","10/1/2013","10","1","2013","14"
"4181","hi","month","11/1/2013","11","1","2013","9"
"4182","hi","month","12/1/2013","12","1","2013","9"
"4183","hi","month","1/1/2014","1","1","2014","9"
"4184","hi","month","2/1/2014","2","1","2014","15"
"4185","hi","month","3/1/2014","3","1","2014","38"
"4186","hi","month","4/1/2014","4","1","2014","31"
"4187","hi","month","5/1/2014","5","1","2014","44"
"4188","hi","month","6/1/2014","6","1","2014","70"
"4189","hi","month","7/1/2014","7","1","2014","88"
"4190","hi","month","8/1/2014","8","1","2014","43"
"4191","hi","month","9/1/2014","9","1","2014","20"
